978-4-087731-28-6	0000021898	2003/05/05	アメリカン・スタイル			ボブ・グリーン／菊谷　匡祐．訳	934	ｸﾞ		集英社	1991	245	20	2003
978-4-377408-80-5	0000021899	2003/06/03	マダガスカル　／アフリカに一番近いアジアの国			山口　洋一	249.1	ﾔﾖ		サイマル出版会	1991	225	19	2003
978-4-167184-13-1	0000021900	2003/02/02	孤独のフェアウェイ		文春文庫	夏樹　静子	913.6	ﾅｼ		文藝春秋	1990	445	15	2003
978-4-061813-45-8	0000021901	2003/01/08	水車館の殺人		講談社ＮＯＶＥＬＳ	綾辻　行人	913.6	ｱ		講談社	1991	273	18	2003
978-4-061814-20-2	0000021902	2003/01/08	人形館の殺人		講談社ＮＯＶＥＬＳ	綾辻　行人	913.6	ｱ		講談社	1989	287	18	2003
978-4-195540-51-0	0000021905	2003/10/19	ＴＲＥＥ　（ツリー）			Ｃ・Ｗ・ニコル．著／宮崎　駿．絵	654	ﾆ		徳間書店	1991	229	20	2003
978-4-106207-21-1	0000021912	2003/06/25	与謝蕪村／小林一茶　／新潮古典文学アルバム　２１		新潮古典文学アルバム　２１	藤田　真一／古井　由吉	910.8	ｼ	21	新潮社	1991	111	20	2003
978-4-488012-33-5	0000021927	2003/01/15	夜の蝉		創元ミステリ’９０	北村　薫	913.6	ｷ		東京創元社	1991	247	20	2003
978-4-195545-35-5	0000021928	2003/02/06	恋をしつづける女たちへ　／新しい男と女・愛の進化論			秋山　さと子	914.6	ｱｻ		徳間書店	1991	216	19	2003
978-4-152076-17-5	0000021929	2003/04/22	秋から夏まで		彼女のためのノヴェルズ	マリアン・サーム／秋津　知子．訳	933	ｻ		早川書房	1988	247	20	2003
978-4-103606-04-8	0000021930	2003/01/06	砂の上のダンス		戯曲	山田　太一	912.6	ﾔ		新潮社	1990	228	20	2003
	0000021955	2003/08/05	東海の自然史　／地質・植物・動物・遺跡・研究史			編集委員会	291.53	ﾄ		財団法人東海財団	1990	406	28	2003
978-4-540900-15-0	0000021956	2003/05/20	人づくり風土記　３６／広島			農山漁村文化協会．編	210.5	ﾉ	34	農山漁村文化協会	1991	373	27	2003
978-4-639010-17-3	0000021957	2003/10/25	かな連綿字典　〈１０〉／中務集系		字典	竹田　悦堂．監修／	728.5	ﾀｴ	10	雄山閣出版	1991	547	20	2003
978-4-140016-21-3	0000021968	2003/07/26	スウェーデン人はしま幸せか		ＮＨＫブックス６２１	訓覇　法子	364	ｸﾉ		日本放送出版協会	1991	214	19	2003
978-4-876971-07-7	0000021969	2003/02/01	夏姫春秋　〈上〉			宮城谷　昌光	913.6	ﾐﾏ	上	海越出版社	1991	281	20	2003
978-4-140087-68-8	0000021971	2003/09/01	アインシュタイン・ロマン　１／黄泉の時空から／天才科学者の肖像			ＮＨＫアインシュタイン・プロジェクト	420.28	ｴ	1	日本放送出版協会	1991	219	22	2003
