978-4-000611-94-7,49440,2017/06/13,ジブリの文学,ｼﾞﾌﾞﾘﾉﾌﾞﾝｶﾞｸ,,,,,鈴木 敏夫／著,ｽｽﾞｷ ﾄｼｵ,,778.7,ｽ,,岩波書店,2017,321p,20cm,1900,17016423,時代の空気をつかむために、どんな本を読み、いかなる文章術を磨いてきたのか。名プロデューサー・鈴木敏夫が語る。朝井リョウらとの対談も収録。歴史的ヒットを支えた「教養」と「言葉の力」、「ジブリの現在」がわかる一冊。,スズキ トシオ　鈴木敏夫（１９４８～）　スタジオジブリ　スタジオジブリ,図書費,ＴＲＣ,1900,図書室,,,,,False,,,,False,,,,False,False,False,,
978-4-000612-08-1,49570,2017/11/02,原爆死の真実 きのこ雲の下で起きていたこと,ｹﾞﾝﾊﾞｸｼﾉｼﾝｼﾞﾂ ｷﾉｺｸﾞﾓﾉｼﾀﾃﾞｵｷﾃｲﾀｺﾄ,,,,,ＮＨＫスペシャル取材班／著,ﾆｯﾎﾟﾝﾎｳｿｳｷｮｳｶｲ ｴﾇｴｲﾁｹｰｽﾍﾟｼｬﾙｼｭｻﾞｲﾊﾝ,,369.3,ｹﾞ,,岩波書店,2017,184p,19cm,2000,17036537,８月６日、地上に出現した地獄のさま。緻密な証言収集に科学的分析を加え、原爆によって人はどう死んでいったのか、その本当の酷さを解明する。ＮＨＫスペシャル「きのこ雲の下で何が起きていたのか」等を基に単行本化。,ゲンシバクダン ヒガイ　原子爆弾 被害,図書費,ＴＲＣ,2000,図書室,,,,,False,,,,False,,,,False,False,False,,
978-4-001164-17-6,49571,2017/11/02,サイモンｖｓ人類平等化計画,ｻｲﾓﾝｳﾞｲｴｽｼﾞﾝﾙｲﾋﾞｮｳﾄﾞｳｶｹｲｶｸ,,,ＳＴＡＭＰ　ＢＯＯＫＳ,ｽﾀﾝﾌﾟﾌﾞｯｸｽ,ベッキー・アルバータリ／作 三辺 律子／訳,ｱﾙﾊﾞｰﾀﾘ ﾍﾞｯｷｰ ｻﾝﾍﾞ ﾘﾂｺ ﾍﾞｯｷｰｱﾙﾊﾞｰﾀﾘ,,933.7,ｱ,,岩波書店,2017,341p,19cm,1800,17035715,サイモンはごく普通の高校生。ネットで知り合った「ブルー」に夢中で、自分がゲイだということも、ブルーにだけは打ち明けられる。ところが同級生のマーティンに秘密がばれてしまい…。,,図書費,ＴＲＣ,1800,図書室,,,,,False,,,,False,,,,False,False,False,,
978-4-002709-62-8,48904,2017/11/30,沖縄の基地の間違ったうわさ 検証３４個の疑問,ｵｷﾅﾜ ﾉ ｷﾁ ﾉ ﾏﾁｶﾞｯﾀ ｳﾜｻ ｹﾝｼｮｳ ｻﾝｼﾞｭｳﾖﾝ ｺ ﾉ ｷﾞﾓﾝ,,,岩波ブックレット Ｎｏ．９６２,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 962,佐藤 学／編 屋良 朝博／編,ｻﾄｳ ﾏﾅﾌﾞ ﾔﾗ ﾄﾓﾋﾛ,,395.3,ｻ,,岩波書店,2017,79p,21cm,580,17053064,沖縄県の経済は基地がないと成り立たない？　辺野古基地は世界一危険な普天間の代わり？　軍用地主は大金持ち？　沖縄の米軍基地問題に関するウソ、デマ、フェイクを１つずつ、事実と数字で撲滅する。,グンジキチ　オキナワモンダイ　軍事基地　沖縄問題,図書費,白山商会,580,図書室,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-63-5,48771,2017/04/10,３．１１を心に刻んで ２０１７,ｻﾝｲﾁｲﾁｵｺｺﾛﾆｷｻﾞﾝﾃﾞ,,,岩波ブックレット Ｎｏ．９６３,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 963,岩波書店編集部／編,ｲﾜﾅﾐｼｮﾃﾝ ｲﾜﾅﾐｼｮﾃﾝﾍﾝｼｭｳﾌﾞ,,369.3,ｻ,2017,岩波書店,2017,111p,21cm,780,17011569,さまざまな執筆者が、過去から蓄積されてきた言葉をひき、その言葉に３．１１への思いを重ねて綴る。２０１６年３月～２０１７年２月の岩波書店ホームページでの連載と、『河北新報』連載企画などを単行本化。,ヒガシニホンダイシンサイ　東日本大震災（２０１１）,図書費,ＴＲＣ,780,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-64-2,48813,2017/05/01,《原爆の図》のある美術館 丸木位里、丸木俊の世界を伝える,ｹﾞﾝﾊﾞｸﾉｽﾞ ﾉ ｱﾙ ﾋﾞｼﾞｭﾂｶﾝ ﾏﾙｷ ｲﾘ ﾏﾙｷ ﾄｼ ﾉ ｾｶｲ ｵ ﾂﾀｴﾙ,,,岩波ブックレット Ｎｏ．９６４,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 964,岡村 幸宣／著,ｵｶﾑﾗ ﾕｷﾉﾘ,,721.9,ｹ,,岩波書店,2017,63p,21cm,660,17018128,原発と原爆を一体のものとして批判していた丸木位里・丸木俊夫妻の共同制作〈原爆の図〉はいかに描かれたのか。２人の生い立ちと遍歴、美術史的にも再評価が進む〈原爆の図〉について、丸木美術館の学芸員が語る。,マルキ イリ　マルキ トシ　丸木位里　丸木俊　ゲンシバクダン ヒガイ　ビジュツテンランカイ　ゲンバクノズマルキビジュツカン　原子爆弾 被害　美術展覧会　原爆の図丸木美術館,図書費,白山商会,660,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-65-9,48818,2017/06/15,家庭教育は誰のもの？ 家庭教育支援法はなぜ問題か,ｶﾃｲｷｮｳｲｸ ﾜ ﾀﾞﾚ ﾉ ﾓﾉ ｶﾃｲｷｮｳｲｸｼｴﾝﾎｳ ﾜ ﾅｾﾞ ﾓﾝﾀﾞｲ ｶ,,,岩波ブックレット Ｎｏ．９６５,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 965,木村 涼子／著,ｷﾑﾗ ﾘｮｳｺ,,379.9,ｷ,,岩波書店,2017,63p,21cm,520,17023470,学力格差や貧困問題の解決策として浮上している「家庭教育支援」の強化は、社会に何をもたらすのか。日本における子育て観、「親学」推進運動との関係など、「国家と家庭」にまつわる事例から検証する。,カテイキョウイク　家庭教育,図書費,白山商会,520,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-66-6,48819,2017/06/15,共謀罪の何が問題か,ｷｮｳﾎﾞｳｻﾞｲ ﾉ ﾅﾆ ｶﾞ ﾓﾝﾀﾞｲ ｶ,,,岩波ブックレット Ｎｏ．９６６,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 966,高山 佳奈子／著,ﾀｶﾔﾏ ｶﾅｺ,,326.8,ﾀ,,岩波書店,2017,71p,21cm,580,17025606,犯罪を計画段階で処罰する「共謀罪」。危険性を指摘され、国会で３度廃案になった法案が、「テロ等準備罪」の呼び名で新設されようとしている。第一線で活躍する刑事法の研究者が、その数々の問題点・矛盾点を指摘する。,チアン ホウレイ　治安 法令,図書費,白山商会,580,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-67-3,48839,2017/06/30,脳を守ろう 脳梗塞・認知症を予防するために,ﾉｳｵﾏﾓﾛｳ ﾉｳｺｳｿｸﾆﾝﾁｼｮｳｵﾖﾎﾞｳｽﾙﾀﾒﾆ,,,岩波ブックレット Ｎｏ．９６７,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 967,岩田 誠／著,ｲﾜﾀ ﾏｺﾄ,,493.7,ｲ,,岩波書店,2017,63p,21cm,520,17028164,健康を司るおおもとである脳の働き、加齢による脳への影響とは。高齢期の二大脳障害・脳梗塞とアルツハイマー型認知症の原因と予防、障害に負けない脳づくりについて、神経内科の第一人者がわかりやすくユーモアをこめて語る。,ノウコウソク　アルツハイマービョウ　脳梗塞　アルツハイマー病,図書費,白山商会,520,文庫書架,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-68-0,48854,2017/07/29,ルポどうなる？どうする？築地市場 みんなの市場をつくる,ﾙﾎﾟ ﾄﾞｳﾅﾙ ﾄﾞｳｽﾙ ﾂｷｼﾞｼｼﾞｮｳ ﾐﾝﾅ ﾉ ｼｼﾞｮｳ ｵ ﾂｸﾙ,,,岩波ブックレット Ｎｏ．９６８,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 968,永尾 俊彦／著,ﾅｶﾞｵ ﾄｼﾋｺ,,675.5,ﾅ,,岩波書店,2017,79p,21cm,620,17033409,盛土の不正、土壌汚染対策の不備…揺れる築地市場の豊洲移転問題。市場に働く人々や市民の粘り強い闘いを通じて、巨大自治体・東京都の公共事業のあり方を問い、食と歴史と文化の現場である築地市場再生を探る。,トウキョウトチュウオウオロシウリシジョウ　トウキョウト セイジギョウセイ　ドジョウオセン　東京都中央卸売市場　東京都 政治・行政　土壌汚染,図書費,白山商会,620,新書書架,,,,,False,,,,False,,,,False,False,True,,
