ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-833110-45-7	0000032743	2003/04/04	匿されしアジア　／ビデオジャーナリストの現場から			アジアプレス・インターナショナル．編	916	ｱ		風媒社	1998	325	21	2003
978-4-763095-16-9	0000032758	2003/10/21	床ヌブリ作品集　／カムイ・ミンタラ／神々の遊びの庭		写真集	丹地　保堯	713	ﾄﾇ		求龍堂	1995	127	25	2003
978-4-882821-45-8	0000032761	2003/10/04	ナチュラルファミリードクター　／家庭に一冊、自然健康療法			アンドルー・スタンウェー．総編集	498.81	ｽ		産調出版	1996	351	24	2003
978-4-882821-58-8	0000032763	2003/08/01	２１世紀の主役たちが危ない			会田　雄次／他共著	370.4	ｱﾕ		産調出版	1997	269	19	2003
978-4-163543-70-3	0000032764	2003/06/21	オウムと私			林　郁夫	289.1	ﾊｲ		文藝春秋	1998	494	20	2003
978-4-773617-03-0	0000032767	2003/07/09	ゴーゴーけアフリカ　〈上〉			蔵前　仁一	294.09	ｸｼ	上	凱風社	1994	214	21	2003
978-4-773617-04-7	0000032768	2003/07/09	ゴーゴーけアフリカ　〈下〉			蔵前　仁一	294.09	ｸｼ	下	凱風社	1994	214	21	2003
978-4-062092-82-1	0000032769	2003/01/17	弥勒			篠田　節子	913.6	ｼ		講談社	1998	555	20	2003
978-4-794208-52-1	0000032770	2003/05/11	川が死で満ちるとき　／環境汚染が生んだ猛毒プランクトン			ロドニー・バーカー／渡辺　政隆／大木　奈保子．訳	936	ﾊﾞ		草思社	1998	421	20	2003
978-4-334073-16-9	0000032772	2003/02/02	二進法の犬		カッパノベルス	花村　萬月	913.6	ﾊﾏ		光文社	1998	755	18	2003
978-4-163542-30-0	0000032788	2003/02/20	人間は笑う葦でいる			土屋　賢一	914.6	ﾂｹ		文藝春秋	1998	243	19	2003
978-4-794927-12-5	0000032790	2003/04/26	自然術　㈪　／蝶がいっぱい		自然術　２	腰本　文子	486.8	ｺﾌ	2	晶文社	1990	133	22	2003
978-4-871491-65-5	0000032792	2003/07/02	海外　暮らす旅　／アジア・中東編			イカロス出版	292.09	ｲ		イカロス出版	1998	199	21	2003
978-4-894561-31-1	0000032793	2003/09/22	死を求める人びと			ベルト・カイゼル／畔上　司．訳	490.1	ｶ		角川春樹事務所	1998	402	20	2003
978-4-593595-00-6	0000032794	2003/10/23	家庭ガラス工房　１／板ガラスでつくる		すてきな手作り雑貨	奥　二郎．監修／合沢　祐美．制作指導	751.5	ｵｼ	1	ほるぷ出版	1997	95	27	2003
978-4-593595-02-0	0000032796	2003/10/23	家庭ガラス工房　３／バーナーを使って		すてきな手作り雑貨	奥　二郎．監修／船越　美智代．著	751.5	ｵｼ	3	ほるぷ出版	1998	95	27	2003
978-4-593595-03-7	0000032797	2003/10/23	家庭ガラス工房　４／電気炉を使って		すてきな手作り雑貨	奥　二郎．監修／足立　煉／奥野　美果．著	751.5	ｵｼ	4	ほるぷ出版	1998	95	27	2003
	0000032800	2003/05/25	岐阜県文化財図録　／記念物・史跡・名勝・天然記念物			岐阜県教育委員会	215.3	ｷﾞ		岐阜県教育委員会	1998	456	26	2003
978-4-879542-39-7	0000032801	2003/10/02	心療内科がわかる本　／ひとりで悩んでいるあなたへ			芦原　睦	498.16	ｱﾑ		法研	1998	206	19	2003
978-4-381103-18-5	0000032803	2003/06/29	全国びっくり駅弁！？　／「へんな駅外伝」			所澤　秀樹	291.09	ｼﾋ		山海堂	1998	239	19	2003
978-4-560046-44-9	0000032804	2003/04/19	ほら話とほんとうの話、ほんの十ほど			アラスター・グレイ／高橋　和久．訳	933	ｸﾞ		白水社	1997	218	20	2003
978-4-560046-23-4	0000032805	2003/03/03	満ち足りた人生			別役　実	914.6	ﾍﾞﾐ		白水社	1997	190	20	2003
978-4-560146-48-4	0000032806	2003/05/15	小説・恋愛をめぐる２４の省察			アラン・ド・ボトン／畔柳　和代．訳	943	ﾎﾞ		白水社	1998	287	20	2003
978-4-896913-43-9	0000032807	2003/05/13	続・魔女が語るグリム童話			池田　香代子	943	ｲｶ	2	洋泉社	1998	217	20	2003
978-4-894341-11-1	0000032808	2003/05/17	年表　／女と男の日本史　／女と男の時空−日本女性史再考−別巻／			「女と男の時空」編纂委員会．編	210	ｵ		藤原書店	1998	432	22	2003
	0000032809	2003/10/03	奇跡の食品			ジーン・カーパー／丸元　淑生．訳	498.58	ｶ		角川春樹事務所	1998	300	19	2003
978-4-103597-04-9	0000032810	2003/01/16	ファミリー・ビジネス			米谷　ふみ子	913.6	ｺ		新潮社	1998	209	20	2003
978-4-062094-66-5	0000032811	2003/02/15	どうころんでも社会科			清水　義範／西原　理恵子．絵	914.6	ｼﾖ		講談社	1998	264	20	2003
978-4-480690-23-4	0000032812	2003/09/15	キミは動物と暮らせるか？		にこにこブックス㈺	飴屋　法水	480.4	ｱﾉ		筑摩書房	1997	187	19	2003
978-4-540980-09-1	0000032813	2003/05/20	人づくり風土記　２９／奈良			農山漁村文化協会．編	210.5	ﾉ	29	農山漁村文化協会	1998	367	27	2003
978-4-022572-98-1	0000032815	2003/02/16	文学なんかこわくない			高橋　源一郎	914.6	ﾀｹ		朝日新聞社	1998	230	20	2003
978-4-277453-13-4	0000032818	2003/10/12	自然の素材を生かして・かごづくり			谷川　栄子	592.7	ﾀｴ		雄鶏社	1998	80	26	2003
978-4-163546-30-8	0000032820	2003/03/07	時代の寸法			森　毅	914.6	ﾓﾂ		文藝春秋	1998	246	20	2003
978-4-887018-41-9	0000032821	2003/04/07	ただいまこの本品切れです			鈴木　廉也	914.6	ｽﾚ		ミオシン出版	1998	215	19	2003
978-4-163546-00-1	0000032826	2003/02/03	約束された場所で			村上　春樹	913.6	ﾑﾊ		文藝春秋	1998	268	20	2003
978-4-061892-05-7	0000032827	2003/09/14	森にうまれた愛の物語　／野生チンパンジーのなかまたち			ジェーン・グドール．文／アラン・マークス．絵／河合　雅雄．訳	482	ｸﾞ		講談社	1998	40	26	2003
	0000032828	2003/02/03	創価大学		シリーズ　大学は挑戦する	悠木　夏文	377	ﾕ		栄光教育文化研究所	1996	273	19	2003
978-4-106018-67-1	0000032831	2003/10/20	絵巻を読み解く　／美術館へ行こう			若杉　準治	721.2	ﾜｼ		新潮社	1998	207	20	2003
978-4-002400-38-9	0000032832	2003/06/05	六百番歌合　／新日本古典文学大系　３８		新日本古典文学大系　３８	久保田　淳．他	910.8	ｸｼﾞ	38	岩波書店	1998	554	22	2003
978-4-794963-72-7	0000032833	2003/10/15	２０世紀をつくった日用品　／ゼム・クリップからプレハブまで			柏木　博	590.2	ｶﾋ		晶文社	1998	225	22	2003
978-4-791609-91-8	0000032834	2003/10/17	紅茶カタログ　（ＴＥＡ　ｃａｔａｌｏｇｕｅ）		健康茶カタログ	ナヴィ　インターナショナル．編	619.8	ﾅ		西東社	1997	196	21	2003
978-4-087743-67-8	0000032835	2003/01/28	預言者ノストラダムス　〈上〉			藤本　ひとみ	913.6	ﾌ	上	集英社	1998	349	20	2003
978-4-795273-43-6	0000032836	2003/07/30	現代教育直語　／迷えるおとなのための／いま子に何を伝えればよいか			八ッ塚　実	370.4	ﾔﾐ		光雲社	1998	361	19	2003
978-4-087743-78-4	0000032837	2003/01/28	預言者ノストラダムス　〈下〉			藤本　ひとみ	913.6	ﾌ	下	集英社	1998	342	20	2003
	0000032839	2003/07/08	オーストラリア１００の常識			デビッド・デール／小林　健／久村　研．訳	297.109	ﾃﾞ		大修館書店	1998	240	19	2003
978-4-140803-92-9	0000032840	2003/04/05	証言１０代　／もっと言いたい！　私たちのこと			江川　紹子／ＮＨＫ少年少女プロジェクト．編	916	ｴｼ		日本放送出版協会	1998	245	20	2003
978-4-756901-34-7	0000032841	2003/07/21	ヨーロッパ新通貨・ユーロのことがわかる本			相沢　幸悦	337	ｱｺ		明日香出版社	1998	207	19	2003
978-4-469244-36-6	0000032843	2003/08/22	オーストラリア・アボリジニの伝説　／ドリームタイム			ジーン・Ａ・エリス／森　秀樹．監修／国分寺翻訳研究会．訳	388.71	ｱ		大修館書店	1998	222	20	2003
978-4-569546-18-6	0000032844	2003/07/17	イタリアン・カップチーノをどうぞ　／幸せが天から降ってくる国			内田　洋子／朝倉　めぐみ．絵	293.709	ｳﾖ		ＰＨＰ研究所	1997	203	20	2003
978-4-087811-65-0	0000032848	2003/10/06	林檎の礼拝堂			田窪　恭治	501.8	ﾀｷ		集英社	1998	159	22	2003
978-4-106026-42-3	0000032849	2003/01/15	ジオラマ		新潮エンターテインメント倶楽部ＳＳ	桐野　夏生	913.6	ｷ		新潮社	1998	264	20	2003
