9784-003261378,80940,2023/06/21,罪と罰　下,ﾂﾐ ﾄ ﾊﾞﾂ,,,岩波文庫,ｲﾜﾅﾐﾌﾞﾝｺ,ドストエフスキー 作　江川 卓 訳,ﾄﾞｽﾄｴﾌｽｷｰ ﾌｮｰﾄﾞﾙ･ﾐﾊｲﾛｳﾞｨﾁ ｴｶﾞﾜ ﾀｸ ﾄﾞｽﾄｴﾌｽｷｰ,,983,ﾄﾞ,3,岩波書店,2000,431p,15cm,1070,00006888,,,図書費,佐藤教栄,1070,文庫書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319191,80968,2023/08/29,世界史とは何か　「歴史実践」のために,ｾｶｲｼ ﾄﾜ ﾅﾆ ｶ,,,岩波新書　新赤版　１９１９,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1919,小川 幸司 著,ｵｶﾞﾜ ｺｳｼﾞ,,209.5,ｵ,,岩波書店,2023,6 261p,18cm,1000,23025376,世界史とは何かについて、これまでの教育実践で生徒と一緒に考えたことを振り返り、それを「歴史総合」の授業を充実させる作戦（方法）として再定義。「歴史総合」が対象とする１８世紀以降の近現代史の授業プランを構想する。,セカイシ キンダイ　レキシガク　レキシキョウイク　世界史 近代　歴史学　歴史教育,図書費,佐藤教栄,1000,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319658,80872,2023/05/29,サピエンス減少　縮減する未来の課題を探る,ｻﾋﾟｴﾝｽ ｹﾞﾝｼｮｳ,,,岩波新書　新赤版　１９６５,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1965,原 俊彦 著,ﾊﾗ ﾄｼﾋｺ,,334.3,ﾊ,,岩波書店,2023,9 167p,18cm,880,23012741,人口増を前提にした政治と経済、文化、社会システムは再構築を迫られている。もはや不可避の未来である世界の人口減少の“最突端”に位置する日本から、サピエンスの未来を考察する。,ジンコウモンダイ　人口問題,図書費,佐藤共栄,880,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319665,80892,2023/06/06,アリストテレスの哲学,ｱﾘｽﾄﾃﾚｽ ﾉ ﾃﾂｶﾞｸ,,,岩波新書　新赤版　１９６６,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1966,中畑 正志 著,ﾅｶﾊﾀ ﾏｻｼ,,131.4,ﾅ,,岩波書店,2023,11 266 4p,18cm,1060,23012744,日常と通念から出発し、明確な方法にもとづく吟味により知を構造化して深化させ、世界を理解する哲学者アリストテレス。彼の〈探究と知の方法〉を示したうえで、人間、社会、自然を貫く議論の全体像と核心を明らかにする。,アリストテレス,図書費,佐藤共栄,1060,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319672,80873,2023/05/29,軍と兵士のローマ帝国,ｸﾞﾝ ﾄ ﾍｲｼ ﾉ ﾛｰﾏ ﾃｲｺｸ,,,岩波新書　新赤版　１９６７,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1967,井上 文則 著,ｲﾉｳｴ ﾌﾐﾉﾘ,,232.8,ｲ,,岩波書店,2023,4 255 2p,18cm,960,23012746,文明の帝国か、豺狼の帝国か－。建国から西ローマ帝国滅亡まで、軍隊と政治・社会との関わりを多角的に追跡。兵士の生涯にも光をあてて新たなローマ史を描き、その盛衰をユーラシア史のなかに位置づける。,ローマ（コダイ）　グンタイ レキシ　ローマ（古代）　軍隊 歴史,図書費,佐藤共栄,960,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319689,80874,2023/05/29,川端康成　孤独を駆ける,ｶﾜﾊﾞﾀ ﾔｽﾅﾘ,,,岩波新書　新赤版　１９６８,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1968,十重田 裕一 著,ﾄｴﾀﾞ ﾋﾛｶｽﾞ,,910.268,ﾄ,,岩波書店,2023,6 256 22p,18cm,1060,23012748,孤独の精神を源泉に、他者とのつながりをもたらすメディアへの関心を生涯にわたって持ち続けた川端康成。メディアの状況が劇的に変化していく時代のなかを、旺盛な創作活動のもとに駆け抜けていった作家の軌跡を活写する。,カワバタ ヤスナリ　川端康成,図書費,佐藤共栄,1060,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319696,80891,2023/06/06,会社法入門　第３版,ｶｲｼｬ ﾎｳ ﾆｭｳﾓﾝ,,,岩波新書　新赤版　１９６９,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1969,神田 秀樹 著,ｶﾝﾀﾞ ﾋﾃﾞｷ,,325.2,ｶ,,岩波書店,2023,10 290p,18cm,1120,23018148,会社法の構造と内容をコンパクトに解説。令和元年改正、コーポレートガバナンス・コードの改訂、東証市場区分の見直し、総会資料の電子化といった新動向を織り込むとともに、ＤＸやＳＤＧｓなどへの対応も展望する第３版。,カイシャホウ　会社法,図書費,佐藤共栄,1120,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319702,80890,2023/06/06,動物がくれる力　教育、福祉、そして人生,ﾄﾞｳﾌﾞﾂ ｶﾞ ｸﾚﾙ ﾁｶﾗ,,,岩波新書　新赤版　１９７０,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1970,大塚 敦子 著,ｵｵﾂｶ ｱﾂｺ,,645.9,ｵ,,岩波書店,2023,10 267 7p,18cm,1060,23018152,犬への読み聞かせは子どもを読書へ誘い、生きづらさを抱える子どもは傷ついた動物をケアする中で育つ。病気のある人や高齢者も、犬や猫と共に心豊かな日々を過ごす。人と動物のポジティブなかかわりとそこにある可能性を綴る。,ペット　アニマルセラピー　キョウイク　シャカイフクシ　ペット　アニマルセラピー　教育　社会福祉,図書費,佐藤共栄,1060,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319719,80889,2023/06/06,優しいコミュニケーション　「思いやり」の言語学,ﾔｻｼｲ ｺﾐｭﾆｹｰｼｮﾝ,,,岩波新書　新赤版　１９７１,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1971,村田 和代 著,ﾑﾗﾀ ｶｽﾞﾖ,,801.03,ﾑ,,岩波書店,2023,7 205 6p,18cm,940,23018155,日常の会話やビジネス会議、オンラインの話し合いやリスクコミュニケーションを、社会言語学の視点から分析。コミュニケーションを成り立たせる条件や、誰も排除しない社会に向けた「人に優しい話し方・聞き方」を考える。,ゲンゴシャカイガク　コミュニケーション　言語社会学　コミュニケーション,図書費,佐藤共栄,940,新書書架,,,,,False,,,,False,,,,False,False,True,,
9784-004319726,80888,2023/06/06,まちがえる脳,ﾏﾁｶﾞｴﾙ ﾉｳ,,,岩波新書　新赤版　１９７２,ｲﾜﾅﾐｼﾝｼｮｼﾝｱｶﾊﾞﾝ 1972,櫻井 芳雄 著,ｻｸﾗｲ ﾖｼｵ,,491.371,ｻ,,岩波書店,2023,5 229 7p,18cm,940,23018157,脳はまちがえるという事実に焦点を当て、多くの事例を紹介。そして、脳内の信号伝達が本来不確かで確率的であることや、間違えるからこそ新たなアイデアを創造し、高次機能を実現することを、研究成果をふまえて解説する。,ノウ　脳,図書費,佐藤共栄,940,新書書架,,,,,False,,,,False,,,,False,False,True,,
