ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-062202-26-8	0000049282	2016/11/17	ヴァラエティ			奥田 英朗／著	913.6	オ		講談社	2016	270p	19cm	2016
978-4-062779-02-9	0000049283	2016/11/17	大江戸妖怪かわら版 ４ 天空の竜宮城		講談社文庫 こ７３−１５	香月 日輪／著	913.6	コ	4	講談社	2014	190p	15cm	2016
978-4-062931-63-2	0000049284	2016/11/17	大江戸妖怪かわら版 ５ 雀、大浪花に行く		講談社文庫 こ７３−１７	香月 日輪／著	913.6	コ	5	講談社	2015	181p	15cm	2016
978-4-062934-84-8	0000049285	2016/11/17	大江戸妖怪かわら版 ６ 魔狼、月に吠える		講談社文庫 こ７３−２６	香月 日輪／著	913.6	コ	6	講談社	2016	205p	15cm	2016
978-4-062202-40-4	0000049286	2016/11/17	危険なビーナス			東野 圭吾／著	913.6	ヒ		講談社	2016	379p	19cm	2016
978-4-061965-34-8	0000049287	2016/11/17	三国志 ２		吉川英治歴史時代文庫 ３４	吉川 英治／著	913.6	ヨ	2	講談社	1989	501p	15cm	2016
978-4-061965-36-2	0000049288	2016/11/17	三国志 ４		吉川英治歴史時代文庫 ３６	吉川 英治／著	913.6	ヨ	4	講談社	1989	459p	15cm	2016
978-4-061965-37-9	0000049289	2016/11/17	三国志 ５		吉川英治歴史時代文庫 ３７	吉川 英治／著	913.6	ヨ	5	講談社	1989	491p	15cm	2016
978-4-061965-38-6	0000049290	2016/11/17	三国志 ６		吉川英治歴史時代文庫 ３８	吉川 英治／著	913.6	ﾖ	6	講談社	1989	491p	15cm	2016
978-4-061965-39-3	0000049291	2016/11/17	三国志 ７		吉川英治歴史時代文庫 ３９	吉川 英治／著	913.6	ヨ	7	講談社	1989	469p	15cm	2016
978-4-061965-40-9	0000049292	2016/11/17	三国志 ８		吉川英治歴史時代文庫 ４０	吉川 英治／著	913.6	ヨ	8	講談社	1989	425p	15cm	2016
978-4-062201-52-0	0000049293	2016/11/18	ジニのパズル			崔 実／著	913.6	チ		講談社	2016	185p	20cm	2016
978-4-061498-91-4	0000049294	2016/11/17	生物と無生物のあいだ		講談社現代新書 １８９１	福岡 伸一／著	460.4	フ		講談社	2007	285p	18cm	2016
978-4-062838-98-6	0000049295	2016/11/18	撫物語		講談社ＢＯＸ	西尾 維新／著	913.6	ニ		講談社	2016	245p	19cm	2016
978-4-062883-53-5	0000049296	2016/11/17	本物の英語力		講談社現代新書 ２３５３	鳥飼 玖美子／著	830.7	ト		講談社	2016	208p	18cm	2016
978-4-062934-45-9	0000049297	2016/11/18	霊感検定		講談社文庫 お１２４−１	織守 きょうや／著	913.6	オ		講談社	2016	405p	15cm	2016
978-4-062881-77-7	0000049298	2016/11/17	わかりあえないことから コミュニケーション能力とは何か		講談社現代新書 ２１７７	平田 オリザ／著	361.4	ヒ		講談社	2012	230p	18cm	2016
978-4-334039-44-8	0000049299	2016/11/18	ＩＳの人質 １３カ月の拘束、そして生還		光文社新書 ８４１	プク・ダムスゴー／著 山田 美明／訳	316.4	ダ		光文社	2016	485p	18cm	2016
978-4-336060-41-9	0000049300	2016/11/18	戦争と看護婦			川嶋 みどり／著 川原 由佳里／著 山崎 裕二／著 吉川 竜子／著	210.7	セ		国書刊行会	2016	283p	20cm	2016
978-4-338299-01-5	0000049301	2016/11/18	ウォーリアーズ ４−１ 予言の猫			エリン・ハンター／作 高林 由香子／訳	933.7	ﾊ	45017	小峰書店	2016	399p	20cm	2016
978-4-338299-02-2	0000049302	2016/11/17	ウォーリアーズ ４−２ 消えゆく鼓動			エリン・ハンター／作 高林 由香子／訳	933.7	ハ	45018	小峰書店	2016	423p	20cm	2016
978-4-385151-12-0	0000049303	2016/11/17	映画評大全			共同通信文化部／編	778.2	エ		三省堂	2016	560p	22cm	2016
978-4-087734-87-4	0000049304	2016/11/18	アウシュヴィッツの図書係			アントニオ・Ｇ．イトゥルベ／著 小原 京子／訳	963	イ		集英社	2016	445p	19cm	2016
978-4-087716-53-5	0000049305	2016/11/18	海の見える理髪店			荻原 浩／著	913.6	オ		集英社	2016	234p	20cm	2016
978-4-087454-87-1	0000049306	2016/11/18	鏡の花		集英社文庫 み４６−２	道尾 秀介／著	913.6	ミ		集英社	2016	375p	16cm	2016
978-4-087710-13-7	0000049307	2016/11/17	空への助走 福蜂工業高校運動部			壁井 ユカコ／著	913.6	ｶ		集英社	2016	304p	19cm	2016
978-4-087716-19-1	0000049308	2016/11/17	陸王			池井戸 潤／著	913.6	イ		集英社	201	588p	19cm	2016
978-4-094088-81-6	0000049310	2016/11/17	くちびるに歌を		小学館文庫 な２０−１	中田 永一／著	913.6	ﾅ		小学館	2013	316p	16cm	2016
978-4-396114-75-6	0000049311	2016/11/18	宇宙エレベーター その実現性を探る		祥伝社新書 ４７５	佐藤 実／著	538.9	サ		祥伝社	2016	237p	18cm	2016
978-4-396342-39-5	0000049312	2016/11/19	ライオンの棲む街		祥伝社文庫 ひ１４−１ 平塚おんな探偵の事件簿 １	東川 篤哉／著	913.6	ヒ		祥伝社	2016	362p	16cm	2016
978-4-794969-28-6	0000049313	2016/11/17	文字を作る仕事			鳥海 修／著	727.8	ト		晶文社	2016	235p	20cm	2016
978-4-860814-98-4	0000049314	2016/11/17	感情的にならない本 不機嫌な人は幼稚に見える		ＷＩＤＥ　ＳＨＩＮＳＨＯ ２０３	和田 秀樹／著	141.6	ﾜ		新講社	2013	190p	18cm	2016
978-4-104075-07-2	0000049315	2016/11/17	青い鳥			重松 清／著	913.6	シ		新潮社	2007	325p	20cm	2016
978-4-101157-44-3	0000049316	2016/11/18	暗殺者		新潮文庫 剣客商売 １４	池波 正太郎／著	913.6	イ	14	新潮社	2003	287p	16cm	2016
978-4-101157-37-5	0000049317	2016/11/17	隠れ簔		新潮文庫 剣客商売 ７	池波 正太郎／著	913.6	イ	7	新潮社	2002	386p	16cm	2016
978-4-101157-33-7	0000049318	2016/11/17	陽炎の男		新潮文庫 剣客商売 ３	池波 正太郎／著	913.6	イ	3	新潮社	2002	337p	16cm	2016
978-4-101157-38-2	0000049319	2016/11/17	狂乱		新潮文庫 剣客商売 ８	池波 正太郎／著	913.6	イ	8	新潮社	2002	349p	16cm	2016
978-4-101157-31-3	0000049320	2016/11/17	剣客商売		新潮文庫 剣客商売 １	池波 正太郎／著	913.6	イ	1	新潮社	2002	365p	16cm	2016
978-4-101094-01-4	0000049321	2016/11/17	小泉八雲集 改版		新潮文庫 こ−１−１	小泉 八雲／著 上田 和夫／訳	933.6	ハ		新潮社	2012	492p	16cm	2016
978-4-106105-76-0	0000049322	2016/11/17	「自分」の壁		新潮新書 ５７６	養老 孟司／著	304	ヨ		新潮社	2014	222p	18cm	2016
978-4-101157-42-9	0000049323	2016/11/17	十番斬り		新潮文庫 剣客商売 １２	池波 正太郎／著	913.6	イ	12	新潮社	2003	345p	16cm	2016
978-4-101157-35-1	0000049324	2016/11/17	白い鬼		新潮文庫 剣客商売 ５	池波 正太郎／著	913.6	イ	5	新潮社	2002	380p	16cm	2016
978-4-101361-21-5	0000049325	2016/11/17	そこに僕はいた 改版		新潮文庫 つ−１７−１	辻 仁成／著	914.6	ツ		新潮社	2014	215p	16cm	2016
978-4-101204-96-3	0000049326	2016/11/17	それでも、日本人は「戦争」を選んだ		新潮文庫 か−７７−１	加藤 陽子／著	210.6	カ		新潮社	2016	497p	16cm	2016
978-4-101157-32-0	0000049327	2016/11/17	辻斬り		新潮文庫 剣客商売 ２	池波 正太郎／著	913.6	イ	2	新潮社	2002	316p	16cm	2016
978-4-101157-34-4	0000049328	2016/11/17	天魔		新潮文庫 剣客商売 ４	池波 正太郎／著	913.6	イ	4	新潮社	2002	380p	16cm	2016
978-4-103330-62-2	0000049329	2016/11/17	何様			朝井 リョウ／著	913.6	ｱ		新潮社	2016	316p	20cm	2016
978-4-101157-36-8	0000049330	2016/11/17	新妻		新潮文庫 剣客商売 ６	池波 正太郎／著	913.6	イ	6	新潮社	2002	363p	16cm	2016
978-4-101157-45-0	0000049331	2016/11/18	二十番斬り		新潮文庫 剣客商売 １５	池波 正太郎／著	913.6	イ	15	新潮社	2003	282p	16cm	2016
978-4-101157-43-6	0000049332	2016/11/18	波紋		新潮文庫 剣客商売 １３	池波 正太郎／著	913.6	イ	13	新潮社	2003	345p	16cm	2016
978-4-101157-40-5	0000049333	2016/11/17	春の嵐		新潮文庫 剣客商売 １０	池波 正太郎／著	913.6	イ	10	新潮社	2003	369p	16cm	2016
978-4-101157-46-7	0000049334	2016/11/18	浮沈		新潮文庫 剣客商売 １６	池波 正太郎／著	913.6	イ	16	新潮社	2003	301p	16cm	2016
978-4-104056-07-1	0000049335	2016/11/17	僕は少年ゲリラ兵だった 陸軍中野学校が作った沖縄秘密部隊			ＮＨＫスペシャル取材班／著	219.9	ボ		新潮社	2016	215p	20cm	2016
978-4-101157-39-9	0000049336	2016/11/17	待ち伏せ		新潮文庫 剣客商売 ９	池波 正太郎／著	913.6	イ	9	新潮社	2003	346p	16cm	2016
978-4-799104-98-9	0000049337	2016/11/18	「行動デザイン」の教科書 人を動かすマーケティングの新戦略			博報堂行動デザイン研究所／著 国田 圭作／著	675	コ		すばる舎	2016	286p	20cm	2016
978-4-799104-87-3	0000049338	2016/11/18	それで寿命は何秒縮む？ 「損失余命」というリスクのものさし			半谷 輝己／著	498.3	ハ		すばる舎	2016	246p	19cm	2016
978-4-413039-58-1	0000049339	2016/11/17	結局、「すぐやる人」がすべてを手に入れる 能力以上に結果が出る「行動力」の秘密			藤由 達蔵／著	159	ﾌ		青春出版社	2015	206p	20cm	2016
978-4-794222-12-1	0000049340	2016/11/18	外来種は本当に悪者か？ 新しい野生ＴＨＥ　ＮＥＷ　ＷＩＬＤ			フレッド・ピアス／著 藤井 留美／訳	468	ピ		草思社	2016	320 15p	19cm	2016
978-4-794222-13-8	0000049341	2016/11/18	声に出して読みたい旧約聖書〈文語訳〉			斎藤 孝／著	193.1	サ		草思社	2016	255p	19cm	2016
978-4-469213-55-3	0000049342	2016/11/18	思わず使ってみたくなる知られざることわざ			時田 昌瑞／著	388.8	ト		大修館書店	2016	207p	19cm	2016
978-4-800258-04-5	0000049343	2016/11/18	日本の給料＆職業図鑑Ｐｌｕｓ			給料ＢＡＮＫ／著	366.4	ニ		宝島社	2016	191p	21cm	2016
978-4-800226-10-5	0000049344	2016/11/17	ぼくは明日、昨日のきみとデートする		宝島社文庫 Ｃな−１０−１	七月 隆文／著	913.6	ナ		宝島社	2014	287p	16cm	2016
978-4-121021-74-8	0000049345	2016/11/17	植物はすごい 生き残りをかけたしくみと工夫		中公新書 ２１７４	田中 修／著	471.3	タ		中央公論新社	2012	236p	18cm	2016
978-4-198634-71-1	0000049346	2016/11/17	生きるぼくら			原田 マハ／著	913.6	ハ		徳間書店	2012	385p	20cm	2016
978-4-816926-28-0	0000049347	2016/11/18	難読誤読魚介類漢字よみかた辞典			日外アソシエーツ株式会社／編集	487.5	ナ		紀伊国屋書店（発売）	2016	20 102p	19cm	2016
