ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
	0000047523	2014/01/07	記憶のしくみ : 脳の認知と記憶システム. 【下】		ブルーバックス	ラリー・Ｒ・スクワイア／エリック・Ｒ・カンデル．共著／小西　史朗／桐野　豊．監修	491.37	ｽ	下	講談社	2013	300	18	2014
	0000047524	2014/01/07	死なないやつら : 極限から考える「生命とは何か」		ブルーバックス	長沼　毅	460	ﾅﾀ		講談社	2013	237	18	2014
	0000047525	2014/01/07	古代世界の超技術 : あっと驚く「巨石文明」の智慧		ブルーバックス	志村　史夫	502	ｼﾌ		講談社	2013	254	18	2014
	0000047526	2014/01/07	気候変動はなぜ起こるのか : グレート・オーシャン・コンベヤーの発見		ブルーバックス	ウォーレス・ブロッカー／川幡　穂高／他．	451.85	ﾌﾞ		講談社	2013	209	18	2014
	0000047527	2014/01/07	ヨーロッパがわかる : 起源から統合への道のり		岩波゛ュニア新書	明石　和康	230	ｱｶ		岩波書店	2013	180	18	2014
	0000047528	2014/01/07	心は前を向いている		岩波゛ュニア新書	串崎　真志	140	ｸﾏ		岩波書店	2013	209	18	2014
	0000047529	2014/01/07	ヘイト・スピーチとは何か		岩波新書	諸岡　康子	316.8	ﾓﾔ		岩波書店	2013	222	18	2014
	0000047530	2014/01/07	性と法律 : 変わったこと、変えたいこと 		岩波新書	角田　由紀子	367.21	ﾂﾕ		岩波書店	2013	259	18	2014
	0000047531	2014/01/07	中学受験		岩波新書	横田　増生	376.8	ﾖﾏ		岩波書店	2013	236	18	2014
	0000047532	2014/01/07	植民地朝鮮と日本		岩波新書	趙　景達	221.06	ﾁ		岩波書店	2013	260	18	2014
	0000047533	2014/01/07	イギリス史１０講		岩波新書	近藤　和彦	233	ｺｶ		岩波書店	2013	306	18	2014
	0000047534	2014/01/07	言葉と歩く日記		岩波新書	多和田　葉子	915.6	ﾀﾖ		岩波書店	2013	236	18	2014
	0000047535	2014/01/07	非核芸術案内 : 核はどう描かれてきたか 		岩波ブックレット	岡村　幸宣	704	ｵﾕ		岩波書店	2013	63	21	2014
	0000047536	2014/01/07	守られなかった奇跡の山 : 高尾山から公共事業を問う		岩波ブックレット	高尾山の自然をまもる市民の会．編	519.81	ﾀ		岩波書店	2013	71	21	2014
	0000047537	2014/01/07	論理が伝わる世界標準の「プレゼン術」 : 一生モノの「説得技法」 		ブルーバックス	倉島　保美	336.49	ｸﾔ		講談社	2013	254	18	2014
	0000047538	2014/01/07	今さら聞けない科学の常識. 3 (聞くなら今でしょ!) 		ブルーバックス	朝日新聞科学医療部．編	404	ｱ		講談社	2013	318	18	2014
	0000047539	2014/01/07	分子からみた生物進化 : DNAが明かす生物の歴史		ブルーバックス	宮田　隆	467.5	ﾐﾀ		講談社	2013	318	18	2014
	0000047540	2014/01/31	入門者のJavaScript : 作りながら学ぶWebプログラミング 		ブルーバックス	立山　秀利	007.64	ﾀﾋ		講談社	2013	286	18	2014
	0000047541	2014/01/31	書き出しは誘惑する : 小説の楽しみ 		岩波ジュニア新書	中村　邦生	902.3	ﾅｸ		岩波書店	2013	223	18	2014
	0000047542	2014/01/31	英詩のこころ		岩波ジュニア新書	福田　昇八	931	ﾌｼ		岩波書店	2013	208	18	2014
	0000047543	2014/01/31	人を幸せにする目からウロコ!研究		岩波ジュニア新書	萩原　一郎．編著	507	ﾊｲ		岩波書店	2013	233	18	2014
	0000047544	2014/01/31	比較のなかの改憲論 : 日本国憲法の位置		岩波新書	辻村　みよ子	323.14	ﾂﾐ		岩波書店	2013	229	18	2014
	0000047545	2014/01/31	子どもの貧困. ㈼(解決策を考える) 		岩波新書	阿部　彩	367.61	ｱｱ		岩波書店	2013	254	18	2014
	0000047546	2014/01/31	もっと面白い本		岩波新書	成毛　眞	019.9	ﾅﾏ		岩波書店	2013	163	18	2014
	0000047547	2014/01/31	地球外生命 : われわれは孤独か		岩波新書	長沼　毅／井田　茂	440	ﾅﾀ		岩波書店	2013	201	18	2014
	0000047548	2014/01/31	ベアテ・シロタと日本国憲法 : 父と娘の物語		岩波新書	ナスリーン・アジミ／ミシェル・ワッセルマン．共著／小泉　直子．訳	289.3	ｱ		岩波書店	2013	71	21	2014
	0000047549	2014/01/31	海をよみがえらせる : 諫早湾の再生から考える		岩波ブックレット	佐藤　正典	519.81	ｻﾏ		岩波書店	2013	71	21	2014
978-4-167703-02-8	0000047550	2014/01/31	半島		文春文庫	松浦　寿輝	913.6	ﾏﾋ		文藝春秋	2007	345	15	2014
978-4-062766-70-8	0000047551	2014/01/31	ロック母		講談社文庫	角田　光代	913.6	ｶﾐ		講談社	2011	294	15	2014
9784847060212	0000047552	2014/01/31	ＩＴは人を幸せにしない	２１世紀の幸福論	ﾜﾆﾌﾞｯｸｽＰＬＵＳ叢書	志村　史夫	404	ｼﾌ		ワニブッス	2010	221p	18cm	2014
9784-569791302	0000047553	2014/01/31	「肩の荷」をおろして生きる		ＰＨＰ新書	上田　紀行	304	ｳﾉ		ＰＨＰ研究所	2102	269p	18cm	2014
978-4-756148-91-9	0000047554	2014/04/30	変われる国・日本へ	イノベート・ﾆｯﾎﾟﾝ	アスキー新書	坂村　健	304	ｻｹ		アスキー	2007	187p	18cm	2014
978-4-890951-29-1	0000047555	2014/04/30	血であがなったもの	鉄血勤皇師範隊／少年たちの沖縄戦		大田　昌秀	210.75	ｵﾏ		那覇出版社	2000	286	18	2014
9784140910993	0000047556	2014/04/30	暴力はどこからきたか	人間性の起源を探る	ＮＨＫブックス　１０９９	山極　寿一	489.9	ﾔｼﾞ		日本放送出版協会	2011	244p	19cm	2014
9784-828415796	0000047557	2014/04/30	脳をやる気にさせるたった１つの習慣	なぜやりたいことを書き出すと実現するのか？		茂木　健一郎	498.39	ﾓｹ		ビジネス社	2010	238	19	2014
9784-622072003	0000047558	2014/04/30	青の奇蹟			松浦　寿輝	914.6	ﾏﾋ		みすず書房	2006	345	20	2014
9784-895001250	0000047559	2014/04/30	人間と科学・技術			志村　史夫	404	ｼﾌ		牧野出版	2009	364p	20cm	2014
978-4-901646-16-1	0000047560	2014/04/30	旅学的な文体			赤坂　憲雄	380.4	ｱﾉ		五柳書院	2010	213p	20cm	2014
