ISBN,登録番号,受入日,title,書名かな,副書名,副書名かな,series,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目,
9788-853001764,81364,2024/09/13,Gothic short stories,,,,Reading and training  intermediate,,W. W. Jacobs ... [et al.],,,837.7,RE,,Black Cat,2004,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 11800w,False,,,,False,,,,False,False,True,,
9788-877547798,81365,2024/09/13,The murders in the Rue Morgue and the purloined letter,,,,Reading and training  intermediate,,Edgar Allan Poe,,,837.7,RE,,Black Cat,1999,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 12200,False,,,,False,,,,False,False,True,,
9788-877547798,81366,2024/09/13,The murders in the Rue Morgue and the purloined letter,,,,Reading and training  intermediate,,Edgar Allan Poe,,,837.7,RE,,Black Cat,1999,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 12200w,False,,,,False,,,,False,False,True,,
9788-877549341,81367,2024/09/13,Silas Marner,,,,Reading and training  upper-intermediate,,George Eliot,,,837.7,RE,,Black Cat,2003,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT6 YL5.5-6.5 14639w,False,,,,False,,,,False,False,True,,
9788-877547798,81368,2024/09/13,The murders in the Rue Morgue and the purloined letter,,,,Reading and training  intermediate,,Edgar Allan Poe,,,837.7,RE,,Black Cat,1999,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 12200w,False,,,,False,,,,False,False,True,,
9788-853007667,81369,2024/09/13,The murders in the Rue Morgue ; and  The purloined letter,,,,Reading and training  step 5  B2.2,,Edgar Allan Poe,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 12200w,False,,,,False,,,,False,False,True,,
9788-877547996,81370,2024/09/13,Wuthering heights,,,,Reading and training  upper-intermediate,,Emily Bronte,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT6 YL5.5-6.5 25300W,False,,,,False,,,,False,False,True,,
9788-877547996,81371,2024/09/13,Wuthering heights,,,,Reading and training  Step Six C1,,Emily Bronte,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR6 YL5.5 25300w,False,,,,False,,,,False,False,True,,
9788-877547996,81372,2024/09/13,Wuthering heights,,,,Reading and training  Step Six C1,,Emily Bronte,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT6 YL5.5-6.5 25300w,False,,,,False,,,,False,False,True,,
9788-853003249,81373,2024/09/13,Wuthering heights,,,,Reading and training  Step 5 B2.2,,Emily Bronte,,,837.7,RE,,Black Cat,2006,143p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 19000w,False,,,,False,,,,False,False,True,,
9788-877547996,81374,2024/09/13,Wuthering heights,,,,Reading and training  Step Six C1,,Emily Bronte,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR6 YL5.5 25300w,False,,,,False,,,,False,False,True,,
9788-877547996,81375,2024/09/13,Wuthering heights,,,,Reading and training  Step Six C1,,Emily Bronte,,,837.7,RE,,Black Cat,2002,128p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR6 YL5.5 25300w,False,,,,False,,,,False,False,True,,
9788-853005687,81376,2024/09/13,Wuthering heights,,,,Reading and training  Step Six C1,,Emily Bronte,,,837.7,RE,,Black Cat,2006,142p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT6 YL5.5-6.5 25300w,False,,,,False,,,,False,False,True,,
9788-853005687,81377,2024/09/13,Wuthering heights,,,,Reading and training  Step Six C1,,Emily Bronte,,,837.7,RE,,Black Cat,2006,142p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT6 YL5.5-6.5 25300w,False,,,,False,,,,False,False,True,,
9788-853005687,81378,2024/09/13,Wuthering heights,,,,Reading and training  Step 6 C1,,Emily Bronte,,,837.7,RE,,Black Cat,2006,142p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT6 YL5.5-6.5 25300w,False,,,,False,,,,False,False,True,,
,81379,2024/09/13,The great Gatsby,,,,Reading and training  step 5,,F. Scott Fitzgerald,,,837.7,RE,,Black Cat,2007,159p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 21000w,False,,,,False,,,,False,False,True,,
9788-877549341,81380,2024/09/13,Silas Marner,,,,Reading and training  upper-intermediate,,George Eliot,,,837.7,RE,,Black Cat,2003,112p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT6 YL5.5-6.5 14639w,False,,,,False,,,,False,False,True,,
9788-853001665,81381,2024/09/13,Middlemarch,,,,Reading and training  intermediate,,George Eliot,,,837.7,RE,,Black Cat,2004,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 21900w,False,,,,False,,,,False,False,True,,
9788-853001665,81382,2024/09/13,Middlemarch,,,,Reading and training  intermediate,,George Eliot,,,837.7,RE,,Black Cat,2004,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 21900w,False,,,,False,,,,False,False,True,,
9788-853001665,81383,2024/09/13,Middlemarch,,,,Reading and training  intermediate,,George Eliot,,,837.7,RE,,Black Cat,2004,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 21900w,False,,,,False,,,,False,False,True,,
9788-877547989,81384,2024/09/13,The mill on the floss,,,,Reading and training  upper-intermediate,,George Eliot,,,837.7,RE,,Black Cat,2002,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT6 YL5.5-6.5 34500w,False,,,,False,,,,False,False,True,,
9788-877547989,81385,2024/09/13,The mill on the floss,,,,Reading and training  upper-intermediate,,George Eliot,,,837.7,RE,,Black Cat,2002,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT6 YL5.5-6.5 34500w,False,,,,False,,,,False,False,True,,
9788-877547989,81386,2024/09/13,The mill on the floss,,,,Reading and training  upper-intermediate,,George Eliot,,,837.7,RE,,Black Cat,2002,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT6 YL5.5-6.5 34500w,False,,,,False,,,,False,False,True,,
9788-853001689,81387,2024/09/13,The portrait of a lady,,,,Reading and training  Step 5,,Henry James,,,837.7,RE,,Black Cat,2006,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 20000w,False,,,,False,,,,False,False,True,,
9788-853001689,81388,2024/09/13,The portrait of a lady,,,,Reading and training  Step 5 B2.2,,Henry James,,,837.7,RE,,Black Cat,2006,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5-5.5 15000w,False,,,,False,,,,False,False,True,,
9788-853001689,81389,2024/09/13,The portrait of a lady,,,,Reading and training  Step 5 B2.2,,Henry James,,,837.7,RE,,Black Cat,2006,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 15000w,False,,,,False,,,,False,False,True,,
9788-853001689,81390,2024/09/13,The portrait of a lady,,,,Reading and training  Step 5 B2.2,,Henry James,,,837.7,RE,,Black Cat,2006,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 20000w,False,,,,False,,,,False,False,True,,
9788-853001689,81391,2024/09/13,The portrait of a lady,,,,Reading and training  Step 5 B2.2,,Henry James,,,837.7,RE,,Black Cat,2006,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 20000w,False,,,,False,,,,False,False,True,,
9788-877549754,81392,2024/09/13,Emma,,,,Reading and training  intermediate,,Jane Austen,,,837.7,RE,,Black Cat,2003,144p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 14000w,False,,,,False,,,,False,False,True,,
