ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-005008-64-3	0000048913	2018/01/11	榎本武揚と明治維新 旧幕臣の描いた近代化		岩波ジュニア新書 ８６４	黒滝 秀久／著	289.1	ｸ		岩波書店	2017	173 10p	18cm	2018
978-4-004316-89-3	0000048914	2018/01/11	治安維持法と共謀罪		岩波新書　新赤版 １６８９	内田 博文／著	326.8	ｳ		岩波書店	2017	242p	18cm	2018
978-4-004316-90-9	0000048915	2018/01/11	原子力規制委員会 独立・中立という幻想		岩波新書　新赤版 １６９０	新藤 宗幸／著	539.091	ｼ		岩波書店	2017	225p	18cm	2018
978-4-004316-91-6	0000048916	2018/01/11	トマス・アクィナス 理性と神秘		岩波新書　新赤版 １６９１	山本 芳久／著	132.2	ﾔ		岩波書店	2017	274 2p	18cm	2018
978-4-004316-92-3	0000048917	2018/01/11	義経伝説と為朝伝説 日本史の北と南		岩波新書　新赤版 １６９２	原田 信男／著	289.1	ﾊ		岩波書店	2017	241 7p	18cm	2018
978-4-004316-93-0	0000048918	2018/01/11	語る歴史、聞く歴史 オーラル・ヒストリーの現場から		岩波新書　新赤版 １６９３	大門 正克／著	210.6	ｵ		岩波書店	2017	263p	18cm	2018
978-4-004316-94-7	0000048919	2018/01/11	科学者と軍事研究		岩波新書　新赤版 １６９４	池内 了／著	407	ｲ		岩波書店	2017	215p	18cm	2018
978-4-002709-76-5	0000048920	2018/01/11	スノーデンが語る「共謀罪」後の日本 大量監視社会に抗するために		岩波ブックレット Ｎｏ．９７６	スノーデン／述 軍司 泰史／著	316.1	ｸﾞ		岩波書店	2017	71p	21cm	2018
978-4-065020-37-1	0000048921	2018/01/11	我々はなぜ我々だけなのか アジアから消えた多様な「人類」たち		ブルーバックス Ｂ−２０３７	川端 裕人／著 海部 陽介／監修	469.2	ｶ		講談社	2017	283p	18cm	2018
978-4-065020-40-1	0000048922	2018/01/11	ペンローズのねじれた四次元 時空はいかにして生まれたのか 増補新版		ブルーバックス Ｂ−２０４０	竹内 薫／著	421.2	ﾀ		講談社	2017	302p	18cm	2018
978-4-065020-41-8	0000048923	2018/01/11	時計の科学 人と時間の５０００年の歴史		ブルーバックス Ｂ−２０４１	織田 一朗／著	535.2	ｵ		講談社	2017	238p	18cm	2018
978-4-065020-43-2	0000048924	2018/01/11	理系のための微分・積分復習帳 高校の微積分からテイラー展開まで		ブルーバックス Ｂ−２０４３	竹内 淳／著	413.3	ﾀ		講談社	2017	222p	18cm	2018
978-4-062178-13-6	0000048925	2018/01/23	人生を変える「数学」そして「音楽」 教科書には載っていない絶妙な関係			中島 さち子／著	410.4	ﾅ		講談社	2012	251p	19cm	2018
978-4-163907-24-6	0000048926	2018/01/23	ユニクロ潜入一年			横田 増生／著	673.7	ﾖ		文芸春秋	2017	309p	20cm	2018
978-4-005008-65-0	0000048927	2018/01/30	はじめての研究レポート作成術		岩波ジュニア新書 ８６５	沼崎 一郎／著	002.7	ﾇ		岩波書店	2018	242p	18cm	2018
978-4-004316-95-4	0000048928	2018/01/30	近代日本一五〇年 科学技術総力戦体制の破綻		岩波新書　新赤版 １６９５	山本 義隆／著	502.1	ﾔ		岩波書店	2018	293 5p	18cm	2018
978-4-004316-96-1	0000048929	2018/01/30	マルクス資本論の哲学		岩波新書　新赤版 １６９６	熊野 純彦／著	331.6	ｸ		岩波書店	2018	269p	18cm	2018
978-4-004316-97-8	0000048930	2018/01/30	内村鑑三 悲しみの使徒		岩波新書　新赤版 １６９７	若松 英輔／著	198.9	ﾜ		岩波書店	2018	257 8p	18cm	2018
978-4-004316-98-5	0000048931	2018/01/30	イスラーム主義 もう一つの近代を構想する		岩波新書　新赤版 １６９８	末近 浩太／著	312.2	ｽ		岩波書店	2018	222 12p	18cm	2018
978-4-004316-99-2	0000048932	2018/01/30	ガンディー 平和を紡ぐ人		岩波新書　新赤版 １６９９	竹中 千春／著	289.2	ﾀ		岩波書店	2018	226 4p	18cm	2018
978-4-004317-00-5	0000048933	2018/01/30	茶と琉球人		岩波新書　新赤版 １７００	武井 弘一／著	619.8	ﾀ		岩波書店	2018	202p	18cm	2018
978-4-004317-01-2	0000048934	2018/01/30	棋士とＡＩ アルファ碁から始まった未来		岩波新書　新赤版 １７０１	王 銘【エン】／著	795	ｵ		岩波書店	2018	211p	18cm	2018
978-4-004317-02-9	0000048935	2018/01/30	技術の街道をゆく		岩波新書　新赤版 １７０２	畑村 洋太郎／著	502.1	ﾊ		岩波書店	2018	180p	18cm	2018
978-4-065020-33-3	0000048936	2018/01/30	ひらめきを生む「算数」思考術 問題解決力を高める厳選４３題		ブルーバックス Ｂ−２０３３	安藤 久雄／著	410.7	ｱ		講談社	2018	217p	18cm	2018
978-4-065020-44-9	0000048937	2018/01/30	日本の伝統　発酵の科学 微生物が生み出す「旨さ」の秘密		ブルーバックス Ｂ−２０４４	中島 春紫／著	588.5	ﾅ		講談社	2018	261p	18cm	2018
978-4-065020-45-6	0000048938	2018/01/30	サイバー攻撃 ネット世界の裏側で起きていること		ブルーバックス Ｂ−２０４５	中島 明日香／著	007.6	ﾅ		講談社	2018	252p	18cm	2018
978-4-065020-46-3	0000048939	2018/01/30	方程式のガロア群 深遠な解の仕組みを理解する		ブルーバックス Ｂ−２０４６	金 重明／著	411.7	ｷ		講談社	2018	242p	18cm	2018
978-4-002709-77-2	0000048940	2018/01/30	保育園は誰のもの 子どもの権利から考える		岩波ブックレット Ｎｏ．９７７	普光院 亜紀／著	369.4	ﾌ		岩波書店	2018	63p	21cm	2018
978-4-103515-31-9	0000048941	2018/02/05	百年泥			石井 遊佳／著	913.6	ｲ		新潮社	2018	125p	20cm	2018
978-4-062207-50-8	0000048942	2018/02/05	銀河鉄道の父			門井 慶喜／著	913.6	ｶ		講談社	2017	408p	20cm	2018
978-4-309026-37-4	0000048943	2018/02/05	おらおらでひとりいぐも			若竹 千佐子／著	913.6	ﾜ		河出書房新社	2017	164p	20cm	2018
978-4-002709-78-9	0000048944	2018/04/13	核兵器を禁止する 条約が世界を変える 新版		岩波ブックレット Ｎｏ．９７８	川崎 哲／著	319.8	ｶ		岩波書店	2018	79p	21cm	2018
978-4-005008-66-7	0000048945	2018/04/13	その情報、本当ですか？ ネット時代のニュースの読み解き方		岩波ジュニア新書 ８６６	塚田 祐之／著	070	ﾂ		岩波書店	2018	231p	18cm	2018
978-4-005008-67-4	0000048946	2018/04/13	ロボットが家にやってきたら… 人間とＡＩの未来		岩波ジュニア新書 ８６７ 〈知の航海〉シリーズ	遠藤 薫／著	548.3	ｴ		岩波書店	2018	173p	18cm	2018
978-4-004317-03-6	0000048947	2018/04/13	官僚たちのアベノミクス 異形の経済政策はいかに作られたか		岩波新書　新赤版 １７０３	軽部 謙介／著	332.1	ｶ		岩波書店	2018	252 5p	18cm	2018
978-4-004317-04-3	0000048948	2018/04/13	地元経済を創りなおす 分析・診断・対策		岩波新書　新赤版 １７０４	枝広 淳子／著	601.1	ｴ		岩波書店	2018	209p	18cm	2018
978-4-004317-05-0	0000048949	2018/04/13	ベルルスコーニの時代 崩れゆくイタリア政治		岩波新書　新赤版 １７０５	村上 信一郎／著	312.3	ﾑ		岩波書店	2018	274p	18cm	2018
978-4-004317-06-7	0000048950	2018/04/13	ナポレオン 最後の専制君主、最初の近代政治家		岩波新書　新赤版 １７０６	杉本 淑彦／著	289.3	ｽ		岩波書店	2018	225 7p	18cm	2018
978-4-004317-07-4	0000048951	2018/04/13	経済数学入門の入門		岩波新書　新赤版 １７０７	田中 久稔／著	331.1	ﾀ		岩波書店	2018	164p	18cm	2018
978-4-004317-08-1	0000048952	2018/04/13	津波災害 減災社会を築く 増補版		岩波新書　新赤版 １７０８	河田 惠昭／著	369.3	ｶ		岩波書店	2018	240p	18cm	2018
978-4-065020-47-0	0000048953	2018/04/13	最新ウイスキーの科学 熟成の香味を生む驚きのプロセス		ブルーバックス Ｂ−２０４７	古賀 邦正／著	588.5	ｺ		講談社	2018	286p	18cm	2018
978-4-065020-48-7	0000048954	2018/04/13	Ｅ＝ｍｃ〔２〕のからくり エネルギーと質量はなぜ「等しい」のか		ブルーバックス Ｂ−２０４８	山田 克哉／著	421.2	ﾔ		講談社	2018	254p	18cm	2018
978-4-065020-49-4	0000048955	2018/04/13	統計ソフト「Ｒ」超入門 実例で学ぶ初めてのデータ解析		ブルーバックス Ｂ−２０４９	逸見 功／著	417	ﾍ		講談社	2018	285p	18cm	2018
978-4-120049-99-6	0000048956	2018/03/28	盤上の向日葵			柚月 裕子／著	913.6	ﾕ		中央公論新社	2017	563p	20cm	2018
978-4-488025-55-7	0000048957	2018/03/28	屍人荘の殺人			今村 昌弘／著	913.6	ｲ		東京創元社	2017	316p	20cm	2018
978-4-344031-94-4	0000048958	2018/03/28	たゆたえども沈まず			原田 マハ／著	913.6	ﾊ		幻冬舎	2017	408p	20cm	2018
978-4-002709-79-6	0000048959	2018/04/16	「北朝鮮の脅威」のカラクリ 変質する日本の安保政策		岩波ブックレット Ｎｏ．９７９	半田 滋／著	392.1	ﾊ		岩波書店	2018	63p	21cm	2018
978-4-002709-80-2	0000048960	2018/04/16	裁量労働制はなぜ危険か 「働き方改革」の闇		岩波ブックレット Ｎｏ．９８０	今野 晴貴／編 嶋崎 量／編	366.3	ｺ		岩波書店	2018	89p	21cm	2018
978-4-002709-81-9	0000048961	2018/04/16	３．１１を心に刻んで ２０１８		岩波ブックレット Ｎｏ．９８１	岩波書店編集部／編	369.3	ｲ	2018	岩波書店	2018	119p	21cm	2018
978-4-005008-68-1	0000048962	2018/04/16	司法の現場で働きたい！ 弁護士・裁判官・検察官		岩波ジュニア新書 ８６８	打越 さく良／編 佐藤 倫子／編	322.8	ｳ		岩波書店	2018	228p	18cm	2018
978-4-005008-69-8	0000048963	2018/04/16	生物学の基礎はことわざにあり カエルの子はカエル？トンビがタカを生む？		岩波ジュニア新書 ８６９	杉本 正信／著	460	ｽ		岩波書店	2018	185 2p	18cm	2018
978-4-004317-10-4	0000048964	2018/04/16	ライシテから読む現代フランス 政治と宗教のいま		岩波新書　新赤版 １７１０	伊達 聖伸／著	316.2	ﾀﾞ		岩波書店	2018	243p	18cm	2018
978-4-004317-11-1	0000048965	2018/04/16	マーティン・ルーサー・キング 非暴力の闘士		岩波新書　新赤版 １７１１	黒崎 真／著	198.6	ｸ		岩波書店	2018	240p	18cm	2018
978-4-004317-09-8	0000048966	2018/04/16	インド哲学１０講		岩波新書　新赤版 １７０９	赤松 明彦／著	126	ｱ		岩波書店	2018	241 14p	18cm	2018
978-4-065020-50-0	0000048967	2018/04/16	世界を救った日本の薬 画期的新薬はいかにして生まれたのか？		ブルーバックス Ｂ−２０５０	塚崎 朝子／著	499.3	ﾂ		講談社	2018	286p	18cm	2018
978-4-065020-51-7	0000048968	2018/04/16	「おいしさ」の科学 素材の秘密・味わいを生み出す技術		ブルーバックス Ｂ−２０５１	佐藤 成美／著	498.5	ｻ		講談社	2018	238p	18cm	2018
978-4-065020-52-4	0000048969	2018/04/16	カラー図解Ｒａｓｐｂｅｒｒｙ　Ｐｉではじめる機械学習 基礎からディープラーニングまで		ブルーバックス Ｂ−２０５２	金丸 隆志／著	007.1	ｶ		講談社	2018	382p	18cm	2018
978-4-065020-53-1	0000048970	2018/04/16	鳥！驚異の知能 道具をつくり、心を読み、確率を理解する		ブルーバックス Ｂ−２０５３	ジェニファー・アッカーマン／著 鍛原 多惠子／訳	488.1	ｱ		講談社	2018	411p	18cm	2018
978-4-908979-07-1	0000048971	2018/04/18	自衛戦力と交戦権を肯定せよ		自由社ブックレット １２	小山 常実／著	323.1	ｺ		自由社	2017	107p	19cm	2018
978-4-005008-70-4	0000048972	2018/05/01	覚えておきたい基本英会話フレーズ１３０		岩波ジュニア新書 ８７０	小池 直己／著	837.8	ｺ		岩波書店	2018	236p	18cm	2018
978-4-005008-71-1	0000048973	2018/05/01	リベラルアーツの学び 理系的思考のすすめ		岩波ジュニア新書 ８７１	芳沢 光雄／著	410	ﾖ		岩波書店	2018	206p	18cm	2018
978-4-004317-12-8	0000048974	2018/05/01	ルポ保育格差		岩波新書　新赤版 １７１２	小林 美希／著	369.4	ｺ		岩波書店	2018	240p	18cm	2018
978-4-004317-13-5	0000048975	2018/05/01	データサイエンス入門		岩波新書　新赤版 １７１３	竹村 彰通／著	007.6	ﾀ		岩波書店	2018	166 5p	18cm	2018
978-4-004317-14-2	0000048976	2018/05/01	声優 声の職人		岩波新書　新赤版 １７１４	森川 智之／著	771.7	ﾓ		岩波書店	2018	145 21p	18cm	2018
978-4-004317-15-9	0000048977	2018/05/01	後醍醐天皇		岩波新書　新赤版 １７１５	兵藤 裕己／著	288.4	ﾋ		岩波書店	2018	241 3p	18cm	2018
978-4-004317-16-6	0000048978	2018/05/01	五日市憲法		岩波新書　新赤版 １７１６	新井 勝紘／著	213.6	ｱ		岩波書店	2018	214p	18cm	2018
978-4-002709-82-6	0000048979	2018/05/01	ファクトチェックとは何か		岩波ブックレット Ｎｏ．９８２	立岩 陽一郎／著 楊井 人文／著	070	ﾀ		岩波書店	2018	70p	21cm	2018
978-4-065020-42-5	0000048980	2018/05/01	日本人のための声がよくなる「舌力」のつくり方 声のプロが教える正しい「舌の強化法」		ブルーバックス Ｂ−２０４２	篠原 さなえ／著	809.2	ｼ		講談社	2018	205p	18cm	2018
