ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
9784-750516530	0000051251	2021/01/12	それでもあなたを「赦す」と言う　黒人差別が引き起こした教会銃乱射事件		亜紀書房翻訳ノンフィクション・シリーズ　３−１１	ジェニファー・ベリー・ホーズ 著　仁木 めぐみ 訳	936	ホ		亜紀書房	2021	453p 図版16p	20cm	2021
9784-022649751	0000051252	2021/01/12	ゴースト		朝日文庫　な３８−２	中島 京子 著	913.6	ナ		朝日新聞出版	2020	239p	15cm	2021
9784-022517197	0000051253	2021/01/12	スター			朝井 リョウ 著	913.6	ア		朝日新聞出版	2020	385p	20cm	2021
9784-861192906	0000051254	2021/01/12	ボランティアナースの奇跡			菅原 由美 編・著	369	ス		アートデイズ	2020	263p	19cm	2021
9784-259566692	0000051255	2021/01/12	１８歳からの自炊塾　九州大学生き方が変わる３か月			比良松 道一 著	596	ヒ		家の光協会	2020	175p	19cm	2021
9784-815606671	0000051256	2021/01/12	身近な科学が人に教えられるほどよくわかる本　「朝起きてから、寝るまで」のサイエンス　図解			左巻 健男 編著	404	サ		ＳＢクリエイティブ	2020	239p	19cm	2021
9784-305709295	0000051257	2021/01/12	１４歳からの文章術　一生ものの「発信力」をつける！			小池 陽慈 著	816	コ		笠間書院	2020	291p	19cm	2021
9784-052051715	0000051258	2021/01/12	なぜ僕らは働くのか　君が幸せになるために考えてほしい大切なこと			池上 彰 監修	366	ナ		学研プラス	2020	227p	21cm	2021
9784-046047816	0000051259	2021/01/12	産めないけれど育てたい。　不妊からの特別養子縁組へ			池田 麻里奈 著　池田 紀行 著	367.3	イ		ＫＡＤＯＫＡＷＡ	2021	284p	19cm	2021
9784-048968065	0000051260	2021/01/12	お弁当サンド			若山 曜子 著	596.4	ワ		ＫＡＤＯＫＡＷＡ	2021	111p	25cm	2021
9784-046042729	0000051261	2021/01/12	科学の名著５０冊が１冊でざっと学べる			西村 能一 著	404	ニ		ＫＡＤＯＫＡＷＡ	2021	255p	19cm	2021
9784-041080535	0000051262	2021/01/12	櫻子さんの足下には死体が埋まっている　〔１５〕　わたしを殺したお人形		角川文庫　お６８−１５	太田 紫織 著	913.6	オ	15	ＫＡＤＯＫＡＷＡ	2019	267p	15cm	2021
9784-041098776	0000051263	2021/01/12	櫻子さんの足下には死体が埋まっている　〔１６〕　蝶は聖夜に羽ばたく		角川文庫　お６８−１６	太田 紫織 著	913.6	オ	16	ＫＡＤＯＫＡＷＡ	2021	203p	15cm	2021
9784-041090008	0000051264	2021/01/12	三世代探偵団　〔２〕　枯れた花のワルツ			赤川 次郎 著	913.6	ア	2	ＫＡＤＯＫＡＷＡ	2020	301p	19cm	2021
9784-041095898	0000051265	2021/01/12	三世代探偵団　〔３〕　生命の旗がはためくとき			赤川 次郎 著	913.6	ア	3	ＫＡＤＯＫＡＷＡ	2021	277p	19cm	2021
9784-041026458	0000051266	2021/01/12	短歌ください　明日でイエスは２０１０才篇		角川文庫　ほ２１−４	穂村 弘 著	911.1	ホ		ＫＡＤＯＫＡＷＡ	2021	264p	15cm	2021
9784-049130836	0000051267	2021/01/12	ビブリア古書堂の事件手帖㈼　扉子と空白の時		メディアワークス文庫　み４−９	三上 延 著	913.6	ミ		ＫＡＤＯＫＡＷＡ	2021	281p	15cm	2021
9784-758413596	0000051268	2021/01/12	彼女が天使でなくなる日			寺地 はるな 著	913.6	テ		角川春樹事務所	2021	206p	20cm	2021
9784-780311266	0000051269	2021/01/12	長き沈黙　父が語った悪魔の７３１部隊　残虐非道の教訓から何を学ぶのか　増補版			神谷 則明 著	210.7	カ		かもがわ出版	2020	123p	21cm	2021
9784-309029252	0000051270	2021/01/12	サード・キッチン			白尾 悠 著	913.6	シ		河出書房新社	2020	344p	20cm	2021
9784-297115142	0000051271	2021/01/12	リアルサイズ古生物図鑑　古生物のサイズが実感できる！　新生代編			土屋 健 著　群馬県立自然史博物館 監修	457	ツ		技術評論社	2020	199p	19×27cm	2021
9784-774330785	0000051272	2021/01/12	ウィズ・ユー		くもんの児童文学	濱野 京子 作	913.6	ハ		くもん出版	2020	245p	20cm	2021
9784-344430341	0000051273	2021/01/12	おもいで写眞		幻冬舎文庫　く−２４−１	熊澤 尚人 著	913.6	ク		幻冬舎	2020	246p	16cm	2021
9784-344986008	0000051274	2021/01/12	すばやく鍛える読解力		幻冬舎新書　ひ−２−３	樋口 裕一 著	810.4	ヒ		幻冬舎	2021	210p	18cm	2021
9784-065212035	0000051275	2021/01/12	いつの空にも星が出ていた			佐藤 多佳子 著	913.6	サ		講談社	2020	411p	19cm	2021
9784-065211588	0000051276	2021/01/12	扇物語		講談社ＢＯＸ	西尾 維新 著	913.6	ニ		講談社	2020	243p	19cm	2021
9784-065215562	0000051277	2021/01/12	コンタミ　科学汚染		講談社文庫　い１３７−２	伊与原 新 著	913.6	イ		講談社	2020	367p	15cm	2021
9784-065197691	0000051278	2021/01/12	祝葬		講談社文庫　く７６−１	久坂部 羊 著	913.6	ク		講談社	2020	340p	15cm	2021
9784-065201169	0000051279	2021/01/12	なぜ、読解力が必要なのか？　社会に出るあなたに伝えたい		講談社＋α新書　６−３Ｃ	池上 彰 著	810.4	イ		講談社	2020	181p	18cm	2021
9784-065210451	0000051280	2021/01/12	ネタ元		講談社文庫　と５５−１５	堂場 瞬一 著	913.6	ド		講談社	2020	315p	15cm	2021
9784-065214428	0000051281	2021/01/12	橋の上の子どもたち		文学の扉	パドマ・ヴェンカトラマン 作　田中 奈津子 訳	933.7	ヴ		講談社	2020	255p	20cm	2021
9784-065190166	0000051282	2021/01/12	半沢直樹　アルルカンと道化師		〔半沢直樹〕	池井戸 潤 著	913.6	イ		講談社	2021	344p	19cm	2021
9784-065190630	0000051283	2021/01/12	緑の髪のパオリーノ		講談社文庫　ろ１３−２	ジャンニ・ロダーリ 著　内田 洋子 訳	973	ロ		講談社	2020	200p	15cm	2021
9784-065219546	0000051284	2021/01/12	やばいデジタル　“現実”が飲み込まれる日		講談社現代新書　２５９４	ＮＨＫスペシャル取材班 著	007.3	ヤ		講談社	2020	215p	18cm	2021
9784-772614306	0000051285	2021/01/12	ぼくは６歳、紅茶プランテーションで生まれて。　スリランカ・農園労働者の現実から見えてくる不平等			栗原 俊輔 著	617.4	ク		合同出版	2021	142p	21cm	2021
9784-863112735	0000051287	2021/01/12	世界から守ってくれる世界			塚本 はつ歌 著	913.6	ツ		産業編集センター	2020	247p	19cm	2021
9784-788717046	0000051288	2021/01/12	大人だって読みたい！少女小説ガイド			嵯峨 景子 編著　三村 美衣 編著　七木 香枝 編著	910.2	オ		時事通信社（発売）	2020	229p	21cm	2021
9784-906993963	0000051289	2021/01/12	水族館めぐり				480.7	ス		Ｇ．Ｂ．	2020	189p	21cm	2021
9784-906993956	0000051290	2021/01/12	動物園めぐり				480.7	ド		Ｇ．Ｂ．	2020	189p	21cm	2021
9784-862399977	0000051291	2021/01/12	世界の大学を旅しよう！			三竹 大吉 著	377.2	ミ		Ｊａｃａｒａｎｄａ　Ｐｒｅｓｓ	2020	168p	19cm	2021
9784-880493374	0000051292	2021/01/12	香害は公害　「甘い香り」に潜むリスク			水野 玲子 著	498.4	ミ		ジャパンマシニスト社	2021	95p	21cm	2021
9784-087717235	0000051293	2021/01/12	隣はシリアルキラー			中山 七里 著	913.6	ナ		集英社	2021	278p	20cm	2021
9784-087900156	0000051294	2021/01/12	マナーはいらない　小説の書きかた講座			三浦 しをん 著	901.3	ミ		集英社	2020	261p	19cm	2021
9784-087717129	0000051295	2021/01/12	水を縫う			寺地 はるな 著	913.6	テ		集英社	2020	240p	19cm	2021
9784-391154955	0000051296	2021/01/12	失敗なしで絶対おいしい！チーズケーキとチョコレートケーキ　不思議なくらいお菓子作りが楽しくなる、上手になれる簡単でおいしいケーキのレシピ			高石 紀子 著	596.6	タ		主婦と生活社	2020	95p	26cm	2021
9784-391154986	0000051297	2021/01/12	ふわふわカステラの本			中川 たま 著	596.6	ナ		主婦と生活社	2020	88p	26cm	2021
9784-074445820	0000051298	2021/01/12	簡単手作り石けん、ハンドジェル、ハンド＆マスクスプレー　清潔な暮らしに役立つ４５のアロマクラフト			生活の木 著	499.8	カ		主婦の友社	2021	63p	24cm	2021
9784-094068351	0000051299	2021/01/12	鋳物屋なんでもつくれます		小学館文庫　う２−４	上野 歩 著	913.6	ウ		小学館	2020	331p	16cm	2021
9784-093865869	0000051300	2021/01/12	口福のレシピ			原田 ひ香 著	913.6	ハ		小学館	2021	283p	19cm	2021
9784-093865913	0000051301	2021/01/12	始まりの木			夏川 草介 著	913.6	ナ		小学館	2021	315p	20cm	2021
9784-092893054	0000051302	2021/01/12	見た目レンタルショップ　化けの皮			石川 宏千花 著	913.6	イ		小学館	2020	231p	20cm	2021
9784-093866002	0000051303	2021/01/12	私を月に連れてって			鈴木 るりか 著	913.6	ス		小学館	2020	221p	19cm	2021
9784-794970428	0000051304	2021/01/12	ポストコロナ期を生きるきみたちへ		犀の教室　Ｌｉｂｅｒａｌ　Ａｒｔｓ　Ｌａｂ	内田 樹 編　斎藤 幸平 著　青木 真兵 著　えらいてんちょう 著　後藤 正文 著　白井 聡 著　岩田 健太郎 著　雨宮 処凛 著　増田 聡 著　平田 オリザ 著　想田 和弘 著　兪 炳匡 著　山崎 雅弘 著　三砂 ちづる 著　仲野 徹 著　中田 考 著　釈 徹宗 著　池田 清彦 著　平川 克美 著　鷲田 清一 著	304	ポ		晶文社	2020	306p	19cm	2021
9784-106108839	0000051305	2021/01/12	空気が支配する国		新潮新書　８８３	物江 潤 著	361.4	モ		新潮社	2020	189p	18cm	2021
9784-103508335	0000051306	2021/01/12	この気持ちもいつか忘れる			住野 よる 著	913.6	ス		新潮社	2020	369p	20cm	2021
9784-103311935	0000051307	2021/01/12	とわの庭			小川 糸 著	913.6	オ		新潮社	2020	247p	20cm	2021
9784-103063346	0000051308	2021/01/12	ハリネズミは月を見上げる			あさの あつこ 著	913.6	ア		新潮社	2021	313p	20cm	2021
9784-164010013	0000051309	2021/01/12	夜明けのすべて			瀬尾 まいこ 著	913.6	セ		文藝春秋（発売）	2020	266p	20cm	2021
9784-799109359	0000051310	2021/01/12	コトＰＯＰを書いたらあっ、売れちゃった！			山口 茂 著	674.5	ヤ		すばる舎	2020	185p 図版16p	21cm	2021
9784-791629381	0000051311	2021/01/12	ムラヨシマサユキのクッキー　作りたい、贈りたい７１レシピ			ムラヨシ マサユキ 著	596.6	ム		西東社	2020	127p	26cm	2021
9784-479785125	0000051312	2021/01/12	まずはこの１７食材を。　「いつもの食事」で健康になれる			村山 彩 著	498.5	ム		大和書房	2021	236p	19cm	2021
9784-488028053	0000051313	2021/01/12	赤の王			廣嶋 玲子 著	913.6	ヒ		東京創元社	2020	291p	20cm	2021
9784-488435219	0000051314	2021/01/12	九度目の十八歳を迎えた君と		創元推理文庫　Ｍあ２３−１	浅倉 秋成 著	913.6	ア		東京創元社	2020	296p	15cm	2021
9784-816368974	0000051315	2021/01/12	未来をつくる道具わたしたちのＳＤＧｓ			川廷 昌弘 著	519	カ		ナツメ社	2020	207p	21cm	2021
9784-150505615	0000051316	2021/01/12	ウイルス・ハンター　アメリカＣＤＣの挑戦と死闘		ハヤカワ文庫　ＮＦ　５６１	エド・レジス 著　渡辺 政隆 訳	493.8	レ		早川書房	2021	382p	16cm	2021
9784-150123062	0000051317	2021/01/12	２０００年代海外ＳＦ傑作選		ハヤカワ文庫　ＳＦ　２３０６	橋本 輝幸 編	908.3	ニ		早川書房	2020	474p	16cm	2021
9784-562057542	0000051318	2021/01/12	天声人語　２０２０秋			朝日新聞論説委員室 編　国際発信部 訳	837	テ	２０−３	原書房	2020	10 256p	21cm	2021
9784-909417602	0000051319	2021/01/12	新型コロナウイルスとの闘い・現場医師１２０日の記録　医療と政治の初動を振り返る			地域医療・介護研究会ＪＡＰＡＮ 共著　ヘルスケア・システム研究所 共著	498.6	シ		ＰＨＰエディターズ・グループ	2021	305p	21cm	2021
9784-569848211	0000051320	2021/01/12	まいにち腸活スープ　おうちで手軽に免疫力アップ！			奥薗 壽子 著　小林 暁子 監修	596	オ		ＰＨＰ研究所（発売）	2020	111p	21cm	2021
9784-569847238	0000051321	2021/01/12	凪に溺れる			青羽 悠 著	913.6	ア		ＰＨＰ研究所	2021	327p	19cm	2021
9784-594616137	0000051322	2021/01/12	ぐっち夫婦の下味冷凍で毎日すぐできごはん		ＦＵＳＯＳＨＡ　ＭＯＯＫ	ぐっち夫婦 著	596	グ		扶桑社	2020	111p	26cm	2021
9784-594616144	0000051323	2021/01/12	１０分で完成！たっきーママの朝ラク！スープジャー弁当		ＦＵＳＯＳＨＡ　ＭＯＯＫ	奥田 和美 著	596.4	オ		扶桑社	2020	95p	26cm	2021
9784-594085575	0000051324	2021/01/12	避難所に行かない防災の教科書　被災体験で分かった！２週間の自宅避難を乗り切る技術			西野 弘章 著	369.3	ニ		扶桑社	2021	143p	21cm	2021
9784-575243475	0000051325	2021/01/12	どうしてわたしはあの子じゃないの			寺地 はるな 著	913.6	テ		双葉社	2020	277p	19cm	2021
9784-286218168	0000051326	2021/01/12	消えない灯火　ひとり旅で遭遇した天安門事件のころ			山崎 厚子 著	915.6	ヤ		文芸社	2021	227p	19cm	2021
9784-166612796	0000051327	2021/01/12	感染症の日本史		文春新書　１２７９	磯田 道史 著	493.8	イ		文藝春秋	2021	255p	18cm	2021
9784-167915865	0000051328	2021/01/12	夏の雷鳴		文春文庫　キ２−６２	スティーヴン・キング 著　風間 賢二 訳	933.7	キ		文藝春秋	2020	398p	16cm	2021
9784-167915940	0000051329	2021/01/12	人間タワー		文春文庫　あ８４−１	朝比奈 あすか 著	913.6	ア		文藝春秋	2020	313p	16cm	2021
9784-167915858	0000051330	2021/01/12	マイル８１		文春文庫　キ２−６１	スティーヴン・キング 著　風間 賢二 訳　白石 朗 訳	933.7	キ		文藝春秋	2020	462p	16cm	2021
9784-582859546	0000051331	2021/01/12	コロナ不安に向き合う　精神科医からのアドバイス		平凡社新書　９５４	藤本 修 著	498.3	フ		平凡社	2021	196p	18cm	2021
9784-582859607	0000051332	2021/01/12	みんなの民俗学　ヴァナキュラーってなんだ？		平凡社新書　９６０	島村 恭則 著	380.1	シ		平凡社	2020	271p	18cm	2021
9784-831515599	0000051333	2021/01/12	教育業界で働く		なるにはＢＯＯＫＳ　補巻２５	三井 綾子 著	370	ミ		ぺりかん社	2021	149p	19cm	2021
9784-831515568	0000051334	2021/01/12	行政書士になるには		なるにはＢＯＯＫＳ　１０８	三田 達治 編著	327.1	ミ		ぺりかん社	2020	139p	19cm	2021
9784-831515636	0000051335	2021/01/12	検察官になるには		なるにはＢＯＯＫＳ　１３０	飯島 一孝 著	327.1	イ		ぺりかん社	2020	147p	19cm	2021
9784-831515742	0000051336	2021/01/12	国際公務員になるには		なるにはＢＯＯＫＳ　８３	横山 和子 著	329.3	ヨ		ぺりかん社	2020	157p	19cm	2021
9784-831515704	0000051337	2021/01/12	特別支援学校教諭になるには		なるにはＢＯＯＫＳ　６６	松矢 勝宏 編著　宮崎 英憲 編著　高野 聡子 編著	378	ト		ぺりかん社	2021	141p	19cm	2021
9784-831515612	0000051338	2021/01/12	福祉業界で働く		なるにはＢＯＯＫＳ　補巻２４	戸田 恭子 著	369.1	ト		ぺりかん社	2020	159p	19cm	2021
9784-831515575	0000051339	2021/01/12	薬剤師になるには		なるにはＢＯＯＫＳ　５８	井手口 直子 編著	499.0	イ		ぺりかん社	2020	165p	19cm	2021
9784-831515506	0000051340	2021/01/12	幼稚園教諭になるには		なるにはＢＯＯＫＳ　５６	大豆生田 啓友 著	376.1	オ		ぺりかん社	2019	133p	19cm	2021
9784-907902261	0000051341	2021/01/12	わたしは読書ボランティア　子どもたちに読む力と楽しい学校図書館を			柴田 幸子 著	019.2	シ		忘羊社	2020	190p	19cm	2021
9784-591167779	0000051342	2021/01/12	オンラインで伝える力			野村 絵理奈 著	336.4	ノ		ポプラ社	2020	254p	19cm	2021
