ISBN	rgtn	title	auth	series	pub	pub_year	page	size	cls1	cls2	cls3
9788-877549754	81392	Emma	Jane Austen	Reading and training  intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-877549754	81393	Emma	Jane Austen	Reading and training  Step 5 B2.2	Black Cat	2003	144p	21cm	837.7	RE	
9788-877549327	81394	Tess of the d'Urbervilles	Thomas Hardy	Reading and training  intermediate	Black Cat	2003	160p	21cm	837.7	RE	
9788-877549327	81395	Tess of the d'Urbervilles	Thomas Hardy	Reading and training  intermediate	Black Cat	2003	160p	21cm	837.7	RE	
9788-877549327	81396	Tess of the d'Urbervilles	Thomas Hardy	Reading and training  intermediate	Black Cat	2003	160p	21cm	837.7	RE	
9788-853001764	81397	Gothic short stories	W. W. Jacobs ... [et al.]	Reading and training  Step 5 B2.2	Black Cat	2004	128p	21cm	837.7	RE	
9788-853001764	81398	Gothic short stories	W. W. Jacobs ... [et al.]	Reading and training  Step 5 B2.2	Black Cat	2004	128p	21cm	837.7	RE	
9788-853001764	81399	Gothic short stories	W. W. Jacobs ... [et al.]	Reading and training  Step 5 B2.2	Black Cat	2004	128p	21cm	837.7	RE	
9788-877549754	81400	Emma	Jane Austen	Reading and training  intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-877549754	81401	Emma	Jane Austen	Reading and training  Step 5 B2.2	Black Cat	2003	144p	21cm	837.7	RE	
9788-853001351	81402	Pride and prejudice	Jane Austen	Reading and training  intermediate	Black Cat	2003	160p	21cm	837.7	RE	
9788-853001351	81403	Pride and prejudice	Jane Austen	Reading and training  intermediate	Black Cat	2003	160p	21cm	837.7	RE	
9788-853001351	81404	Pride and prejudice	Jane Austen	Reading and training  intermediate	Black Cat	2003	160p	21cm	837.7	RE	
9788-877545602	81405	Board games	James Butler	Reading and training  intermediate	Black Cat	2000	111p	21cm	837.7	RE	
9788-877545602	81406	Board games	James Butler	Reading and training  intermediate	Black Cat	2000	111p	21cm	837.7	RE	
9788-853006387	81407	The Canterbury tales	Geoffrey Chaucer	Reading and training  step 4  B2.1	Black Cat	2007	111p	21cm	837.7	RE	
9788-853004833	81408	The woman in white	Wilkie Collins	Reading and training  Step 4 B2.1	Black Cat	2007	111p	21cm	837.7	RE	
9788-853004833	81409	The woman in white	Wilkie Collins	Reading and training  Step 4 B2.1	Black Cat	2007	111p	21cm	837.7	RE	
9788-853004833	81410	The woman in white	Wilkie Collins	Reading and training  Step 4 B2.1	Black Cat	2007	111p	21cm	837.7	RE	
9788-853004833	81411	The woman in white	Wilkie Collins	Reading and training  Step 4 B2.1	Black Cat	2007	111p	21cm	837.7	RE	
9788-877546012	81412	Great expectations	Charles Dickens	Reading and training  intermediate	Black Cat	2002	159p	21cm	837.7	RE	
9788-877546012	81413	Great expectations	Charles Dickens	Reading and training  intermediate	Black Cat	2002	159p	21cm	837.7	RE	
9788-877546012	81414	Great expectations	Charles Dickens	Reading and training  intermediate	Black Cat	2002	159p	21cm	837.7	RE	
9788-853000255	81415	A Christmas Carol	Charles Dickens	Reading and training  pre-intermediate  step 4	Black Cat	2003	111p	21cm	837.7	RE	
9788-853000255	81416	A Christmas Carol	Charles Dickens	Reading and training  pre-intermediate  step 4	Black Cat	2003	111p	21cm	837.7	RE	
9788-853000255	81417	A Christmas Carol	Charles Dickens	Reading and training  pre-intermediate  step 4	Black Cat	2003	111p	21cm	837.7	RE	
9788-853000255	81418	A Christmas Carol	Charles Dickens	Reading and training  pre-intermediate  step 4	Black Cat	2003	111p	21cm	837.7	RE	
9788-877549341	81419	Silas Marner	George Eliot	Reading and training  Step6　C1	Black Cat	2003	112p	21cm	837.7	RE	
9788-877547590	81420	The problem of cell 13	Jacques Futrelle	Reading and training  intermediate	Black Cat	1999	96p	21cm	837.7	RE	
9788-853000903	81421	The scarlet letter	Nathaniel Hawthorne 	Reading and training  intermediate	Black Cat	2004	159p	21cm	837.7	RE	
9788-853003331	81422	Pamela	Samuel Richardson	Reading and training  Step 5 B2.2	Black Cat	2006	144p	21cm	837.7	RE	
9788-853003331	81423	Pamela	Samuel Richardson	Reading and training  Step 5 B2.2	Black Cat	2006	144p	21cm	837.7	RE	
9788-853003331	81424	Pamela	Samuel Richardson	Reading and training  Step 5 B2.2	Black Cat	2006	144p	21cm	837.7	RE	
9788-877549327	81425	Tess of the d'Urbervilles	Thomas Hardy	Reading and training  intermediate	Black Cat	2003	160p	21cm	837.7	RE	
9788-877549327	81426	Tess of the d'Urbervilles	Thomas Hardy	Reading and training  intermediate	Black Cat	2003	160p	21cm	837.7	RE	
9788-853000903	81427	The scarlet letter	Nathaniel Hawthorne	Reading and training  Step5 B2.2	Black Cat	2004	159p	21cm	837.7	RE	
9788-853000903	81428	The scarlet letter	Nathaniel Hawthorne	Reading and training  Step5 B2.2	Black Cat	2004	159p	21cm	837.7	RE	
9788-853001337	81429	Washington Square	Henry James	Reading and training  pre-intermediate	Black Cat	2003	160p	21cm	837.7	RE	
9788-853001337	81430	Washington Square	Henry James	Reading and training  pre-intermediate	Black Cat	2003	160p	21cm	837.7	RE	
9788-877547972	81431	Le morte d'Arthur	Sir Thomas Malory	Reading and training  pre-intermediate	Black Cat	2002	144p	21cm	837.7	RE	
9788-877547972	81432	Le morte d'Arthur	Sir Thomas Malory	Reading and training  pre-intermediate	Black Cat	2002	144p	21cm	837.7	RE	
9788-877547972	81433	Le morte d'Arthur	Sir Thomas Malory	Reading and training  pre-intermediate	Black Cat	2002	144p	21cm	837.7	RE	
9788-877547965	81434	The tragedy of Dr Faustus	Christopher Marlowe	Reading and training  pre-intermediate	Black Cat	2002	128p	21cm	837.7	RE	
9788-877547965	81435	The tragedy of Dr Faustus	Christopher Marlowe	Reading and training  pre-intermediate	Black Cat	2002	128p	21cm	837.7	RE	
9788-877547965	81436	The tragedy of Dr Faustus	Christopher Marlowe	Reading and training  pre-intermediate	Black Cat	2002	128p	21cm	837.7	RE	
9788-877547965	81437	The tragedy of Dr Faustus	Christopher Marlowe	Reading and training  pre-intermediate	Black Cat	2002	128p	21cm	837.7	RE	
9788-853000217	81438	American horror : three terrifying tales	Edgar Allan Poe	Reading and training  pre-intermediate	Black Cat	2003	110p	21cm	837.7	RE	
9788-853000217	81439	American horror : three terrifying tales	Edgar Allan Poe	Reading and training  Step4 B2.1	Black Cat	2003	110p	21cm	837.7	RE	
9788-853000217	81440	American horror : three terrifying tales	Edgar Allan Poe	Reading and training  Step4 B2.1	Black Cat	2003	110p	21cm	837.7	RE	
9788-853010223	81441	American horror	Edgar Allan Poe	Reading and training  step 4 B2.1	Black Cat	2010	111p	21cm	837.7	RE	
9788-853010223	81442	American horror	Edgar Allan Poe	Reading and training  step 4 B2.1	Black Cat	2010	111p	21cm	837.7	RE	
9788-853000378	81443	The picture of Dorian Gray	Oscar Wilde	Reading and training  intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-853000279	81444	Dracula	Bram Stoker	Reading and training  pre-intermediate  step 4	Black Cat	2003	128p	21cm	837.7	RE	
9788-853000279	81445	Dracula	Bram Stoker	Reading and training  pre-intermediate  step 4	Black Cat	2003	128p	21cm	837.7	RE	
9788-853001405	81446	Wicked and humorous tales	Saki	Reading and training  pre-intermediate  step 4	Black Cat	2004	128p	21cm	837.7	RE	
9788-877547958	81447	Beowulf	Victoria Spence	Reading and training  pre-intermediate	Black Cat	2002	112p	21cm	837.7	RE	
9788-877547958	81448	Beowulf	Victoria Spence	Reading and training  pre-intermediate	Black Cat	2002	112p	21cm	837.7	RE	
9788-877547958	81449	Beowulf	Victoria Spence	Reading and training  pre-intermediate	Black Cat	2002	112p	21cm	837.7	RE	
9788-853004833	81450	The woman in white	Wilkie Collins	Reading and training  Step 4 B2.1	Black Cat	2007	111p	21cm	837.7	RE	
9788-853003201	81451	Jack the Ripper	Peter Foreman	Reading and training  pre-intermediate  step 4　B2.1	Black Cat	2005	96p	21cm	837.7	RE	
9788-853000279	81452	Dracula	Bram Stoker	Reading and training  pre-intermediate  step 4	Black Cat	2003	128p	21cm	837.7	RE	
9788-853001405	81453	Wicked and humorous tales	Saki	Reading and training  pre-intermediate  step 4	Black Cat	2004	128p	21cm	837.7	RE	
9788-853001405	81454	Wicked and humorous tales	Saki	Reading and training  pre-intermediate  step 4	Black Cat	2004	128p	21cm	837.7	RE	
9788-853001405	81455	Wicked and humorous tales	Saki	Reading and training  pre-intermediate  step 4	Black Cat	2004	128p	21cm	837.7	RE	
