ISBN,登録番号,受入日,書名,書名かな,副書名,副書名かな,叢書名等,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目
 9784005007851,47663,2014/09/30,この思いを聞いてほしい! : 10代のメッセージ,, ,,岩波ジュニア新書,ｼﾞｭﾆｱｼﾝｼｮ,池田　香代子,ｲｹﾀﾞ ｶﾖｺ,,367.68,ｲｶ,,岩波書店,2014,165,18,800,,,,図書費,白山商会,800,新書書架,,,,,False,,,,False,,,,False,True,True,,
 9784062578998,47730,2015/01/30,エネルギーとはなにか／そのエッセンスがゼロからわかる,/,,,ブルーバックス,,ロジャー・G・ニュートン．著／東辻　千枝子．訳,,,501.6,ﾆ,,講談社,2014,174p,18cm,800,,宇宙誕生初期に生まれた「純粋なエネルギー」は、どのような変遷を経て、私たちの生活に不可欠な存在になったのか？防寒や調理に役立つ「熱」の探究からはじまった「エネルギーの科学」。電気や化学結合から生じるエネルギーの制御が、物理学と工学に繁栄をもたらした。太陽を輝かせる核エネルギーや不連続な量子エネルギーの謎から、電池や液体水素による備蓄や輸送のしくみまで、現代科学の最重要キーワードが１時間で理解できる！,,図書費,白山商会,800,新書書架,,,,,False,,,,False,,,,False,True,True,,
 9784062579001,47731,2015/01/30,科学検定公式問題集3・4級／科学の見方と考え方の再発見,ｶｶﾞｸ ｹﾝﾃｲ  ｺｳｼｷ ﾓﾝﾀﾞｲｼｭｳ ,,,ブルーバックス,,竹内　薫．監修／桑子　研／竹田　淳一郎．共著,ﾀｹｳﾁ ｶｵﾙ,,400,ﾀｶ,,講談社,2015,284p,18cm,1080,,科学の知識レベルをアップしたいと思ったらまずはいまの自分の実力を知ること！どの科目が得意で、どの科目が苦手なのか。何がわかって、何がわからないのか。どうしてまちがえたのか…。選りすぐりの例題と、こん切ていねいな解説、そして学校では習わない視点と考え方で知識の枠をどんどん広げ、確実に実力がアップする。,,図書費,白山商会,1080,新書書架,,,,,False,,,,False,,,,False,False,True,,
 9784140910993,47556,2014/04/30,暴力はどこからきたか,ﾎﾞｳﾘｮｸﾊﾄﾞｺｶﾗｷﾀｶ,人間性の起源を探る,ﾆﾝｹﾞﾝｾｲﾉｷｹﾞﾝｦｻｸﾞﾙ,ＮＨＫブックス　１０９９,NHKﾌﾞｯｸｽ1099,山極　寿一,ﾔﾏｷﾞﾜｼﾞｭｲﾁ,,489.9,ﾔｼﾞ,,日本放送出版協会,2011,244p,19cm,970,,私たち人類は、争いの火種もその解消の術も、霊長類として進化する中で獲得してきた。六五〇〇万年前にこの地上に登場した霊長類。彼らは“食”と“性”をめぐる争いを、それぞれの社会性をもって回避してきたのだ。それを受け継ぐ人類は、家族という独自の社会を得るに至る。屋久島のニホンザルやコンゴ民主共和国のゴリラをはじめ、世界中の霊長類の姿を最新の研究成果から明らかにし、人類の社会性の起源に迫る。,霊長類    攻撃性 (心理学)    社会的相互作用 ,図書費,ＴＳＵＴＡＹＡ多治見インター店,970,新書書架,,,,,False,,,,False,,,,False,True,True,,
,47563,2014/04/30,物理のアタマで考えよう！,ﾌﾞﾂﾘﾉｱﾀﾏﾃﾞｶﾝｶﾞｴﾖｳ!,素朴な疑問ほど億が深い,ｿﾎﾞｸﾅｷﾞﾓﾝﾎﾄﾞｵｸｶﾞﾌｶｲ,ブルーバックス,ﾌﾞﾙｰﾊﾞｯｸｽ,ジョー・ヘルマンス．著／ウィープケ・ドレンカン．絵／村岡　克紀．訳・解説,ｼﾞｮｰ･ﾍﾙﾏﾝｽ.ﾁｮ/ｳｨｰﾌﾟｹ･ﾄﾞﾚﾝｶﾝ.ｴ/ﾑﾗｵｶｶﾂﾉﾘ.ﾔｸ･ｶｲｾﾂ,,420,ﾍ,,講談社,2014,190,18,800,,,,図書費,ＴＳＵＴＡＹＡ多治見インター店,800,新書書架,,,,,False,,,,False,,,,False,True,True,,
,47575,2014/04/30,マンガミュージアムへ行こう,ﾏﾝｶﾞﾐｭｰｼﾞｱﾑﾍｲｺｳ,,,岩波ジュニア新書,ｲﾜﾅﾐｼﾞｭﾆｱｼﾝｼｮ,伊藤　遊／谷川　竜一／村田　麻里子／山中　千恵,ｲﾄｳﾕｳ/ﾀﾆｶﾞﾜﾘｭｳｲﾁ/ﾑﾗﾀﾏﾘｺ/ﾔﾏﾅｶﾁｴ,,760.9,ｲﾕ,,岩波書店,2014,217,18,860,,,,図書費,白山商会,860,新書書架,,,,,False,,,,False,,,,False,True,True,,
,47585,2014/04/30,改憲問題　Ｑ＆Ａ,ｶｲｹﾝﾓﾝﾀﾞｲQ&A,,,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,自由人権協会．編,ｼﾞﾕｳｼﾞﾝｹﾝｷｮｳｶｲ.ﾍﾝ,,323.14,ｼﾞ,,岩波書店,2014,70,21,580,,,,図書費,白山商会,580,事典棚,,,,,False,,,,False,,,,False,True,True,,
,47587,2014/04/30,フォト・ルポルタージュ　福島を生きる人びと,ﾌｫﾄﾙﾎﾟﾙﾀｰｼﾞｭﾌｸｼﾏｦｲｷﾙﾋﾄﾋﾞﾄ,,,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,豊田　直巳,ﾄﾖﾀﾞﾅｵﾐ,,369.36,ﾄﾅ,,岩波書店,2014,95,21S9Q@ ,840,,,,図書費,白山商会,840,事典棚,,,,,False,,,,False,,,,False,True,True,,
,47597,2014/05/30,天体衝突,ﾃﾝﾀｲｼｮｳﾄﾂ,斉一説から激変説へ　地球、生命、文明史,ｾｲｲﾂｾﾂｶﾗｹﾞｷﾍﾝｾﾂﾍﾁｷｭｳ､ｾｲﾒｲ､ﾌﾞﾝﾒｲｼ,ブルーバックス,ﾌﾞﾙｰﾊﾞｯｸｽ,松井　孝典,ﾏﾂｲﾀｶﾌﾐ,,447.3,ﾏﾀ,,講談社,2014,272,18,980,,,,図書費,白山商会,980,新書書架,,,,,False,,,,False,,,,False,True,True,,
,47598,2014/05/30,新幹線５０年の技術史,ｼﾝｶﾝｾﾝ50ﾈﾝﾉｷﾞｼﾞｭﾂｼ,高速鉄道の歩みと未来,ｺｳｿｸﾃﾂﾄﾞｳﾉｱﾕﾐﾄﾐﾗｲ,ブルーバックス,ﾌﾞﾙｰﾊﾞｯｸｽ,曽根　悟,ｿﾈｻﾄﾙ,,686.21,ｿｻ,,講談社,2014,231,18,900,,,,図書費,白山商会,900,新書書架,,,,,False,,,,False,,,,False,True,True,,
,47599,2014/05/30,科学検定　公式問題集　５・６．級小学校４年～中学１年レベル,ｶｶﾞｸｹﾝﾃｲｺｳｼｷﾓﾝﾀﾞｲｼｭｳ56.ｷｭｳｼｮｳｶﾞｯｺｳ4ﾈﾝｶﾗﾁｭｳｶﾞｸ1ﾈﾝﾚﾍﾞﾙ,科学のアタマで世界を見直す,ｶｶﾞｸﾉｱﾀﾏﾃﾞｾｶｲｦﾐﾅｵｽ,ブルーバックス,ﾌﾞﾙｰﾊﾞｯｸｽ,竹内　薫．監修／桑子　研／竹田　淳一郎．著,ﾀｹｳﾁｶｵﾙ.ｶﾝｼｭｳ/ｸﾜｺｹﾝ/ﾀｹﾀﾞｼﾞｭﾝｲﾁﾛｳ.ﾁｮ,,407.9,ﾀｶ,,講談社,2014,286,18,980,,,,図書費,白山商会,980,新書書架,,,,,False,,,,False,,,,False,True,True,,
,47600,2014/05/30,２１世紀はどんな世界になるのか,21ｾｲｷﾊﾄﾞﾝﾅｾｶｲﾆﾅﾙﾉｶ,国際情勢、科学技術、社会の「未来」を予測する,ｺｸｻｲｼﾞｮｳｾｲ､ｶｶﾞｸｷﾞｼﾞｭﾂ､ｼｬｶｲﾉ｢ﾐﾗｲ｣ｦﾖｿｸｽﾙ,岩波ジュニア新書,ｲﾜﾅﾐｼﾞｭﾆｱｼﾝｼｮ,眞　淳平,ｼﾝｼﾞｭﾝﾍﾟｲ,,304,ｼｼﾞ,,岩波書店,2014,260,18,880,,,,図書費,白山商会,880,新書書架,,,,,False,,,,False,,,,False,True,True,,
,47601,2014/05/30,中高生のための「かたづけ」の本,ﾁｭｳｺｳｾｲﾉﾀﾒﾉ｢ｶﾀﾂﾞｹ｣ﾉﾎﾝ,,,岩波ジュニア新書,ｲﾜﾅﾐｼﾞｭﾆｱｼﾝｼｮ,杉田　明子／佐藤　剛史,ｽｷﾞﾀｱｷｺ/ｻﾄｳﾀｹｼ,,597.5,ｽｱ,,岩波書店,2014,201,18,840,,,,図書費,白山商会,840,新書書架,,,,,False,,,,False,,,,False,True,True,,
,47628,2014/06/30,われ反抗す、ゆえにわれら在り,ﾜﾚﾊﾝｺｳｽ､ﾕｴﾆﾜﾚﾗｱﾘ,カミュ『ペスト』を読む,ｶﾐｭ｢ﾍﾟｽﾄ｣ｦﾖﾑ,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,宮田　光雄,ﾐﾔﾀﾐﾂｵｵ,,953.7,ﾐﾐ,,岩波書店,2014,70,21,560,,,,図書費,白山商会,560,事典棚,,,,,False,,,,False,,,,False,True,True,,
,47635,2014/07/30,みんな地球に生きるひと. Part4 (わたしもぼくも地球人) ,,,,岩波ジュニア新書,ｼﾞｭﾆｱｼﾝｼｮ,アグネス・チャン,ｱｸﾞﾈｽ･ﾁｬﾝ,,367.6,ﾁ,,岩波書店,2014,205,18,840,,,,図書費,白山商会,840,新書書架,,,,,False,,,,False,,,,False,True,True,,
,47636,2014/07/30,日本語のニュアンス練習帳,,,,岩波ジュニア新書,ｼﾞｭﾆｱｼﾝｼｮ,中村明 著,,,810,ﾅｱ,,岩波書店,2014,197,18,840,,,,図書費,白山商会,840,新書書架,,,,,False,,,,False,,,,False,True,True,,
,47638,2014/07/30,理系アナ桝太一の生物部な毎日 ,,,,岩波ジュニア新書,ｼﾞｭﾆｱｼﾝｼｮ,桝　太一,,,460,ﾏﾀ,,岩波書店,2014,201,18,840,,,,図書費,白山商会,840,新書書架,,,,,False,,,,False,,,,False,True,True,,
,47643,2015/02/12,アートで平和をつくる : 沖縄・佐喜眞美術館の軌跡,,,,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,佐喜眞　道夫,,,706.9,ｻﾐ,,岩波書店,2014,87,21,660,,,,図書費,白山商会,660,事典棚,,,,,False,,,,False,,,,False,True,True,,
