	0000017625	2002/06/19	国文法講座　５　／時代と文法-近代語／		講座	山口　明穂．編	815.08	ﾒ	5	明治書院	1987	426	19	2002
978-4-569220-53-6	0000017629	2002/11/25	啄木・賢治　青春の北帰行			小松　健一．写真・文	910.26	ｺ		ＰＨＰ研究所	1987	127	22	2002
978-4-062032-00-1	0000017635	2002/12/05	萩原朔太郎			磯田　光一	911.52	ｲ		講談社	1988	361	20	2002
978-4-272310-21-0	0000017643	2002/06/19	事典　日本労働組合運動史		事典	編集委員会	366.62	ｵ		大月書店	1987	370	19	2002
	0000017646	2002/01/15	人間ならば			早乙女　勝元	916	ｻ		草の根出版会	1987	246	19	2002
	0000017648	2002/05/22	うちも、フランスに生まれたかった　／疎開地に生きて　／民話を生む人びと　５／		叢書「民話を生む人びと」５	内海　房子　／解説・山代　巴	916	ｳ		而立書房	1987	204		2002
978-4-140015-33-9	0000017650	2002/04/29	脳を育てる　脳を守る		ＮＨＫブックス５３３	小林　司	491.37	ｺ		日本放送出版協会	1987	241	19	2002
	0000017655	2002/11/20	入門やさしいポルトガル語			林田　雅至	869	ﾊ		南雲堂	1987	290	20	2002
978-4-062036-13-9	0000017660	2002/05/17	小さい山と椿の花			佐多　稲子	914.6	ｻ		講談社	1988	205	20	2002
978-4-794957-56-6	0000017661	2002/05/16	新聞のヘソ			日比野　和幸	914.6	ﾋ		晶文社	1987	294	19	2002
	0000017664	2002/01/01	奄美の原爆乙女			上坂　冬子	916	ｶ		中央公論社	1987	220	20	2002
978-4-486009-81-8	0000017665	2002/05/29	武道思想の探求			松前　重義	156	ﾏ		東海大学出版会	1987	324	20	2002
978-4-385353-10-4	0000017673	2002/11/20	反体制エスペラント運動史　【新版】			大島　義夫／宮本　正男	899	ｵ		三省堂	1987	390	19	2002
978-4-892270-10-9	0000017674	2002/06/04	哲学入門　／哲学の問題と展開／		富士叢書	飛田　就一／針生　清人．編	130	ﾋ		富士書店	1987	255	21	2002
978-4-532094-41-6	0000017676	2002/11/02	お茶をどうぞ　／私の履歴書			千　宗室	791	ｾ		日本経済新聞社	1987	243	20	2002
978-4-888881-23-4	0000017677	2002/03/13	標準　編集必携			日本エディタースクール	021.4	ﾆ		日本エディタースクール	1987	186	22	2002
	0000017678	2002/01/15	卓球		スポーツシリーズ７	森　武	783.6	ﾓ		西東社	1986	220	19	2002
978-4-309240-91-6	0000017681	2002/06/19	日本の労働運動　／激動の１００年史／			小島　恒久	366.62	ｺ		河出書房新社	1987	294	19	2002
978-4-140084-25-0	0000017683	2002/03/07	ルーブル美術館㈸／バロックの光と影／イタリア／スペイン／フランドル／オランダ		ＮＨＫ・フランステレビ１共同制作	日本放送出版協会	706.9	ｴ	5	日本放送出版協会	1986	190	29	2002
978-4-140084-24-3	0000017686	2002/03/07	ルーブル美術館㈿／ルネサンスの波動／フランドル／ドイツ／イタリア／フランス／		ＮＨＫ・フランステレビ１共同制作	日本放送出版協会	706.9	ｴ	4	日本放送出版協会	1985	190	29	2002
978-4-895631-09-9	0000017692	2002/10/11	大正ニュース事典　㈼　／大正４〜５年		ニュース事典	毎日新聞社／編集委員会	027.5	ﾏ	2	毎日コミュニケーションズ	1986		29	2002
978-4-895631-08-2	0000017694	2002/10/11	大正ニュース事典　㈵　／大正１〜３年		ニュース事典	毎日新聞社／編集委員会	027.5	ﾏ	1	毎日コミュニケーションズ	1986		29	2002
978-4-905821-18-2	0000017697	2002/09/12	その時、その所			トリーフォノフ／江川　卓．訳	983	ﾄ		群像社	1987	471	20	2002
978-4-480101-01-3	0000017698	2002/09/15	美しい恋の物語　／ちくま文学の森　１		ちくま文学の森　１	筑摩書房	908	ﾁ	1	筑摩書房	1988	463	20	2002
978-4-480101-07-5	0000017699	2002/09/14	恐ろしい話　／ちくま文学の森　７		ちくま文学の森　７	筑摩書房	908	ﾁ	7	筑摩書房	1988	478	20	2002
978-4-480101-02-0	0000017700	2002/09/15	心洗われる話　／ちくま文学の森　２		ちくま文学の森　２	筑摩書房	908	ﾁ	2	筑摩書房	1988	467	20	2002
978-4-004203-95-7	0000017709	2002/07/27	日本語以前		岩波新書Ｙ３９５	大野　晋	801.09	ｵ	   	岩波書店	1987	346	18	2002
978-4-003317-41-9	0000017712	2002/09/09	最暗黒の東京		岩波文庫	松原　岩五郎	210.61	ﾏ		岩波書店	1988	200	15	2002
978-4-003344-41-5	0000017716	2002/09/13	インカの反乱　／被征服者の声／		岩波文庫	ティトゥ・クシ・ユパンギ．述／染田　秀藤．訳	268	ﾕ		岩波書店	1987	202	15	2002
978-4-003344-31-6	0000017717	2002/09/13	アリランの歌　／ある朝鮮人革命家の生涯／		岩波文庫	ニム・ウェールズ／松平　いを子．訳	221.07	ｳ		岩波書店	1987	434	15	2002
978-4-003422-22-9	0000017719	2002/09/01	世論　〈下〉		岩波文庫	Ｗ．リップマン／掛川　トミ子．訳	070	ﾘ	下	岩波書店	1987	307	15	2002
978-4-003302-81-1	0000017720	2002/11/04	人国記・新人国記		岩波文庫	浅野　健二．校注	389.1	ｱ	   	岩波書店	1987	300	15	2002
978-4-122013-25-4	0000017724	2002/09/20	刑法おもしろ事典		中公文庫	和久　峻三	326.1	ﾜ		中央公論社	1987	263	15	2002
978-4-003112-31-1	0000017726	2002/05/09	野火　／ハムレット日記／		岩波文庫	大岡　昇平	913.6	ｵ		岩波書店	1988	378	15	2002
978-4-005001-43-9	0000017730	2002/04/05	とくべつ面白い理科　／ひとりでできる実験と観察／		岩波ジュニア新書１４３	鈴木　皇．編	375.42	ｽ		岩波書店	1988	199	18	2002
978-4-004300-28-1	0000017731	2002/06/22	緑の冒険　／砂漠にマングローブを育てる／		岩波新書Ｒ２８	向後　元彦	519.8	ｺ		岩波書店	1988	223	18	2002
	0000017733	2002/02/11	昭和将棋史		岩波新書Ｒ　７	大山　康晴	289	ｵ		岩波書店	1988	207	18	2002
978-4-005001-44-6	0000017740	2002/07/29	和歌の読みかた		岩波ジュニア新書１４４	米川　千嘉子／馬場　あき子	911.1	ﾊﾞ		岩波書店	1988	218	18	2002
	0000017742	2002/01/16	仏像の誕生		岩波新書Ｙ３８８	高田　修	186.8	ﾀ		岩波書店	1987	220	18	2002
978-4-004300-02-1	0000017746	2002/07/27	日本語　【新版】　上		岩波新書Ｒ２	金田一　春彦	810	ｷ	上	岩波書店	1988	279	18	2002
