ISBN,登録番号,受入日,書名,書名かな,副書名,副書名かな,叢書名等,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目
,41044,2007/05/10,話題のバスケット／小麦粉とパン・めん・菓子・料理,ﾜﾀﾞｲﾉﾊﾞｽｹｯﾄ/ｺﾑｷﾞｺﾄﾊﾟﾝﾒﾝｶｼﾘｮｳﾘ,,,,,製粉振興会,ｾｲﾌﾝｼﾝｺｳｶｲ,,596,ｾ,,製粉振興会,2007,107,21,,,,,,,,,,,２００７．０４．２８,,False,,,,False,,,,False,True,False,,
,41112,2007/06/15,日本の武道　／日本武道協議会設立３０周年記念,ﾆﾎﾝﾉﾌﾞﾄﾞｳ/ﾆﾎﾝﾌﾞﾄﾞｳｷｮｳｷﾞｶｲｾﾂﾘﾂ30ｼｭｳﾈﾝｷﾈﾝ,,,,,日本武道館．編,ﾆﾎﾝﾌﾞﾄﾞｳｶﾝ.ﾍﾝ,,789,ﾆ,,財団法人　日本武道館,2007,521,27,,,,,寄贈,,,,,,２００７．０５．３１,,False,,,,False,,,,False,True,False,,
,41327,2007/10/04,戦後革命運動論争史,ｾﾝｺﾞｶｸﾒｲｳﾝﾄﾞｳﾛﾝｿｳｼ,,,,,小林　良彰,ｺﾊﾞﾔｼﾖｼｱｷ,,315.1,ｺﾖ,,三一書房,1978,387,20,1800,,,,寄付,,,,,,２００７．１０．０４　中津川・佐藤譲氏　寄贈,,False,,,,False,,,,False,True,False,,
,41329,2007/10/04,教育を救う　保守の哲学／教育思想の禍毒から日本を守れ,ｷｮｳｲｸｦｽｸｳﾎｼｭﾉﾃﾂｶﾞｸ/ｷｮｳｲｸｼｿｳﾉｶﾄﾞｸｶﾗﾆﾎﾝｦﾏﾓﾚ,,,,,中川　八洋／渡辺　昇一,ﾅｶｶﾞﾜﾔﾂﾋﾛ/ﾜﾀﾅﾍﾞｼｮｳｲﾁ,,370.4,ﾜｼ,,徳間書店,2003,334,19,1600,,,,寄付,,,,,,２００７．１０．０４　中津川・佐藤譲氏　寄贈,,False,,,,False,,,,False,True,False,,
,41331,2007/10/04,中部経済人国記／トップ群像の素顔と実力,ﾁｭｳﾌﾞｹｲｻﾞｲｼﾞﾝｺｸｷ/ﾄｯﾌﾟｸﾞﾝｿﾞｳﾉｽｶﾞｵﾄｼﾞﾂﾘｮｸ,,,,,日本経済新聞社．編,ﾆﾎﾝｹｲｻﾞｲｼﾝﾌﾞﾝｼｬ.ﾍﾝ,,332.8,ﾆ,,日本経済新聞社,1982,333,20,1800,,,,寄付,,,,,,２００７．１０．０４　中津川・佐藤譲氏　寄贈,,False,,,,False,,,,False,True,False,,
,41332,2007/10/04,状況から,ｼﾞｮｳｷｮｳｶﾗ,,,,,小田　実,ｵﾀﾞﾏｺﾄ,,914.6,ｵﾏ,,岩波書店,1977,299,19,900,,,,寄付,,,,,,２００７．１０．０４　中津川・佐藤譲氏　寄贈,,False,,,,False,,,,False,True,False,,
,41422,2007/10/10,エセー　〈一〉,ｴｾｰ｢1｣,,,岩波文庫,,モンテーニュ．著／原　二郎．訳,ﾓﾝﾃｰﾆｭ.ﾁｮ/ﾊﾗｼﾞﾛｳ.ﾔｸ,,954,ﾓ,1,岩波書店,1976,415,15,400,,,,寄付,,,文庫書架,,,２００７．１０．０４　中津川市 佐藤譲 氏　寄贈,,False,,,,False,,,,False,True,False,,
,41423,2007/10/10,エセー　〈二〉,ｴｾｰ｢2｣,,,岩波文庫,,モンテーニュ．著／原　二郎．訳,ﾓﾝﾃｰﾆｭ.ﾁｮ/ﾊﾗｼﾞﾛｳ.ﾔｸ,,954,ﾓ,2,岩波書店,1976,408,15,400,,,,寄付,,,文庫書架,,,２００７．１０．０４　中津川市 佐藤譲 氏　寄贈,,False,,,,False,,,,False,True,False,,
,41424,2007/10/10,エセー　〈三〉,ｴｾｰ｢3｣,,,岩波文庫,,モンテーニュ．著／原　二郎．訳,ﾓﾝﾃｰﾆｭ.ﾁｮ/ﾊﾗｼﾞﾛｳ.ﾔｸ,,954,ﾓ,3,岩波書店,1976,324,15,300,,,,寄付,,,文庫書架,,,２００７．１０．０４　中津川市 佐藤譲 氏　寄贈,,False,,,,False,,,,False,True,False,,
,41425,2007/10/10,エセー　〈四〉,ｴｾｰ｢4｣,,,岩波文庫,,モンテーニュ．著／原　二郎．訳,ﾓﾝﾃｰﾆｭ.ﾁｮ/ﾊﾗｼﾞﾛｳ.ﾔｸ,,954,ﾓ,4,岩波書店,1976,348,15,400,,,,寄付,,,文庫書架,,,２００７．１０．０４　中津川市 佐藤譲 氏　寄贈,,False,,,,False,,,,False,True,False,,
,41426,2007/10/10,エセー　〈五〉,ｴｾｰ｢5｣,,,岩波文庫,,モンテーニュ．著／原　二郎．訳,ﾓﾝﾃｰﾆｭ.ﾁｮ/ﾊﾗｼﾞﾛｳ.ﾔｸ,,954,ﾓ,5,岩波書店,1976,415,15,400,,,,寄付,,,文庫書架,,,２００７．１０．０４　中津川市 佐藤譲 氏　寄贈,,False,,,,False,,,,False,True,False,,
