ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
	0000010907	2004/02/05	中国　［１］　／世界の教科書＝歴史００４			中国研究所．監修／野原　四郎／斎藤　秋男．訳	375.9	ﾎ	4	ほるぷ出版	1981	231	24	2004
	0000015068	2004/10/01	職業読本		読本シリーズ	雇用促進事業団職業研究所．編	366.29	ｼ		東洋経済新報社	1984	270	21	2004
	0000015460	2004/10/01	職業選択の理論　／社会学的理論をめざして			Ｗ・Ｍ・ウィリアムズ．編／吉井　弘．訳	366.29	ｳ		誠信書房	1984	214	21	2004
978-4-566057-24-1	0000015475	2004/02/05	やさしいコリア語入門			柳　尚熙／呉　英元．共著	829.1	ﾘ		評論社	1985	203	19	2004
978-4-480040-71-8	0000015932	2004/10/01	女としごと　１		ちくま少年図書館　７１	野中　文江	366.38	ﾉﾌ	71	筑摩書房	1986	203	20	2004
	0000015933	2004/10/01	女としごと　２		ちくま少年図書館　７２	野中　文江	366.38	ﾉﾌ	72	筑摩書房	1985	204	20	2004
978-4-560034-86-6	0000017191	2004/02/03	つかこうへい作品集　１／　戯曲／シナリオ			つか　こうへい	912.6	ﾂｺ	1	白水社	1987	344	20	2004
978-4-641075-07-8	0000017551	2004/10/01	働くことの意味　／ＭＯＷの国際比較研究			三隅　二不二．編	366.04	ﾐｼ		有斐閣	1987	198	21	2004
978-4-880790-58-9	0000017613	2004/02/03	書下ろし劇作集　ザ・シアター　５集		フォア文庫Ｂ０６６	星雲書房　／石山　浩一郎．他	912.6	ｻﾞ	5	星雲書房	1986	235	19	2004
	0000018792	2004/01/14	八犬伝　一／仁・聖女伝説の巻			滝沢　馬琴．作／山田　野理夫．訳	913.56	ﾀﾊﾞ	1	太平出版社	1985	244	20	2004
	0000019146	2004/10/01	仕事を語る女たち　〈上〉			村田　幸子．他	366.38	ﾑｻ	上	かのう書房	1988	386	20	2004
	0000019147	2004/10/01	仕事を語る女たち　〈下〉			村田　幸子．他	366.38	ﾑｻ	下	かのう書房	1988	394	20	2004
	0000019165	2004/02/03	ドキュメント・日本の公害　１／公害の激化／			川名　英之	519	ｶﾋ	1	緑風社	1989	465	20	2004
978-4-001131-01-7	0000020851	2004/01/14	三国志　〈上〉		岩波少年文庫３１０１	羅　貫中．作／小川　環樹／武部　利男．訳	923	ﾗ	上	岩波書店	1990	308	18	2004
978-4-001131-02-4	0000020852	2004/01/14	三国志　〈中〉		岩波少年文庫３１０２	羅　貫中．作／小川　環樹／武部　利男．訳	923	ﾗ	中	岩波書店	1990	346	18	2004
978-4-001131-03-1	0000020853	2004/01/14	三国志　〈下〉		岩波少年文庫３１０３	羅　貫中．作／小川　環樹／武部　利男．訳	923	ﾗ	下	岩波書店	1990	328	18	2004
978-4-152030-84-9	0000020980	2004/02/03	ソロモンの指輪　／動物行動学入門			コンラート・ローレンツ／日高　敏隆．訳	481.78	ﾛ		早川書房	1990	238	19	2004
978-4-095670-17-1	0000021260	2004/04/10	群像　日本の作家　１７／太宰治			小学館／太宰　治	910.28	ｼ4	17	小学館	1991	355	20	2004
978-4-140087-39-8	0000021283	2004/10/01	NHK大英博物館　３　--ギリシャ・パルテノンの栄光--			ＮＨＫ取材班／青柳　正規／日英国際共同制作	069	ｴ	3	日本放送出版協会	1990	175	29	2004
978-4-022562-85-2	0000021903	2004/09/15	アジアから吹く風　／いま外国人労働者のふるさとは			佐々木　聖子	366	ｻｼ		朝日新聞社	1991	262	19	2004
978-4-794960-55-9	0000022419	2004/10/01	現代の職人			石山　修武	366.29	ｲｵ		晶文社	1991	475	20	2004
978-4-943983-49-1	0000022839	2004/10/01	ＫＡＲＯＳＨＩ　／［過労死］　／経済大国日本のもう一つの真実！		窓ブックレット　３	過労死弁護団全国連絡会議．編	366	ｶ		窓社	1991	108	21	2004
978-4-876522-17-0	0000023371	2004/09/15	日本は幸福か　／過労死・残された５０人の妻たちの手記			全国過労死を考える家族の会．編／青山　恵．構成	366.3	ｾﾞ		教育史料出版会	1991	315	19	2004
978-4-000028-04-2	0000024529	2004/02/05	河合隼雄　その多様な世界　／講演とシンポジウム			河合　隼雄／大江　健三郎／今江　祥智／中村　桂子／中村　雄二郎／柳田　邦男	146	ｶﾊ		岩波書店	1992	238	19	2004
978-4-791750-36-8	0000024764	2004/04/10	唯脳論			養老　孟司	491.371	ﾖﾀ		青土社	1992	269	20	2004
978-4-272310-29-6	0000024808	2004/09/16	女性昇格時代　／大輪の花咲かせた女たち			支払基金の昇格裁判を記録する会．編	366.38	ｼ		大月書店	1992	246	19	2004
978-4-641066-58-8	0000025759	2004/10/01	自由時間　／真の〈豊かさ〉を求めて			内田　弘	366	ｱﾋ		有斐閣	1993	249	20	2004
978-4-831505-85-9	0000025785	2004/09/15	インダストリアルデザイナーになるには		なるにはＢｏｏｋｓ　６９	石川　弘	366	ｲﾋ	69	ぺりかん社	1993	166	19	2004
978-4-871882-57-6	0000026692	2004/10/01	工事現場に輝く　オンナ			松村　みち子	366.8	ﾏﾐ		ＮＴＴ出版	1993	243	19	2004
978-4-582417-03-6	0000026982	2004/01/14	ブルーアトラス　／世界地図・日本地図			平凡社	290.38	ﾍ		平凡社	1994	95	26	2004
978-4-641181-48-9	0000027007	2004/09/15	フリーターで大丈夫？　／アルバイト・パート・派遣スタッフで働くとき			松尾　道子	366.29	ﾏﾐ		有斐閣	1991	245	19	2004
978-4-831506-33-7	0000027196	2004/09/15	自然保護レンジャーになるには		なるにはＢｏｏｋｓ　７３	自然保護レンジャー研究会．編	366	ﾍﾟ	73	ぺりかん社	1994	156	19	2004
978-4-106020-06-3	0000027262	2004/11/05	ボロブドール遺跡めぐり		とんぼの本	田枝　幹宏／伊藤　照司	292.4	ﾀﾐ		新潮社	1994	117	22	2004
978-4-326050-13-0	0000027535	2004/10/01	自分を活かす編集術			明石　高典	366.29	ｱﾀ		勁草書房	1994	144	20	2004
978-4-652070-50-5	0000027581	2004/02/05	ワルのポケット		フォア文庫Ｂ０６６	灰谷　健次郎．作／長谷川　集平．画	913.6	ﾊｹ		理論社	1989	146	18	2004
	0000027988	2004/09/15	ワーキングウーマン症候群		大月リライフＢｏｏｋｓ	杵渕　幸子	366.38	ｷｻ		大月書店	1993	198	19	2004
