,80151,2021/05/18,多治見市有形文化財　永泉寺惣門保存修理工事報告書,ﾀｼﾞﾐｼ ﾕｳｹｲﾌﾞﾝｶｻﾞｲ ｴｲｾﾝｼﾞ ｿｳﾓﾝ ﾎｿﾞﾝ ｼｭｳﾘ ｺｳｼﾞ ﾎｳｺｸｼｮ,,,多治見市文化財保護センター研究紀要　第１５号,ﾀｼﾞﾐｼ ﾌﾞﾝｶｻﾞｲ ﾎｺﾞｾﾝﾀｰ ｹﾝｷｭｳ ｷﾖｳ ﾀﾞｲ ｼﾞｭｳｺﾞ ｺﾞｳ,多治見市教育委員会,ﾀｼﾞﾐｼ ｷｮｳｲｸｲｲﾝｶｲ,,215.3,ﾀ,,,2021,62p,30cm,,,,,寄付,,,蔵書点検除外リスト,,,,,False,,,,False,,,,False,False,False,,
,80203,2021/06/16,生き方サプリメント１０１錠,ｲｷｶﾀ ｻﾌﾟﾘﾒﾝﾄ ﾋｬｸｲﾁ ｼﾞｮｳ,,,第１集～第４集合冊版,ﾀﾞｲ ｲﾁ ｼｭｳ ｶﾗ ﾀﾞｲ ﾖﾝ ｼｭｳ ｶﾞｯｻﾂﾊﾞﾝ,村瀬登志夫,ﾑﾗｾ ﾄｼｵ,,917,ﾑ,,,2021,202p,21cm,,,,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,True,,
,80372,2021/11/01,たじみの自然　2021,ﾀｼﾞﾐ ﾉ ｼｾﾞﾝ ,,,,,たじみの自然展実行委員会,ﾀｼﾞﾐ ﾉ ｼｾﾞﾝﾃﾝ ｼﾞｯｺｳｲｲﾝｶｲ,,402.91,ﾀ,,,2021,68p,30cm,,,,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,True,,
,80436,2021/12/20,人間国宝　荒川豊蔵,ﾆﾝｹﾞﾝｺｸﾎｳ ｱﾗｶﾜ ﾄﾖｿﾞｳ,加藤孝造コレクション,ｶﾄｳ ｺｳｿﾞｳ ｺﾚｸｼｮﾝ,,,,,,751.1,ﾆ,,,2021,53p,30cm,,,,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,True,,
,80460,2022/01/31,志　,ｺｺﾛｻﾞｼ ,今、伝えたいこと,ｲﾏ ﾂﾀｴﾀｲ ｺﾄ,第19回下田歌子賞受賞作品集,ﾀﾞｲ ｼﾞｭｳｷｭｳ ｶｲ ｼﾓﾀﾞｳﾀｺ ｼｮｳ ｼﾞｭｼｮｳ ｻｸﾋﾝｼｭｳ,,,,908,ｺ,,,2022,60p,26cm,,,,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,False,,
,80461,2022/01/31,家庭こそ最良の学校です,ｶﾃｲ ｺｿ ｻｲﾘｮｳ ﾉ ｶﾞｯｺｳ ﾃﾞｽ,下田歌子先生の生き方・考え方,ｼﾓﾀﾞｳﾀｺ ｾﾝｾｲ ﾉ ｲｷｶﾀ ｶﾝｶﾞｴｶﾀ,恵那市ふるさと学習読本　ｖｏｌ．４　　ふるさと人物編　１,ｴﾅｼ ﾌﾙｻﾄ ｶﾞｸｼｭｳ ﾄﾞｸﾎﾝ ﾖﾝ ﾌﾙｻﾄ ｼﾞﾝﾌﾞﾂ ﾍﾝ ｲﾁ,童門　冬二,ﾄﾞｳﾓﾝ ﾌﾕｼﾞ,,289.1,ﾄﾞ,,,,111p,30cm,,,,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,False,,
9784-000229692,80220,2021/06/29,孤塁　双葉郡消防士たちの３・１１,ｺﾙｲ,,,,,吉田 千亜 著,ﾖｼﾀﾞ ﾁｱ,,369.36,ﾖ,,岩波書店,2020,7 211p,19cm,1800,20005371,原発が暴発・暴走するなか、地震・津波被災者の救助や避難誘導、さらには原発構内での給水活動や火災対応にもあたった福島県双葉消防本部の消防士約７０名が、地元消防の苦難と葛藤を初めて語る。『世界』連載を大幅に加筆。,フクシマダイイチゲンシリョクハツデンショジコ　ショウボウシ　福島第一原子力発電所事故（２０１１）　消防士,図書費,白山商会,1782,図書室,,,,,False,,,,False,,,,False,False,True,,
9784-000229777,51598,2022/01/18,コロナ戦記　医療現場と政治の７００日,ｺﾛﾅ ｾﾝｷ,,,,,山岡 淳一郎 著,ﾔﾏｵｶ ｼﾞｭﾝｲﾁﾛｳ,,498.6,ヤ,,岩波書店,2021,11 224 2p,19cm,1800,21046451,なぜ、日本は新型コロナの拡大を食い止められなかったのか。デルタ株に襲われた第５波までの約７００日間、手探りで進められた対応の詳細を、キーパーソンたちから克明に聴く。『世界』連載をもとに加筆・再構成して単行本化。,シンガタコロナウイルスカンセンショウ　新型コロナウイルス感染症,図書費,ＴＲＣ,1800,図書室,,,,,False,,,,False,,,,False,False,False,,
9784-000253277,51378,2021/06/22,物語のものがたり,ﾓﾉｶﾞﾀﾘ ﾉ ﾓﾉｶﾞﾀﾘ,,,,,梨木 香歩 著,ﾅｼｷ ｶﾎ,,909.3,ナ,,岩波書店,2021,7 155p,20cm,1400,21012986,「秘密の花園」「赤毛のアン」など児童文学の名作を読み解き、いぬいとみこ、石井桃子ら先人たちの仕事の核心に迫る。物語の名手による初の児童文学エッセイ集。鶴見俊輔、別役実との座談会も収録。,ジドウブンガク　児童文学,図書費,ＴＲＣ,1400,図書室,,,,,False,,,,False,,,,False,False,False,,
9784-000614757,51599,2022/01/18,地球を壊す暮らし方　帝国型生活様式と新たな搾取,ﾁｷｭｳ ｵ ｺﾜｽ ｸﾗｼｶﾀ,,,,,ウルリッヒ・ブラント 著　マークス・ヴィッセン 著　中村 健吾 監訳　斎藤 幸平 監訳,ﾌﾞﾗﾝﾄ ｳﾙﾘｯﾋ ｳﾞｨｯｾﾝ ﾏｰｸｽ ﾅｶﾑﾗ ｹﾝｺﾞ ｻｲﾄｳ ｺｳﾍｲ ｳﾙﾘｯﾋﾌﾞﾗﾝﾄ ﾏｰｸｽｳﾞｨｯｾﾝ,,332.0,ブ,,岩波書店,2022,38 258 31p,19cm,2800,21027318,自らの豊かさと安寧のために他所の資源を収奪し、過酷な労働を生み、地球環境をも破壊する〈普通の暮らし〉を「帝国型生活様式」と名づけ、分析、批判。この生活様式を克服するための方策を探る。,シホンシュギ　カンキョウケイザイガク　ナンボクモンダイ　資本主義　環境経済学　南北問題,図書費,ＴＲＣ,2800,図書室,,,,,False,,,,False,,,,False,False,False,,
9784-002710402,80087,2021/04/13,死刑廃止を考える　新版,ｼｹｲ ﾊｲｼ ｵ ｶﾝｶﾞｴﾙ,,,岩波ブックレット　Ｎｏ．１０４０,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1040,菊田 幸一 著,ｷｸﾀ ｺｳｲﾁ,,326.41,ｷ,,岩波書店,2021,62p,21cm,520,21007060,国際社会において、３分の２以上の国が死刑廃止・停止へと動いているなか、日本では依然として死刑制度が存置されている。死刑制度の何が問題なのか、廃止に向けて必要な課題は何か。最新データをもりこみ、死刑廃止を訴える。,シケイ　死刑,図書費,白山商会,512,図書室,,,,,False,,,,False,,,,False,False,True,,
9784-002710419,80088,2021/04/13,震災復興１０年の総点検　「創造的復興」に向けて,ｼﾝｻｲ ﾌｯｺｳ ｼﾞｭｳﾈﾝ ﾉ ｿｳ ﾃﾝｹﾝ,,,岩波ブックレット　Ｎｏ．１０４１,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1041,五十嵐 敬喜 著　加藤 裕則 著　渡辺 勝道 著,ｲｶﾞﾗｼ ﾀｶﾖｼ ｶﾄｳ ﾋﾛﾉﾘ ﾜﾀﾅﾍﾞ ｶﾂﾐﾁ,,369.31,ｼ,,岩波書店,2021,94p,21cm,660,21007065,３・１１から１０年。単なる原状回復ではない、２１世紀のあるべき日本のモデルを追求した「創造的復興」はなされたのか。巨額をかけた復興政策の光と影を検証し、来たるべき災害に備える「事前復興」等の考え方を紹介する。,ヒガシニホンダイシンサイ　サイガイフッコウ　東日本大震災（２０１１）　災害復興,図書費,白山商会,653,図書室,,,,,False,,,,False,,,,False,False,True,,
9784-002710426,80094,2021/04/13,３．１１を心に刻んで　２０２１,ｻﾝｲﾁｲﾁ ｵ ｺｺﾛ ﾆ ｷｻﾞﾝﾃﾞ,,,岩波ブックレット　Ｎｏ．１０４２,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1042,岩波書店編集部 編,ｲﾜﾅﾐｼｮﾃﾝ ｲﾜﾅﾐｼｮﾃﾝﾍﾝｼｭｳﾌﾞ,,369.31,ｲ,2021,岩波書店,2021,88 20p,21cm,800,21012606,さまざまな執筆者が、過去から蓄積されてきた言葉をひき、その言葉に３．１１への思いを重ねて綴る。２０２０年３月～２０２１年２月の岩波書店ホームページでの連載と、『河北新報』連載企画などを単行本化。,ヒガシニホンダイシンサイ　東日本大震災（２０１１）,図書費,白山商会,792,図書室,,,,,False,,,,False,,,,False,False,True,,
9784-002710433,80095,2021/04/13,狙われる１８歳！？　消費者被害から身を守る１８のＱ＆Ａ,ﾈﾗﾜﾚﾙ ｼﾞｭｳﾊｯｻｲ,,,岩波ブックレット　Ｎｏ．１０４３,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1043,日本弁護士連合会消費者問題対策委員会 著,ﾆﾎﾝﾍﾞﾝｺﾞｼﾚﾝｺﾞｳｶｲ ﾆﾎﾝﾍﾞﾝｺﾞｼﾚﾝｺﾞｳｶｲｼｮｳﾋｼｬﾓﾝﾀﾞｲﾀｲｻｸｲｲﾝｶｲ,,365,ﾆ,,岩波書店,2021,63p,21cm,520,21011545,成年年齢の引下げによって、若者たちに消費者被害が広まるおそれがある。成年年齢引下げにはどんな問題があるのかを、鈴木さんファミリーの１日を通して紹介するとともに、様々な問題点を個別にＱ＆Ａ形式で詳しく解説する。,ショウヒシャホゴ　セイネン　消費者保護　成年,図書費,白山商会,515,図書室,,,,,False,,,,False,,,,False,False,True,,
9784-002710440,80128,2021/05/12,有機農業で変わる食と暮らし　ヨーロッパの現場から,ﾕｳｷﾉｳｷﾞｮｳ ﾃﾞ ｶﾜﾙ ｼｮｸ ﾄ ｸﾗｼ,,,岩波ブックレット　Ｎｏ．１０４４,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1044,香坂 玲 著　石井 圭一 著,ｺｳｻｶ ﾘｮｳ ｲｼｲ ｹｲｲﾁ,,612.3,ｺ,,岩波書店,2021,62p,21cm,520,21017295,有機農産物が「日常」的なものとなり、生産・流通・消費の現場が大きく様変わりした欧州。フランス、ドイツ等の最前線の現場と、それを支える公共の役割を考察し、変化の原動力を解明。日本の有機農業の将来像をも提示する。,ヨーロッパ ノウギョウ　ユウキノウギョウ　ヨーロッパ 農業　有機農業,図書費,白山商会,515,図書室,,,,,False,,,,False,,,,False,False,True,,
