ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-096261-80-4	0000026815	2003/08/22	日本像を問い直す			谷川　健一．他共著	389.1	ｱﾖ		小学館	1994	204	19	2003
978-4-309003-92-4	0000026816	2003/03/06	月山抄			森　敦	914.6	ﾓｱ		河出書房新社	1985	230	20	2003
978-4-140801-42-0	0000026819	2003/05/06	静かな闘い			アーサー・アッシュ／アーノルド・ランパーサド／山村　宜子．訳	936	ｱ		日本放送出版協会	1993	426	20	2003
	0000026821	2003/10/07	戦国の城　／目で見る築城と戦略の全貌／総説編			西ヶ谷　恭弘．著	521.8	ﾆﾔ		学習研究社	1993	155	30	2003
978-4-193550-04-7	0000026822	2003/05/28	平壌２５時　／金王朝の内幕／元北朝鮮エリート外交官衝撃の告白			高　英煥／池田　菊敏．訳	221.07	ｺ		徳間書店	1994	350	20	2003
978-4-103062-29-5	0000026824	2003/01/15	神々の消えた土地			北　杜夫	913.6	ｷ		新潮社	1992	211	20	2003
	0000026825	2003/05/29	戦略戦術兵器事典　１　／中国古代編		「歴史群像」グラフィック戦史シリーズ	学習研究社	222.03	ｶﾞ	1	学習研究社	1994	219	26	2003
44093430217	0000026826	2003/08/20	紳士の小道具			板坂　元	385.9	ｲｹﾞ		小学館	1994	125	21	2003
978-4-582126-17-4	0000026831	2003/06/04	オセアニアを知る事典		事典	平凡社／石川　栄吉．他	270.3	ｲｴ		平凡社	1990	360	22	2003
978-4-163487-80-9	0000026833	2003/02/21	アルゼンチンまでもぐりたい			中村　紘子	914.6	ﾅﾋ		文藝春秋	1994	269	20	2003
978-4-532161-16-3	0000026839	2003/06/26	サッチャー回顧録　〈上〉　／ダウニング街の日々			マーガレット・サッチャー／石塚　雅彦．訳	289.33	ｻ	上	日本経済新聞社	1993	550	20	2003
978-4-532161-17-0	0000026840	2003/06/26	サッチャー回顧録　〈下〉　／ダウニング街の日々			マーガレット・サッチャー／石塚　雅彦．訳	289.33	ｻ	下	日本経済新聞社	1993	550	20	2003
978-4-093723-11-4	0000026841	2003/03/01	貧乏は正しい！			橋本　治	914.6	ﾊｵ		小学館	1994	318	19	2003
