ISBN,登録番号,受入日,書名,書名かな,副書名,副書名かな,叢書名等,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目
,48616,2016/06/23,岐阜県文芸祭　第24回(平成27年度)  ,ｷﾞﾌｹﾝ ﾌﾞﾝｹﾞｲｻｲ,,,,,岐阜県教育文化財団／編,ｷﾞﾌｹﾝｷｮｳｲｸﾌﾞﾝｶｻﾞｲﾀﾞﾝ/ﾍﾝ,,910.2,ｷﾞ,,岐阜県教育文化財団,,375p,21cm,,,作品集,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,True,,
,48617,2016/06/23,ニッポンの嵐,ﾆｯﾎﾟﾝ ﾉ ｱﾗｼ,,,,,,,,291,ｶ,,Ｍ．ｃｏ,2010,194p,27cm,,,２０１０年春。嵐のメンバーがそれぞれの興味をもとに、日本全国へ旅をした。数々の幸福な出会い、そこに暮らす人々との対話。ここからニッポンの明日が見えてくる。,日本　嵐,寄付,,,図書室,,,,,False,,,,False,,,,False,False,True,,
978-1-554984-31-2,48647,2016/09/27,Sidewalk flowers  ,SIDEWALK FLOWERS　 ,,,,,JonArno Lawson，illustrations by Sydney Smith,,,726.6,ロ,,Groundwood Books,2015,25p,23cm,2710,,お父さんといっしょに歩く小さな女の子。道端で集めたお花をだれかにあげるごとに、女の子をとりまく世界は、色鮮やかにかわっていき…。小さな世界に訪れる生きる喜びを描いた、文字のない美しい絵本。,,図書費,白山商会,2644,図書室,,日本語タイトル『おはなをあげる』,ニューヨークタイムズ・ベストイラスト賞（2015），カ,,False,,,,False,,,,False,False,True,,
978-4-000022-31-6,49258,2016/11/16,村に火をつけ、白痴になれ 伊藤野枝伝,ﾑﾗ ﾆ ﾋ ｵ ﾂｹ ﾊｸﾁ ﾆ ﾅﾚ ｲﾄｳ ﾉｴ ﾃﾞﾝ,,,,,栗原 康／著,ｸﾘﾊﾗ ﾔｽｼ,,289.1,ク,,岩波書店,2016,176p,19cm,1800,16017001,筆一本を武器に、結婚制度や社会道徳と対決した伊藤野枝。彼女が生涯をかけて燃やそうとしたものは何なのか。気鋭の政治学者が、ほとばしる情熱、躍動する文体でその人間像と思想に迫る。,イトウ ノエ　伊藤野枝,図書費,ＴＲＣ,1800,図書室,,,,,False,,,,False,,,,False,False,False,,
978-4-000056-17-5,49423,2017/03/16,想像するちから チンパンジーが教えてくれた人間の心,ｿｳｿﾞｳｽﾙﾁｶﾗ ﾁﾝﾊﾟﾝｼﾞｰｶﾞｵｼｴﾃｸﾚﾀﾆﾝｹﾞﾝﾉｺｺﾛ,,,,,松沢 哲郎／著,ﾏﾂｻﾞﾜ ﾃﾂﾛｳ,,489.9,ﾏ,,岩波書店,2011,198p,20cm,2000,11011001,人間にもっとも近い進化の隣人、チンパンジーを深く知ることで、人間の心の特別な部分が照射され、教育や親子関係や社会の進化的な起源が見えてくる。チンパンジーの研究を通してたどりついた「人間とは何か」の答えを語る。,チンパンジー　チンパンジー,図書費,ＴＲＣ,2000,図書室,,,,,False,,,,False,,,,False,False,False,,
978-4-002709-38-3,48522,2016/04/07,学問の自由と大学の危機,ｶﾞｸﾓﾝ ﾉ ｼﾞﾕｳ ﾄ ﾀﾞｲｶﾞｸ ﾉ ｷｷ,,,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,広田　照幸／石川　健治／橋本　伸也／山口　二郎,ﾋﾛﾀ ﾃﾙﾕｷ･ｲｼｶﾜ ｹﾝｼﾞ･ﾊｼﾓﾄ ﾉﾌﾞﾔ･ﾔﾏｸﾞﾁ ｼﾞﾛｳ,,377.1,ﾋﾛ,,岩波書店,2016,86p,21cm,626,,これまでにない事態が起きている―。２０１５年６月１６日、国立大学長会議であいさつに立った下村博文文部科学大臣（当時）は、国立大学の学長たちに向かって、「入学式・卒業式における国旗・国歌の取り扱いについて、適切にご判断いただけるようお願いする」と述べた。なぜ公的な場で文部科学大臣が「要請」をすることが問題なのか。大学・学問・知と政治の関係はどうあるべきか。「学問の自由を考える会」のシンポジウムにおける憲法学者、歴史学者、政治学者による報告と、討議を踏まえた教育学者の論考を収載。,学問の自由　 大学の自治,図書費,白山商会,563,事典棚,,,,,False,,,,False,,,,False,True,True,,
978-4-002709-44-4,48523,2016/04/07,アメリカ人が伝えるヒロシマ,ｱﾒﾘｶｼﾞﾝ ｶﾞ ﾂﾀｴﾙ ﾋﾛｼﾏ,「平和の文化」をつくるために,ﾍｲﾜ ﾉ ﾌﾞﾝｶ ｵ ﾂｸﾙ ﾀﾒ ﾆ,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,スティーブン・リーパー,ｽﾃｨｰﾌﾞﾝ ﾘｰﾊﾟｰ,,319.8,ﾘ,,岩波書店,2016,63p,21cm,561,,被爆者の思いを世界に伝え、平和をつくりたい。著者は、広島で翻訳・通訳の仕事をするなかで被爆者と知り合い、深い影響を受けた。その後平和活動に取り組み、外国人として初の広島平和文化センターの理事長になった。自らの半生を振り返りながら、被爆者への思い、全米１１３都市で開催した原爆巡回展の思い出、そして、世界平和のリーダーとしての日本への期待を語る。,原子爆弾?被害　原水爆禁止運動 ,図書費,白山商会,506,事典棚,,,,,False,,,,False,,,,False,True,True,,
978-4-002709-45-1,48524,2016/04/07,憲法に緊急事態条項は必要か,ｹﾝﾎﾟｳ ﾆ ｷﾝｷｭｳ ｼﾞﾀｲ ｼﾞｮｳｺｳ ﾜ ﾋﾂﾖｳ ｶ,,,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,永井　幸寿,ﾅｶﾞｲ ｺｳｼﾞｭ,,323,ﾅｶﾞ,,岩波書店,2016,79p,21cm,669,,災害やテロ対策を理由に、憲法を改正して国家緊急権に関する規定、緊急事態条項を入れようという動きがある。そもそも、国家緊急権とは何か。沿革は？他国の憲法はどうなっているか？憲法に入れれば本当に国民の生命、財産が守られるのか？緊急事態条項に関する最良の入門書。,,図書費,白山商会,603,事典棚,,,,,False,,,,False,,,,False,True,True,,
978-4-002709-46-8,48525,2016/04/07,お買いもので世界を変える,ｵｶｲ ﾓﾉ ﾃﾞ ｾｶｲ ｵ ｶｴﾙ,,,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,日本弁護士連合会消費者問題対策委員会,ﾆﾎﾝﾍﾞﾝｺﾞｼ ﾚﾝｺﾞｳｶｲ ｼｮｳﾋｼｬﾓﾝﾀﾞｲ ﾀｲｻｸ  ｲｲﾝｶｲ,,365,ﾆﾎ,,岩波書店,2016,63p,21cm,561,,私たちは、この社会に生きる市民であると同時に、消費者でもある。朝起きてから夜眠るまで、いや、眠ってからも、私たちの日常生活の一コマ一コマは、消費者としての行動で成り立っている。そして、多くの社会問題は、私たちの消費のありかたと密接に関係している。たとえば、人類的な課題である地球温暖化は、私たちのエネルギー消費のありかたと切り離すことはできない。深刻化する多くの環境問題や、「おれおれ詐欺」などの社会問題の根底には、私たちの消費行動、すなわち「お買いもの」が深くかかわっている。その解決のキーワードは「消費者市民社会」。,,図書費,白山商会,506,事典棚,,,,,False,,,,False,,,,False,True,True,,
978-4-002709-47-5,48526,2016/04/07,３．１１を心に刻んで　２０１６,3.11 ｵ ｺｺﾛ ﾆ ｷｻﾞﾝﾃﾞ 2016,,,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,岩波書店編集部／編,ｲﾜﾅﾐｼｮﾃﾝﾍﾝｼｭｳﾌﾞ ﾍﾝ,,369.3,ｲﾜ,,岩波書店,2016,126p,21cm,842,,２０１１年５月に始まったウェブ連載「３．１１を心に刻んで」は、１７０名を超える筆者により毎月書き継がれてきました。本書にはその第５期と初号からの全執筆者一覧、および被災地の現在を伝え続ける河北新報社によるレポート、２０１１年３月１２、１３日と例年３月１１日の「河北新報」社説、そしてこの５年間の被災地の歩みを振り返る年譜を特別収録。,,図書費,白山商会,758,事典棚,,,,,False,,,,False,,,,False,True,True,,
978-4-002709-48-2,48554,2016/05/11,水俣病を知っていますか  ,ﾐﾅﾏﾀﾋﾞｮｳ ｵ ｼｯﾃｲﾏｽｶ,,,岩波ブックレット,ｲﾜﾅﾐ ﾌﾞｯｸﾚｯﾄ,高峰　武,ﾀｶﾐﾈ ﾀｹｼ,,493.1,ﾀ,,岩波書店,2016,69p,21cm,580,,公式確認から60年を迎えた水俣病。今もなお、多くの人たちが救済を求めているのはなぜか。世界に例をみない健康・環境破壊をもたらした水俣病事件の軌跡を、様々な人物を織り込みながらたどる。,水俣病,図書費,白山商会,563,新書書架,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-49-9,48553,2016/05/11,電力自由化で何が変わるか  ,ﾃﾞﾝﾘｮｸ ｼﾞﾕｳｶ ﾃﾞ ﾅﾆ ｶﾞｶﾜﾙﾉｶ,,,岩波ブックレット,ｲﾜﾅﾐ ﾌﾞｯｸﾚｯﾄ,小澤　祥司,ｵｻﾞﾜ ｼｮｳｼﾞ,,540.9,ｵ,,岩波書店,2016,63p,21cm,520,,電力自由化で、家庭の電気を主体的に選べるようになる。電源構成は不透明? 自然エネルギーや原発はどうなる? 参入や再編で日本のエネルギー業界はどう変わる? 経緯や背景から検証的に解説する。,伝記事業－日本、電力自由化,図書費,白山商会,506,新書書架,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-50-5,48555,2016/05/18,田園回帰がひらく未来  ,ﾃﾞﾝｴﾝ ｶｲｷ ｶﾞ ﾋﾗｸ ﾐﾗｲ,農山村再生の最前線,ﾉｳｻﾝｿﾝ ｻｲｾｲ ﾉ ｻｲｾﾞﾝｾﾝ,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,小田切　徳美,ｵﾀﾞｷﾞﾘ ﾄｸﾐ,,318.6,ｵ,,岩波書店,2016,69p,21cm,580,,欧米に数十年遅れて動き始めた日本の「田園回帰」は、単なる人口逆流ではない。地元の内発的な地域づくりに?がり、都市と農山村の共生をも導いている。若者が牽引する地方移住の現状と背景、展望を開くシンポジウム記録。,地域開発　農村－日本,図書費,白山商会,563,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-51-2,48586,2016/06/23,<愛国心>に気をつけろ!  ,ｱｲｺｸｼｮﾝ ﾆｷ ｵ ﾂｹﾛ,,,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,鈴木　邦男,ｽｽﾞｷ ｸﾆｵ,,154,ｽ,,岩波書店,2016,71p,21cm,580,,<愛国心>を強調する安倍政権。体制への批判は「反日」と攻撃され、人種差別や排外主義が横行する。日本への愛を汚れた義務にするな! 「愛国運動」に身を投じてきた著者が日本社会に覚悟をもって警鐘を鳴らす。,愛国心,図書費,白山商会,563,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-52-9,48587,2016/06/23,分断社会・日本 ,ﾌﾞﾝﾀﾞﾝ ｼｬｶｲ ﾆﾎﾝ,なぜ私たちは引き裂かれるのか,ﾅｾﾞ ﾜﾀｼﾀﾁ ﾜ ﾋｷｻｶﾚﾙ ﾉ ｶ,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,井手　英策・松沢　裕作,ｲﾃﾞ ｴｲｻｸ･ﾏﾂｻﾞﾜ ﾕｳｻｸ,,304,ｲ,,岩波書店,2016,86p,21cm,620,,所得も、働きかたも、人間関係も、どこを見ても刻まれている分断線。なぜこの社会は分断されているのか? 分断を超える突破口は、どこにあるのか? 新しい秩序や価値を創造し、痛みや喜びを共有できる社会を考察する。,時事評論,図書費,白山商会,603,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-53-6,48588,2016/06/23,「主権者教育」を問う  ,ｼｭｹﾝｼｬ ｷｮｳｲｸ ｵ ﾄｳ,,,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,新藤　宗幸,ｼﾝﾄﾞｳ ﾑﾈﾕｷ,,375.3,ｼ,,岩波書店,2016,70p,21cm,580,,選挙権年齢の引き下げを機に、高校生に「主権者教育」が進められる一方、教育現場における「政治的中立性」の確保が強調されている。この動きをどう考えたらよいのか。民主政治を真に豊かにする教育のあり方を考える。,公民教育,図書費,白山商会,563,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-54-3,48619,2016/09/14,語り遺す戦場のリアル  ,ｶﾀﾘ ﾂｸｽ ｾﾝｼﾞｮｳ ﾉ ﾘｱﾙ,,,岩波ブックレット,ｲﾜﾅﾐ ﾌﾞｯｸﾚｯﾄ,共同通信「戦争証言」取材班編 ,ｷｮｳﾄﾞｳ ﾂｳｼﾝ ｾﾝｿｳ ｼｮｳｹﾞﾝ ｼｭｻﾞｲﾊﾝ ﾍﾝ,,210.7,キ,,岩波書店,2016,94p,21cm,660,,コレラに罹った兵士を見殺しにした衛生兵、仲間を次々と特攻で失ったパイロット、風船爆弾の製造に従事した女学生…。若手記者たちが67人の戦争体験者を取材し、多様な証言から戦争の残酷な実態を浮かび上がらせる。,太平洋戦争(1941～1945) ,図書費,白山商会,660,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-55-0,48618,2016/09/14,ディーゼル車に未来はあるか  ,ﾃﾞｨｰｾﾞﾙｼｬ ﾆ ﾐﾗｲ ﾜ ｱﾙｶ,排ガス偽装とPM2.5の脅威,ﾊｲｶﾞｽ ｷﾞｿｳ ﾄ ﾋﾟｰｴﾑ2.5 ﾉ ｷｮｳｲ,岩波ブックレット,ｲﾜﾅﾐ ﾌﾞｯｸﾚｯﾄ,杉本　裕明・嵯峨井　勝,ｽｷﾞﾓﾄ ﾋﾛｱｷ ｻｶﾞｲ ﾏｻﾙ,,537.2,ス,,岩波書店,2016,79p,21cm,620,,規制強化や技術革新で改善が進むディーゼル乗用車だが、メーカーの不正発覚も相次ぎ、業界全体の体質が問われている。規制する側・される側の奮闘の歴史を振り返り、排ガスがもたらす健康被害のメカニズムを徹底解説する。,ディーゼル自動車，排気ガス,図書費,白山商会,620,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-56-7,48615,2016/09/14,南シナ海でなにが起きているのか  ,ﾐﾅﾐｼﾅｶｲ ﾃﾞ ﾅﾆ ｶﾞ ｵｷﾃ ｲﾙ ﾉｶ,米中対立とアジア・日本,ﾍﾞｲ ﾁｭｳ ﾀｲﾘﾂ ﾄ ｱｼﾞｱ ﾆｯﾎﾟﾝ,岩波ブックレット,ｲﾜﾅﾐ ﾌﾞｯｸﾚｯﾄ,山本　秀也,ﾔﾏﾓﾄ ﾋﾃﾞﾔ,,319.2,ヤ,,岩波書店,2016,75p,21cm,620,,中国はなぜ南シナ海の領有権をかたくなに主張しているのか。アメリカ、東南アジア諸国はどう対峙しているか。解決のためには何が必要か。この地域の歴史からハーグの仲裁裁判所の判決まで、最新の動向を盛り込んで解説する。,アジア(東部)-対外関係-歴史，領土，領海，南シナ海 ,図書費,白山商会,620,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-57-4,48660,2016/10/11,兵器と大学  ,ﾍｲｷ ﾄ ﾀﾞｲｶﾞｸ,なぜ軍事研究をしてはならないか,ﾅｾﾞ ｸﾞﾝｼﾞ ｹﾝｷｭｳ ｵ ｼﾃﾜ ﾅﾗﾅｲﾉ ｶ,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,池内　了、小寺　隆幸 編,ｲｹｳﾁ ｻﾄﾙ ｺﾃﾞﾗ ﾀｶﾕｷ ﾍﾝ,,507,イ,,岩波書店,2016,88p,21cm,713,,2015年度から公募が始まった「安全保障技術研究推進制度」により、大学で軍事研究が公然と開始された。「軍学共同」が大学や研究機関に及ぼす悪影響や、応募をしないことを決めた大学の見解などを紹介する。,科学技術倫理，大学-日本，軍需工業 ,図書費,白山商会,642,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-58-1,48752,2017/03/16,アメリカは日本の原子力政策をどうみているか,ｱﾒﾘｶﾜﾆﾎﾝﾉｹﾞﾝｼﾘｮｸｾｲｻｸｵﾄﾞｳﾐﾃｲﾙｶ,,,岩波ブックレット Ｎｏ．９５８,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 958,鈴木 達治郎／編 猿田 佐世／編,ｽｽﾞｷ ﾀﾂｼﾞﾛｳ ｻﾙﾀ ｻﾖ,,539,ｱ,,岩波書店,2016,63p,21cm,520,16052598,米国は日本に原発を続けるよう圧力をかけているのか、米国では原発は減少傾向と聞くが現状はどうか、なぜ日本はプルトニウムをためつづけるのか…。日米の相克を詳細な調査によるファクトから読みとく。,ゲンシリョクセイサク　ニホン タイガイカンケイ アメリカガッシュウコク　原子力政策　日本 対外関係 アメリカ合衆国,図書費,白山商会,520,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-59-8,48728,2016/11/22,相模原事件とヘイトクライム  ,ｻｶﾞﾐﾊﾗ ｼﾞｹﾝ ﾄ ﾍｲﾄ ｸﾗｲﾑ,,,岩波ブックレット,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ,保坂　展人,,,369.2,ホ,,岩波書店,2016,62p,21cm,520,,重度障害者が殺傷された相模原事件。事件の波紋を追い、ナチス・ドイツによる障害者大量殺戮の歴史を振り返ると共に、障害者へのヘイトクライムの根を断つ方途を考える。『ハフィントン・ポスト』日本版掲載をもとに書籍化。,障害者，優生問題,図書費,白山商会,506,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-60-4,48729,2016/11/25,「環境を守る」とはどういうことか  ,ｶﾝｷｮｳ ｵ ﾏﾓﾙ ﾄﾜ ﾄﾞｳ ｲｳ ｺﾄ ｶ,環境思想入門,ｶﾝｷｮｳ ｼｿｳ ﾆｭｳﾓﾝ,岩波ブックレット,ｲﾜﾅﾐ ﾌﾞｯｸﾚｯﾄ,尾関 周二編，環境思想・教育研究会編 ,ｵｾﾞｷ ｼｭｳｼﾞ ｶﾝｷｮｳ ｼｿｳ ｷｮｳｲｸ ｹﾝｷｭｳｶｲ ﾍﾝ,,519,オ,,岩波書店,2016,63p,21cm,520,,誰のために守るのか? 守るべき「環境」とはそもそも何か? 若手研究者が、カブトムシ、クジラ、原発といった具体的なものから環境思想を語る、初学者にもわかりやすい入門書。,環境問題　環境倫理,図書費,白山商会,506,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-61-1,48753,2017/03/16,新国富論 新たな経済指標で地方創生,ｼﾝｺｸﾌﾛﾝ ｱﾗﾀﾅｹｲｻﾞｲｼﾋｮｳﾃﾞﾁﾎｳｿｳｾｲ,,,岩波ブックレット Ｎｏ．９６１,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 961,馬奈木 俊介／著 池田 真也／著 中村 寛樹／著,ﾏﾅｷﾞ ｼｭﾝｽｹ ｲｹﾀﾞ ｼﾝﾔ ﾅｶﾑﾗ ﾋﾛｷ,,331.8,ｼ,,岩波書店,2016,70p,21cm,580,16061163,２０１２年の国連持続可能な開発会議で提示された「新国富指標」。ＧＤＰでは測れない、ほんとうの豊かさとは何か。フローではなくストックを試算する新指標を活用し、将来世代に残せる富、持続可能なあり方を探る。,コクフ　国富,図書費,白山商会,580,事典棚,,,,,False,,,,False,,,,False,False,True,,
978-4-004315-80-3,48542,2016/05/10,鎌倉幕府と朝廷,ｶﾏｸﾗﾊﾞｸﾌ ﾄ ﾁｮｳﾃｲ,シリーズ日本中世史②,ｼﾘｰｽﾞ ﾆﾎﾝ ﾁｭｳｾｲｼ 2,岩波新書,ｲﾜﾅﾐ ｼﾝｼｮ,近藤　成一,ｺﾝﾄﾞｳ ｼｹﾞｶｽﾞ,,210.4,ｺ,,岩波書店,2016,259p,18cm,820,,朝廷と並立する鎌倉幕府の統治のあり方はなぜ生まれたのか。そのことは日本社会をどう変えたのか。源平争乱から幕府誕生、執権政治の時代、そしてモンゴル戦争を経て崩壊に至るまでの約150年間をひもとく。,日本－歴史－鎌倉時代,図書費,白山商会,797,新書書架,,,,,False,,,,False,,,1,False,False,True,,
978-4-004315-81-0,48590,2016/06/24,室町幕府と地方の社会 ,ﾑﾛﾏﾁ ﾊﾞｸﾌ ﾄ ﾁﾎｳ ﾉ ｼｬｶｲ,シリーズ日本中世史③,ｼﾘｰｽﾞ ﾆﾎﾝ ﾁｭｳｾｲｼ 3,岩波新書,ｲﾜﾅﾐｼﾝｼｮ,榎原　雅治,ｴﾊﾞﾗ ﾏｻﾊﾙ,,210.4,ｴ,,岩波書店,2016,229p,18cm,840,,足利尊氏はなぜ鎌倉幕府打倒に動いたのか。南北朝動乱が半世紀も続いた理由は。その後、展開する公武一体の政治の流れをおさえつつ、戦に赴く在地の武士の行動様式、村々の形成などを検討。室町時代の全体像を描く。,日本-歴史-南北朝時代，日本-歴史-室町時代,図書費,白山商会,816,新書書架,,,,,False,,,,False,,,1,False,False,True,,
978-4-004315-82-7,48643,2016/09/13,分裂から天下統一へ,ﾌﾞﾝﾚﾂ ｶﾗ ﾃﾝｶ ﾄｳｲﾂ ｴ,,,岩波新書　新赤版,ｲﾜﾅﾐｼﾝｼｮ ｼﾝ ｱｶﾊﾞﾝ,村井 章介,ﾑﾗｲ ｼｮｳｽｹ,,210.4,ム,,岩波書店,2016,220p,18cm,840,,大名どうしの争いが続く「分裂」の時代は、信長、秀吉、家康ら「天下人」の登場とともに「統一」へと転じた。銀の増産、鉄砲伝来、朝鮮侵略など世界史の大変動の中で日本が踏みだした道を問い直す。シリーズ完結。,日本-歴史-室町時代，日本-歴史-安土桃山時代，日本-歴史-江戸時代,図書費,白山商会,840,新書書架,,,,,False,,,,False,,,1,False,False,True,,
978-4-004315-88-9,48529,2016/04/07,健康長寿のための医学,ｹﾝｺｳ ﾁｮｳｼﾞｭ ﾉ ﾀﾒ ﾉ ｲｶﾞｸ,,,岩波新書,ｲﾜﾅﾐｼﾝｼｮ,井村　裕夫,ｲﾑﾗ ﾋﾛｵ,,490,ｲﾑ,,岩波書店,2016,184p,18cm,820,,糖尿病、認知症など具体的な病気の事例を通して、人生の早い時期から自分の体について考える「ライフコース・ヘルスケア」、発症する前に<予防>する「先制医療」を、近年の研究成果に基づき解説する。  ,医学,図書費,白山商会,739,新書書架,,,,,False,,,,False,,,,False,True,True,,
978-4-004315-89-6,48530,2016/04/07,「法の支配」とは何か,ﾎｳ ﾉ ｼﾊｲ ﾄﾜ ﾅﾆｶ,行政法入門,ｷﾞｮｳｾｲﾎｳ ﾆｭｳﾓﾝ,岩波新書,ｲﾜﾅﾐｼﾝｼｮ,大浜　啓吉,ｵｵﾊﾏ ｹｲｷﾁ,,321,ｵｵ,,岩波書店,2016,257p,18cm,907,,近年、多くの人に使われるようになった「法の支配」は、明治憲法の「法治国家」に代えて日本国憲法が採用した統治原理である。行政法を素材に法治国家との相違を明確にし、歴史と理論の両面から国家と社会のあり方を考察する。 ,法の支配　行政法,図書費,白山商会,816,新書書架,,,,,False,,,,False,,,,False,True,True,,
978-4-004315-90-2,48531,2016/04/07,ホッブズ,ﾎｯﾌﾞｽﾞ,リヴァイアサンの哲学者,ﾘｳﾞｧｲｱｻﾝ ﾉ ﾃﾂｶﾞｸｼｬ,岩波新書,ｲﾜﾅﾐｼﾝｼｮ,田中　浩,ﾀﾅｶ ﾋﾛｼ,,133.2,ﾀﾅ,,岩波書店,2016,20 169p,18cm,864,,「万人の万人にたいする闘争」に終止符を打つために主権の確立を提唱したホッブズは、絶対君主の擁護者なのか。それとも、人間中心の政治共同体を構想した民主主義論者なのか。第一人者がその多面的な思想と生涯を描きだす。 ,,図書費,白山商会,778,新書書架,,,,,False,,,,False,,,,False,True,True,,
978-4-004315-91-9,48532,2016/04/07,ルポ母子避難,ﾙﾎﾟ ﾎﾞｼﾋﾅﾝ,消されゆく原発事故被害者,ｹｻﾚﾕｸ ｹﾞﾝﾊﾟﾂ ｼﾞｺ ﾋｶﾞｲｼｬ,岩波新書,ｲﾜﾅﾐｼﾝｼｮ,吉田　千亜,ﾖｼﾀﾞ ﾁｱ,,543.5,ﾖｼ,,岩波書店,2016,216p,18cm,820,,発事故で避難した母子の生活が困窮している。政府は、いわゆる「自主避難者」への住宅無償提供を二〇一七年春に打ち切る。子どもを守りたい一心で避難した母親たちが、事故から五年経った今、何に不安を感じ、困り、苦しんでいるのか。事故後、避難した母子に寄り添い続ける著者が、克明に綴る。,,図書費,白山商会,739,新書書架,,,,,False,,,,False,,,,False,True,True,,
