ISBN	rgtn	ukeymd	title	auth	pub	pub_year	page	size	series	cls1	cls2	cls3	ukeymd_1
9784-816709944	51762	2022/1/24	地べたの戦争　記者に託された体験者の言葉	「言葉を刻む」取材班 著	西日本新聞社	2022	271p	19cm		210.7	ジ		202201
9784-526081491	51763	2022/1/24	トコトンやさしい建設機械の本	宮入 賢一郎 著	日刊工業新聞社	2022	155p	21cm	Ｂ＆Ｔブックス	513.8	ミ		202201
9784-863135130	51764	2022/1/24	ディープフェイク　ニセ情報の拡散者たち	ニーナ・シック 著　片山 美佳子 訳	日経ＢＰマーケティング（発売）	2022	247p	19cm		007.3	シ		202201
9784-296110087	51765	2022/1/24	「シンデレラ体重」が危ない　やせれば本当に幸せになれるの？	黒住 紗織 編著　日経ＢＰ総合研究所（ヘルシー・マザリング・プロジェクト） 編著	日経ＢＰマーケティング（発売）	2021	189p	21cm		498.5	シ		202201
9784-822288921	51766	2022/1/24	生理で知っておくべきこと　自分の体を守る正しいデータを持てなかった女性たちへ	細川 モモ 著　佐藤 雄一 監修　奈良岡 佑南 監修	日経ＢＰマーケティング（発売）	2022	287p	19cm		495.1	ホ		202201
9784-529061094	51767	2022/1/24	ハギレ活用ＢＯＯＫ　かわいいポーチと布小物		日本ヴォーグ社	2022	95p	26cm		594	ハ		202201
9784-818023468	51768	2022/1/24	看護師をめざすあなたへ	高橋 則子 著　蝦名 總子 著　菊池 麻由美 著　安井 静子 著	日本看護協会出版会	2022	177p	26cm		498.1	カ		202201
9784-284204989	51769	2022/1/24	１３歳から分かる！プロフェッショナルの条件　ドラッカー成果を上げるレッスン	藤屋 伸二 監修　大西 洋 イラスト	日本図書センター	2021	127p	19cm		159.4	ジ		202201
9784-910034072	51770	2022/1/24	わたしたちもみんな子どもだった　戦争が日常だった私たちの体験記	和久井 香菜子 著	ハガツサブックス	2022	295p	19cm		210.7	ワ		202201
9784-560088982	51771	2022/1/24	日本語とにらめっこ　見えないぼくの学習奮闘記	モハメド・オマル・アブディン 著　河路 由佳 聞き手・構成	白水社	2021	217p	19cm		810.7	モ		202201
9784-560089101	51772	2022/1/24	寝るまえ５分のパスカル　「パンセ」入門	アントワーヌ・コンパニョン 著　広田 昌義 訳　北原 ルミ 訳	白水社	2022	206p	19cm		135.2	コ		202201
9784-560072363	51773	2022/1/24	やんごとなき読者	アラン・ベネット 著　市川 恵里 訳	白水社	2022	169p	18cm	白水Ｕブックス　２３６	933.7	ﾍﾞﾈ		202201
9784-560098592	51774	2022/1/24	私はイスラム教徒でフェミニスト	ナディア・エル・ブガ 著　ヴィクトリア・ゲラン 著　中村 富美子 訳	白水社	2022	197p	19cm		367.2	エ		202201
9784-150123451	51775	2022/1/24	クロストーク　上	コニー・ウィリス 著　大森 望 訳	早川書房	2021	508p	16cm	ハヤカワ文庫　ＳＦ　２３４５	933.7	ウ	１	202201
9784-150123468	51776	2022/1/24	クロストーク　下	コニー・ウィリス 著　大森 望 訳	早川書房	2021	499p	16cm	ハヤカワ文庫　ＳＦ　２３４６	933.7	ウ	２	202201
9784-562059294	51777	2022/1/24	毒が変えた天平時代　藤原氏とかぐや姫の謎	船山 信次 著	原書房	2021	301p	20cm		210.3	フ		202201
9784-909417886	51778	2022/1/24	新型コロナウイルスとの闘い　２　看護師が見たパンデミック	地域医療・介護研究会ＪＡＰＡＮ 共著　ヘルスケア・システム研究所 共著	ＰＨＰエディターズ・グループ	2022	285p	21cm		498.6	シ	２	202201
9784-569849898	51779	2022/1/24	いまどきの「ドイツ」と「日本」　本音で対論！	マライ・メントライン 著　池上 彰 著　増田 ユリヤ 著	ＰＨＰ研究所	2022	285p	19cm		302.3	イ		202201
9784-569850689	51780	2022/1/24	おはようおかえり	近藤 史恵 著	ＰＨＰ研究所	2021	242p	19cm		913.6	ｺﾝ		202201
9784-569850122	51781	2022/1/24	ガラスの海を渡る舟	寺地 はるな 著	ＰＨＰ研究所	2022	245p	19cm		913.6	ﾃﾗ		202201
9784-569850092	51782	2022/1/24	月と日の后	冲方 丁 著	ＰＨＰ研究所	2022	445p	20cm		913.6	ｳﾌﾞ		202201
9784-894692176	51783	2022/1/24	アウシュヴィッツの画家の部屋	大内田 わこ 著	東銀座出版社	2021	122p	19cm		234.0	オ		202201
9784-594089429	51784	2022/1/24	官僚崩壊どう立て直すのか	寺脇 研 著　前川 喜平 著	扶桑社	2022	221p	19cm		317	テ		202201
9784-575243970	51785	2022/1/24	エレジーは流れない	三浦しをん 著	双葉社	2021	256p	19cm		913.6	ﾐｳ		202201
9784-575244403	51786	2022/1/24	監禁	秋吉 理香子 著	双葉社	2022	263p	19cm		913.6	ｱｷ		202201
9784-576210636	51787	2022/1/24	美しい和菓子の図鑑	青木 直己 監修	二見書房	2022	166p	21cm		383.8	ウ		202201
9784-835458182	51788	2022/1/24	はりま陰陽師紀行	播磨学研究所 編	復刊ドットコム	2022	253p	19cm		148.4	ハ		202201
9784-829508121	51789	2022/1/24	アウトサイダーたちの太平洋戦争　知られざる戦時下軽井沢の外国人	高川 邦子 著	芙蓉書房出版	2022	334p	19cm		210.7	タ		202201
9784-829810866	51790	2022/1/24	「部落」は今どうなっているのか　地域に住む人たちからの聞き取り	丹波 真理 著	部落問題研究所	2021	127p	21cm		361.8	タ		202201
9784-833424080	51791	2022/1/24	浅草かっぱ橋商店街リアル店舗の奇蹟	飯田 結太 著	プレジデント社	2021	253p	19cm		673.7	イ		202201
9784-579213924	51792	2022/1/24	アーモンドだから、おいしい　しっとり、カリッと、サクッと。	下園 昌江 著	文化学園文化出版局	2022	79p	26cm		596.6	シ		202201
9784-866514154	51793	2022/1/24	最近、地球が暑くてクマってます。　シロクマが教えてくれた温暖化時代を幸せに生き抜く方法	水野 敬也 著　長沼 直樹 著　江守 正多 監修	文響社	2022	145 63p	21cm		451.8	ミ		202201
9784-286229119	51794	2022/1/24	ガンピの翼ストーク	おおえ としこ 著	文芸社	2021	122p	20cm		538.2	オ		202201
9784-286219479	51795	2022/1/24	ちょん・ぎ・らら　ケニア　ルオの民話	水谷 圭吾 編・文　タケダ ミホ 絵	文芸社	2021	166p	21×22cm		388.4	チ		202201
9784-167917197	51796	2022/1/24	彼方のゴールド	大崎 梢 著	文藝春秋	2022	302p	16cm	文春文庫　お５８－４	913.6	ｵｵ		202201
9784-167917821	51797	2022/1/24	きみの正義は　社労士のヒナコ	水生 大海 著	文藝春秋	2021	345p	16cm	文春文庫　み５１－４	913.6	ミ		202201
9784-163913803	51798	2022/1/24	琥珀の夏	辻村 深月 著	文藝春秋	2022	548p	20cm		913.6	ﾂｼﾞ		202201
9784-163913926	51799	2022/1/24	他者の靴を履く　アナーキック・エンパシーのすすめ	ブレイディみかこ 著	文藝春秋	2022	302p	20cm		304	ブ		202201
9784-163914015	51800	2022/1/24	星のように離れて雨のように散った	島本 理生 著	文藝春秋	2022	229p	20cm		913.6	ｼﾏ		202201
9784-166613199	51801	2022/1/24	歴史探偵昭和の教え	半藤 一利 著	文藝春秋	2022	231p	18cm	文春新書　１３１９	914.6	ハ		202201
9784-582769203	51802	2022/1/24	幻想童話名作選　文豪怪異小品集特別篇	泉 鏡花 ほか著　内田 百間 ほか著　宮沢 賢治 ほか著　東 雅夫 編	平凡社	2022	391p	17cm	平凡社ライブラリー　９２０	913.6	ｹﾞﾝ		202201
9784-582859713	51803	2022/1/24	なぜ妻は「手伝う」と怒るのか　妻と夫の溝を埋める５４のヒント	佐光 紀子 著	平凡社	2021	238p	18cm	平凡社新書　９７１	590.4	サ		202201
9784-583113647	51804	2022/1/24	バレーボール	高橋 宏文 著	ベースボール・マガジン社	2022	183p	21cm	ライバルに差をつけろ！自主練習シリーズ	783.2	タ		202201
9784-831516008	51805	2022/1/24	アニメ業界で働く	小杉 眞紀 著　山田 幸彦 著　吉田 真奈 著	ぺりかん社	2021	145p	19cm	なるにはＢＯＯＫＳ　補巻２７	778.7	ア		202201
9784-831515926	51806	2022/1/24	アプリケーションエンジニアになるには	小杉 眞紀 著　吉田 真奈 著　山田 幸彦 著	ぺりかん社	2022	141p	19cm	なるにはＢＯＯＫＳ　１５６	694.6	ア		202201
9784-831515889	51807	2022/1/24	環境専門家になるには	小熊 みどり 著	ぺりかん社	2022	156p	19cm	なるにはＢＯＯＫＳ　３７	519.0	オ		202201
9784-831515995	51808	2022/1/24	社会福祉学部　中高生のための学部選びガイド	元木 裕 著	ぺりかん社	2021	141p	19cm	なるにはＢＯＯＫＳ	376.8	モ		202201
9784-831515919	51809	2022/1/24	社会福祉士・精神保健福祉士になるには	田中 英樹 編著　菱沼 幹男 編著	ぺりかん社	2022	157p	19cm	なるにはＢＯＯＫＳ　６１	369.1	シ		202201
9784-831515964	51810	2022/1/24	農学部　中高生のための学部選びガイド	佐藤 成美 著	ぺりかん社	2022	141p	19cm	なるにはＢＯＯＫＳ	376.8	サ		202201
9784-831515971	51811	2022/1/24	弁護士になるには	飯島 一孝 著	ぺりかん社	2021	133p	19cm	なるにはＢＯＯＫＳ　２１	327.1	イ		202201
9784-860646714	51812	2022/1/24	「半導体」のことが一冊でまるごとわかる	井上 伸雄 著　蔵本 貴文 著	ベレ出版	2021	221p	21cm		549.8	イ		202201
9784-899824077	51813	2022/1/24	沖縄怪異譚大全　いにしえからの都市伝説	小原 猛 著	ボーダーインク	2022	222p	19cm		388.1	コ		202201
9784-591170434	51814	2022/1/24	メディアをつくる！　ＹｏｕＴｕｂｅやって考えた炎上騒動とネット時代の伝え方	池上 彰 著　増田 ユリヤ 著	ポプラ社	2022	188p	18cm	ポプラ新書　２１１	547.4	イ		202201
9784-620326863	51815	2022/1/24	清六の戦争　ある従軍記者の軌跡	伊藤 絵理子 著	毎日新聞出版	2022	190p	20cm		289.1	イ		202201
9784-909447159	51816	2022/1/24	わが米本土爆撃	藤田 信雄 著	毎日ワンズ	2022	261p	18cm		916	ﾌｼﾞ		202201
9784-909710192	51817	2022/1/24	母と暮せば	畑澤 聖悟 著	みずき書林	2022	157p	21cm		912.6	ハ		202201
9784-896426519	51818	2022/1/24	波のない海	岩田 道夫 著	未知谷	2021	189p	20cm		913.6	ｲﾜ		202201
9784-838233823	51819	2022/1/24	桃太郎の発生　世界との比較からみる日本の昔話、説話	花部 英雄 著	三弥井書店	2021	12 309 4p	21cm		388.1	ハ		202201
9784-635062954	51820	2022/1/24	海獣学者、クジラを解剖する。　海の哺乳類の死体が教えてくれること	田島 木綿子 著	山と溪谷社	2022	335p	19cm		489	タ		202201
9784-635510660	51821	2022/1/24	テント泊登山の基本テクニック	高橋 庄太郎 著	山と溪谷社	2022	147p	18cm	ヤマケイ新書　ＹＳ０５９	786.1	タ		202201
9784-877584979	51822	2022/1/24	市役所ワンダーランド	長谷川 博樹 著	ＫＴＣ中央出版（発売）	2022	222p	19cm		318.3	ハ		202201
9784-844137788	51823	2022/1/24	男も育休って、あり？	羽田 共一 著	雷鳥社	2022	287p	19cm		599.0	ハ		202201
9784-652203651	51824	2022/1/24	池上彰の君と考える戦争のない未来	池上 彰 著	理論社	2022	318p	19cm	世界をカエル　１０代からの羅針盤	319.8	イ		202201
9784-652204368	51825	2022/1/24	クジラの骨と僕らの未来	中村 玄 著	理論社	2022	189p	19cm	世界をカエル　１０代からの羅針盤	489.6	ナ		202201
9784-847071201	51826	2022/1/24	人の研究を笑うな　カイチュウ博士８１年の人生訓	藤田 紘一郎 著	ワニブックス（発売）	2021	207p	19cm		491.9	フ		202201
9784-794606662	51827	2022/2/1	韓国語で楽しむ韓国昔ばなし　親孝行な虎　日と月になった兄妹　王様の耳はロバの耳　タニシのお嫁さん　三年峠のおじいさん	キム ヒョンデ 著	ＩＢＣパブリッシング	2022	106p	19cm		829.1	キ		202202
9784-022650177	51828	2022/2/1	あちらにいる鬼	井上荒野 著	朝日新聞出版	2021	351p	15cm	朝日文庫 ; い85-3	913.6	ｲﾉ		202202
9784-022620453	51829	2022/2/1	軍隊マニュアルで読む日本近現代史　日本人はこうして戦場へ行った	一ノ瀬 俊也 著	朝日新聞出版	2021	233p	15cm	朝日文庫　い９６－１	392.1	イ		202202
9784-776211259	51830	2022/2/1	疲れないカラダ大図鑑	夏嶋 隆 著	アスコム	2022	301p	19cm		498.3	ナ		202202
9784-757436978	51831	2022/2/1	英語でオノマトペ表現　日本語の豊かな擬音語擬態語を英語でこう言う	ルーク・タニクリフ 著	アルク	2022	227p	19cm		834	タ		202202
9784-866213460	51832	2022/2/1	「やらなきゃいけないのになんにも終わらなかった…」がなくなる本	菅原 洋平 著	ＷＡＶＥ出版	2022	199p	19cm		498.3	ス		202202
9784-759261264	51833	2022/2/1	自立生活楽し！！　知的障害があっても地域で生きる　親・介助者・支援者の立場から	佐々木 和子 編著　廣川 淳平 編著	解放出版社	2022	132p	21cm		369.2	ジ		202202
9784-763409751	51834	2022/2/1	「八月ジャーナリズム」と戦後日本　戦争の記憶はどう作られてきたのか	米倉 律 著	共栄書房（発売）	2022	284p	19cm	日本大学法学部叢書　第４３巻	699.6	ヨ		202202
9784-040824031	51835	2022/2/1	官邸の暴走	古賀 茂明 著	ＫＡＤＯＫＡＷＡ	2022	334p	18cm	角川新書　Ｋ－３６１	312.1	コ		202202
9784-048969482	51836	2022/2/1	暮らしを変える書く力	一田 憲子 著	ＫＡＤＯＫＡＷＡ	2021	255p	19cm		816	イ		202202
9784-046044693	51837	2022/2/1	資料と課題文を攻略して合格答案を書くための小論文のオキテＰＲＯ	鈴木 鋭智 著	ＫＡＤＯＫＡＷＡ	2022	206p	19cm		816.5	ス		202202
9784-040823317	51838	2022/2/1	日本人の愛国	マーティン・ファクラー 著	ＫＡＤＯＫＡＷＡ	2022	222p	18cm	角川新書　Ｋ－３５９	154	フ		202202
9784-041112298	51839	2022/2/1	不在	彩瀬まる [著]	KADOKAWA	2021	272p	15cm	角川文庫 ; あ115-1	913.6	ｱﾔ		202202
9784-309763026	51840	2022/2/1	図説英国の住宅　住まいに見るイギリス人のライフスタイル　増補新装版	山田 佳世子 著　Ｃｈａ　Ｔｅａ紅茶教室 著	河出書房新社	2022	135p	22cm	ふくろうの本	527	ズ		202202
9784-309467382	51841	2022/2/1	モーリタニアン黒塗りの記録	モハメドゥ・ウルド・スラヒ 著　ラリー・シームズ 編　中島 由華 訳	河出書房新社	2022	560p	15cm	河出文庫　ス５－１	936	ス		202202
9784-434289477	51842	2022/2/1	大人のための「テーブルマナー」の教科書	大谷 晃 著	星雲社（発売）	2022	262p	19cm		596.8	オ		202202
9784-344419971	51843	2022/2/1	スパイクス	あさの あつこ 著	幻冬舎	2013	214p	16cm	幻冬舎文庫　あ－２８－３	913.6	ｱｻ		202202
9784-344425002	51844	2022/2/1	レーン	あさの あつこ 著	幻冬舎	2017	242p	16cm	幻冬舎文庫　あ－２８－５	913.6	ｱｻ		202202
9784-065250402	51845	2022/2/1	考えて、考えて、考える	丹羽 宇一郎 著　藤井 聡太 著	講談社	2022	212p	19cm		796.0	ニ		202202
9784-874987605	51846	2022/2/1	「近い昔」の沖縄・３３話　知ってますか？	大城 将保 著	高文研	2022	181p	19cm		291.9	オ		202202
9784-334045456	51847	2022/2/1	ジェンダーで見るヒットドラマ　韓国、アメリカ、欧州、日本	治部 れんげ 著	光文社	2022	327p	18cm	光文社新書　１１３７	778.8	ジ		202202
9784-784513710	51848	2022/2/1	新型コロナ災害緊急アクション活動日誌　２０２０．４－２０２１．３	瀬戸 大作 原作　平山 昇 企画・編集　土田 修 企画・編集	社会評論社	2022	212p	21cm		368.2	セ		202202
9784-087442397	51849	2022/2/1	桜色の魂　チャスラフスカはなぜ日本人を５０年も愛したのか	長田 渚左 著	集英社	2021	325p	16cm	集英社文庫　お８９－１	781.5	オ		202202
9784-094070279	51850	2022/2/1	安楽死を遂げるまで	宮下 洋一 著	小学館	2022	425p	16cm	小学館文庫　み２０－１	490.1	ミ		202202
9784-093888165	51851	2022/2/1	奥会津最後のマタギ　自然との共生を目指す山の番人	滝田 誠一郎 著	小学館	2021	223p	19cm		384.3	タ		202202
9784-789548373	51852	2022/2/1	１／２日分がとれる！カルシウムおかず　これはカルシウムの攻略本です	女子栄養大学栄養クリニック 監修　栄養と料理 編	女子栄養大学出版部	2022	95p	21cm		596	ニ		202202
9784-789548380	51853	2022/2/1	１／２日分がとれる！鉄レシピ　鉄をとるにはコツがある！	女子栄養大学栄養クリニック 監修　栄養と料理 編	女子栄養大学出版部	2022	95p	21cm		596	ニ		202202
9784-403330742	51854	2022/2/1	スペースもバーもいらない！家バレエ　バー・レッスンからセンター特訓メニューまで	クロワゼ 編　小柴 葉朕 監修	新書館	2021	55p	26cm		769.9	ス		202202
9784-101026817	51855	2022/2/1	軌道　福知山線脱線事故ＪＲ西日本を変えた闘い	松本 創 著	新潮社	2021	474p	16cm	新潮文庫　ま－６１－１	686.7	マ		202202
9784-106109096	51856	2022/2/1	森林で日本は蘇る　林業の瓦解を食い止めよ	白井 裕子 著	新潮社	2022	189p	18cm	新潮新書　９０９	651.1	シ		202202
9784-101210728	51857	2022/2/1	ひとつむぎの手	知念 実希人 著	新潮社	2022	420p	16cm	新潮文庫　ち－７－７２	913.6	チ		202202
9784-101029818	51858	2022/2/1	私の少女マンガ講義	萩尾 望都 著　矢内 裕子 聞き手・構成	新潮社	2022	298p	16cm	新潮文庫　は－７８－１	726.1	ハ		202202
9784-299014696	51859	2022/2/1	愛に始まり、愛に終わる : 瀬戸内寂聴108の言葉	瀬戸内寂聴 著	宝島社	2021	246p	20cm		914.6	ｾﾄ		202202
9784-299017949	51860	2022/2/1	経営学の基本ゆる図鑑　マーケティング＋ビジネスモデル＋販売戦略の基礎がこの１冊でまるわかり！	平野 敦士カール 監修	宝島社	2022	191p	21cm		335.1	ケ		202202
9784-299018359	51861	2022/2/1	伝わる文章術見るだけノート　「うまい文章」の共通ルールがゼロから身につく	山口 拓朗 監修	宝島社	2022	189p	21cm		816	ツ		202202
9784-777827022	51862	2022/2/1	なぜ、日本人は「空気」を読んで失敗するのか？　“大炎上”ニッポン！勇気を持って自己主張する生き方の極意	田原 総一朗 著　津田 大介 著	辰巳出版	2021	283p	19cm		304	タ		202202
9784-480073860	51863	2022/2/1	ダイオウイカｖｓ．マッコウクジラ　図説・深海の怪物たち	北村 雄一 著	筑摩書房	2021	237p	18cm	ちくま新書　１５６６	481.7	キ		202202
9784-480510716	51864	2022/2/1	ロバート・オッペンハイマー　愚者としての科学者	藤永 茂 著	筑摩書房	2022	447p	15cm	ちくま学芸文庫　フ４７－１	289.3	フ		202202
9784-122070806	51865	2022/2/1	海軍日記　最下級兵の記録	野口 冨士男 著	中央公論新社	2022	363p	16cm	中公文庫　の２－３	916	ノ		202202
9784-121026477	51866	2022/2/1	高地文明　「もう一つの四大文明」の発見	山本 紀夫 著	中央公論新社	2022	4 323p	18cm	中公新書　２６４７	209.3	ヤ		202202
9784-122070813	51867	2022/2/1	まるさんかく論理学　数学的センスをみがく	野崎 昭弘 著	中央公論新社	2022	249p	16cm	中公文庫　の１８－１	410.9	ノ		202202
9784-488431136	51868	2022/2/1	わたしの忘れ物	乾ルカ 著	東京創元社	2021	318p	15cm	創元推理文庫 ; Mい8-3	913.6	ｲﾇ		202202
9784-198653026	51869	2022/2/1	雨夜の星たち	寺地 はるな 著	徳間書店	2022	226p	19cm		913.6	ﾃﾗ		202202
9784-198651534	51870	2022/2/1	月下のサクラ	柚月裕子 著	徳間書店	2021	380p	20cm		913.6	ﾕｽﾞ		202202
9784-198652487	51871	2022/2/1	国会議員を経験して学んだ実生活に即活かせる政治利用の件。	宮崎 謙介 著	徳間書店	2022	239p	19cm		312.1	ミ		202202
9784-861244469	51872	2022/2/1	博物館が語る奄美の自然・歴史・文化　奄美博物館公式ガイドブック	奄美市立奄美博物館 編　久 伸博 著　高梨 修 著　山下 和 著　平城 達哉 著	南方新社	2021	283p	21cm		402.9	ハ		202202
9784-820729280	51873	2022/2/1	自己肯定感を高める１００の法則　ありのままの自分をすきになる最もシンプルな方法	根本 裕幸 著	日本能率協会マネジメントセンター	2022	230p	19cm		146.8	ネ		202202
9784-535525580	51874	2022/2/1	法学者・法律家たちの八月十五日	日本評論社法律編集部 編	日本評論社	2022	7 275p	20cm		321.2	ホ		202202
9784-150505769	51875	2022/2/1	後悔するイヌ、嘘をつくニワトリ　動物たちは何を考えているのか	ペーター・ヴォールレーベン 著　本田 雅也 訳	早川書房	2022	322p	16cm	ハヤカワ文庫　ＮＦ　５７６	481.7	ヴ		202202
9784-150505813	51876	2022/2/1	無料（タダ）より安いものもある　お金の行動経済学	ダン・アリエリー 著　ジェフ・クライスラー 著　櫻井 祐子 訳	早川書房	2021	408p	16cm	ハヤカワ文庫　ＮＦ　５８１	331	ア		202202
9784-150314897	51877	2022/2/1	日本ＳＦの臨界点　中井紀夫　山の上の交響楽	中井 紀夫 著　伴名 練 編	早川書房	2022	473p	16cm	ハヤカワ文庫　ＪＡ　１４８９	913.6	ナ		202202
9784-892194597	51878	2022/2/1	ダニが刺したら穴２つは本当か？	島野 智之 著	風濤社	2022	127p	20cm		485.7	シ		202202
9784-909658562	51879	2022/2/1	言いなりにならない江戸の百姓たち　「幸谷村酒井家文書」から読み解く	渡辺 尚志 著	文学通信	2022	164p	19cm		213.5	ワ		202202
9784-286228105	51880	2022/2/1	発明はあなたもできる特許を取ることもできる	杉谷 嘉昭 著	文芸社	2022	161p	19cm		507.1	ス		202202
9784-163913582	51881	2022/2/1	完落ち　警視庁捜査一課「取調室」秘録	赤石 晋一郎 著	文藝春秋	2021	235p	20cm		317.7	ア		202202
9784-798624648	51882	2022/2/1	幻想仮面の作り方　妖しく美しい異形の仮面コレクション	綺想造形蒐集室 著	ホビージャパン	2021	143p	26cm	ＨＪ幻想クラフトシリーズ	711.9	ゲ		202202
9784-908407338	51883	2022/2/1	さあ、生活保護を受けましょう！　困ったら迷わず活用	外場 あたる 著	アジール・プロダクション（発売）	2021	155p	19cm		369.2	ソ		202202
9784-910207117	51884	2022/2/1	息子のボーイフレンド	秋吉 理香子 著	Ｕ－ＮＥＸＴ	2021	251p	19cm		913.6	ｱｷ		202202
9784-909782625	51885	2022/2/1	病院にピットイン！　腹膜透析闘病記	岸田 徹 著	小さ子社（発売）	2022	104p	19cm		916	ｷｼ		202202
9784-846121075	51886	2022/2/1	リニアが壊す南アルプス　エコパークはどうなる	「ストップ・リニア！訴訟」原告団南アルプス調査委員会 編著	緑風出版	2021	111p	19cm		519.8	リ		202202
9784-750353166	51887	2022/7/6	五色のメビウス　「外国人」とともにはたらきともにいきる	信濃毎日新聞社 編	明石書店	2022	388p	19cm		366.8	イ		202207
9784-023322561	51888	2022/7/6	なぜか聴きたくなる人の話し方	秀島 史香 著	朝日新聞出版	2022	254p	19cm		361.4	ヒ		202207
9784-022620668	51889	2022/7/6	まだまだ身の下相談にお答えします	上野 千鶴子 著	朝日新聞出版	2022	285p	15cm	朝日文庫　う５－１１	159	ウ		202207
9784-262130736	51890	2022/7/6	あと一品がすぐできる！おいしい副菜　野菜がとれる２３７品	ほりえ さちこ 著	池田書店	2022	191p	26cm		596.3	ホ		202207
9784-781620787	51891	2022/7/6	サンマデモクラシー　復帰前の沖縄でオバーが起こしたビッグウェーブ	山里 孫存 著	イースト・プレス	2022	325p	19cm		219.9	ヤ		202207
9784-866214153	51892	2022/7/6	親のことが嫌いじゃないのに「なんかイヤだな」と思ったときに読む本	藤木 美奈子 著	ＷＡＶＥ出版	2022	191p	19cm		146.8	フ		202207
9784-767829821	51893	2022/7/6	歩いて、食べる京都のおいしい名建築さんぽ　京都名建築ガイド	甲斐 みのり 著	エクスナレッジ	2022	215p	19cm		523.1	カ		202207
9784-815611897	51894	2022/7/6	世界のサメ大全　サメ愛好家が全身全霊をささげて描いたサメ図鑑　全１２５種！	めかぶ 著・イラスト　田中 彰 監修	ＳＢクリエイティブ	2022	303p	15×21cm		487.5	メ		202207
9784-140057230	51895	2022/7/6	恋せぬふたり	吉田恵里香 著	NHK出版	2022	309p	19cm		913.6	ﾖｼ		202207
9784-295202332	51896	2022/7/6	ネットショップ、開店します。　はじめての開店準備から制作・運営・集客まで全部わかる	藤川 麻夕子 共著　伊藤 真美 共著　藤井 治子 共著	インプレス（発売）	2022	255p	21cm		673.3	ネ		202207
9784-759816907	51897	2022/7/6	ゾウが教えてくれたこと　ゾウオロジーのすすめ	入江 尚子 著	化学同人	2021	185p	19cm	ＤＯＪＩＮ選書　０９２	489.7	イ		202207
9784-305709608	51898	2022/7/6	世界が驚く日本のすごい科学と技術　日本人なら知っておきたい	左巻 健男 編著　青野 裕幸 ほか著	笠間書院	2022	262p	19cm		502.1	サ		202207
9784-058017791	51899	2022/7/6	イギリスの心地いい暮らし小さな愉しみ　３６５　ＬＩＴＴＬＥ　ＤＩＳＣＯＶＥＲＩＥＳ	ｓｍｉｌｅ　ｅｄｉｔｏｒｓ 編	学研プラス	2022	379p	19cm		293.3	イ		202207
9784-058018002	51900	2022/7/6	１秒片づけ　家じゅうのあーめんどくさいをささっと一瞬！に変える	ａｋｉ 著	学研プラス	2022	135p	21cm		597.5	ア		202207
9784-041120545	51901	2022/7/6	甘夏とオリオン	増山 実 著	ＫＡＤＯＫＡＷＡ	2022	396p	15cm	角川文庫　ま５１－１	913.6	マ		202207
9784-046056573	51902	2022/7/6	お金が増える暮らしのルール　忙しい人ほどマネしてほしい	えま 著	ＫＡＤＯＫＡＷＡ	2022	111p	21cm		338.1	エ		202207
9784-046056887	51903	2022/7/6	しない掃除　手間かけない、時間かけない、頑張らない	みな 著	ＫＡＤＯＫＡＷＡ	2022	127p	21cm		597.9	ミ		202207
9784-041122181	51904	2022/7/6	社会人に最も必要な「頼る」スキルの磨き方　あなたの力を１２０％発揮させる「伝え方＋考え方」	吉田 穂波 著	ＫＡＤＯＫＡＷＡ	2022	253p	19cm		336.4	ヨ		202207
9784-041118993	51905	2022/7/6	水槽の中	畑野 智美 著	ＫＡＤＯＫＡＷＡ	2022	301p	15cm	角川文庫　は６２－３	913.6	ハ		202207
9784-046055811	51906	2022/7/6	スキル０でも一目でわかるソーイング大全	オルソン恵子 著	ＫＡＤＯＫＡＷＡ	2022	143p	26cm		594	オ		202207
9784-041122501	51907	2022/7/6	本からはじまる物語	阿刀田 高 著　有栖川 有栖 著　いしい しんじ 著　石田 衣良 著　市川 拓司 著　今江 祥智 著　内海 隆一郎 著　恩田 陸 著　篠田 節子 著　柴崎 友香 著　朱川 湊人 著　大道 珠貴 著　梨木 香歩 著　二階堂 黎人 著　本多 孝好 著　三崎 亜記 著　山崎 洋子 著　山本 一力 著	ＫＡＤＯＫＡＷＡ	2022	234p	15cm	角川文庫　お４８－１０１	913.68	ホ		202207
9784-041120064	51908	2022/7/6	六法推理	五十嵐 律人 著	ＫＡＤＯＫＡＷＡ	2022	341p	19cm		913.6	ｲｶﾞ		202207
9784-758414166	51909	2022/7/6	古本食堂	原田 ひ香 著	角川春樹事務所	2022	290p	19cm		913.6	ﾊﾗ		202207
9784-780312195	51910	2022/7/6	戦争と科学者　知的探求心と非人道性との葛藤	安斎 育郎 著	かもがわ出版	2022	140p	19cm	深読みＮｏｗ　３	559.0	ア		202207
9784-309418803	51911	2022/7/6	かか	宇佐見りん 著	河出書房新社	2022	162p	15cm	河出文庫 ; う17-1	913.6	ｳｻ		202207
9784-309617398	51912	2022/7/6	嫌いな教科を好きになる方法、教えてください！	河出書房新社 編　新井 リオ ほか著	河出書房新社	2022	236p	19cm	１４歳の世渡り術	375	キ		202207
9784-309030357	51913	2022/7/6	くるまの娘	宇佐見 りん 著	河出書房新社	2022	157p	20cm		913.6	ｳｻ		202207
