ISBN,登録番号,受入日,書名,書名かな,副書名,副書名かな,叢書名等,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目
,80545,2022/05/11,濃飛の文化財　６１号,ﾉｳﾋ ﾉ ﾌﾞﾝｶｻﾞｲ ﾛｸｼﾞｭｳｲﾁ ｺﾞｳ,創立５０周年記念号,ｿｳﾘﾂ ｺﾞｼﾞｭｳ ｼｭｳﾈﾝ ｷﾈﾝｺﾞｳ,,,岐阜県文化財保護協会,ｷﾞﾌｹﾝ ﾌﾞﾝｶｻﾞｲ ﾎｺﾞ ｷｮｳｶｲ,,709.1,ｷﾞ,,,2022,114p,30cm,,,,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,True,,
,80546,2022/05/23,小麦粉の魅力,ｺﾑｷﾞｺ ﾉ ﾐﾘｮｸ,豊かで健康な食生活を演出,ﾕﾀｶ ﾃﾞ ｹﾝｺｳ ﾅ ｼｮｸｾｲｶﾂ ｦ ｴﾝｼｭﾂ,,,製粉振興会,ｾｲﾌﾝ ｼﾝｺｳｶｲ,,619.3,ｺ,,製粉振興会,2022,101p,26cm,,,,,寄付,,,図書室,,再改訂版,,,False,,,,False,,,,False,False,True,,
,80549,2022/06/01,百人一首こぼれ話,ﾋｬｸﾆﾝｲｯｼｭ ｺﾎﾞﾚﾊﾞﾅｼ,,,,,水野幸爾,ﾐｽﾞﾉ ｺｳｼﾞ,,911.147,ﾐ,,,2022,206p,21cm,,,,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,True,,
,80599,2022/07/04,理科Q&A教室,ﾘｶ ｷｭｰ ｱﾝﾄﾞ ｴｰ ｷｮｳｼﾂ,物理,ﾌﾞﾂﾘ,,,長谷川　俊明,ﾊｾｶﾞﾜ ﾄｼｱｷ,,375.4,ﾘ,,東京法令出版,1984,394p,27cm,4500,,,理科　教育課程　学習指導,寄付,,4500,図書室,,,,,False,,,,False,,,,False,False,True,,
,80600,2022/07/04,理科Q&A教室,ﾘｶ ｷｭｰ ｱﾝﾄﾞ ｴｰ ｷｮｳｼﾂ,科学,ｶｶﾞｸ,,,長谷川　俊明,ﾊｾｶﾞﾜ ﾄｼｱｷ,,375.4,ﾘ,,東京法令出版,1984,291p,27cm,4500,,,,寄付,,4500,図書室,,,,,False,,,,False,,,,False,False,True,,
,80601,2022/07/04,理科Q&A教室,ﾘｶ ｷｭｰ ｱﾝﾄﾞ ｴｰ ｷｮｳｼﾂ,生物,ｾｲﾌﾞﾂ,,,長谷川　俊明,ﾊｾｶﾞﾜ ﾄｼｱｷ,,375.4,ﾘ,,東京法令出版,1984,406p,27cm,4500,,,理科　,寄付,,4500,図書室,,,,,False,,,,False,,,,False,False,True,,
,80602,2022/07/04,理科Q&A教室,ﾘｶ ｷｭｰ ｱﾝﾄﾞ ｴｰ ｷｮｳｼﾂ,地学,ﾁｶﾞｸ,,,長谷川　俊明,ﾊｾｶﾞﾜ ﾄｼｱｷ,,375.4,ﾘ,,東京法令出版,1984,292p,27cm,4500,,,理科,寄付,,4500,図書室,,,,,False,,,,False,,,,False,False,True,,
,80674,2022/09/17,隷従への道　要約版,ﾚｲｼﾞｭｳ　ｴ　ﾉ　ﾐﾁ ﾖｳﾔｸ　ﾊﾞﾝ,,,,,ﾌﾘｰﾄﾞﾘﾋ・A・ﾊｲｴｸ,,,331.7,ﾊ,,,2022,100p,20cm,,,隷従への道　要約版　　　　　　　　　　漫画・隷従への道　　　　　　　　　　社会主義と知識人,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,True,,
9784-000256766,52094,2022/12/21,歴史はなぜ必要なのか　「脱歴史時代」へのメッセージ,ﾚｷｼ ﾜ ﾅｾﾞ ﾋﾂﾖｳ ﾅﾉｶ,,,,,南塚 信吾 編　小谷 汪之 編　木畑 洋一 編　庵逧 由香 著　高橋 博子 著　三宅 明正 著　明田川 融 著　斎藤 修 著　永島 剛 著,ﾐﾅﾐｽﾞｶ ｼﾝｺﾞ ｺﾀﾆ ﾋﾛﾕｷ ｷﾊﾞﾀ ﾖｳｲﾁ ｱﾝｻﾞｺ ﾕｶ ﾀｶﾊｼ ﾋﾛｺ ﾐﾔｹ ｱｷﾏｻ ｱｹﾀｶﾞﾜ ﾄｵﾙ ｻｲﾄｳ ｵｻﾑ ﾅｶﾞｼﾏ ﾀｹｼ,,204,レ,,岩波書店,2023,14 222p,19cm,2300,22038800,ラグビーの日本チームに外国出身選手が多いのはなぜ？　長野の高冷地野菜の歴史は意外に新しい？　世界が歴史の蓄積の上に成り立っていることを、９人の歴史家が身近な事柄から解き明かす。,レキシ　歴史,図書費,ＴＲＣ,2300,図書室,,,,,False,,,,False,,,,False,False,False,,
9784-000272421,52043,2022/09/21,支える、支えられる、支え合う,ｻｻｴﾙ ｻｻｴﾗﾚﾙ ｻｻｴｱｳ,,,岩波ジュニアスタートブックス　ジュニスタ,ｲﾜﾅﾐｼﾞｭﾆｱｽﾀｰﾄﾌﾞｯｸｽ,サヘル・ローズ 編著,ﾛｰｽﾞ ｻﾍﾙ ｻﾍﾙﾛｰｽﾞ,,369.4,ロ,,岩波書店,2021,7 118p,19cm,1450,21049609,学校でいじめを受けた経験を持ち、現在は難民キャンプの子どもたちへの支援を行っているサヘル・ローズが自らの体験をたどりながら、他者を思いやり、寄り添うことの大切さを伝える。子どもの支援に携わる人々の活動も紹介。,ニンゲンカンケイ　イジメ　タブンカシャカイ　ジドウフクシ　エヌピーオー　キンユウ　カイハツトジョウコク　ビョウキ　ジドウヨウゴシセツ　ジドウギャクタイ　人間関係　いじめ　多文化社会　児童福祉　ＮＰＯ　金融　開発途上国　病気　児童養護施設　児童虐待　ジドウフクシ　シャカイテキホウセツ　児童福祉　社会的包摂,寄付,ＴＲＣ,1450,図書室,,,,,False,,,,False,,,,False,False,False,,
9784-000615266,52016,2022/07/21,プリズン・サークル,ﾌﾟﾘｽﾞﾝ ｻｰｸﾙ,,,,,坂上 香 著,ｻｶｶﾞﾐ ｶｵﾘ,,326.5,サ,,岩波書店,2022,22 278p,19cm,2000,22013664,受刑者が互いの体験に耳を傾け、本音で語りあう更生プログラムをもつ男子刑務所がある。日本で初めて「塀の中」を長期撮影した著者が、「語ること」の繊細なプロセスを伝えるノンフィクション。『世界』連載をもとに単行本化。,シマネアサヒシャカイフッキソクシンセンター　島根あさひ社会復帰促進センター,図書費,ＴＲＣ,2000,図書室,,,,,False,,,,False,,,,False,False,False,,
9784-000615402,52092,2022/12/21,死刑について,ｼｹｲ ﾆ ﾂｲﾃ,,,,,平野 啓一郎 著,ﾋﾗﾉ ｹｲｲﾁﾛｳ,,326.4,ヒ,,岩波書店,2023,6 124 7p,19cm,1200,22025745,死刑を存置することで、社会は何を失うのか－。「生」と「死」をめぐり真摯に創作を続けてきた小説家が、自身の体験を交え根源から問う。２０１９年開催の大阪弁護士会主催の講演をもとに書籍化。,シケイ　死刑,図書費,ＴＲＣ,1200,図書室,,,,,False,,,,False,,,,False,False,False,,
9784-002710594,80470,2022/04/11,〈必要〉から始める仕事おこし　「協同労働」の可能性,ﾋﾂﾖｳ ｶﾗ ﾊｼﾞﾒﾙ ｼｺﾞﾄ ｵｺｼ,,,岩波ブックレット　Ｎｏ．１０５９,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1059,日本労働者協同組合連合会 編,ﾆﾎﾝﾛｳﾄﾞｳｼｬｷｮｳﾄﾞｳｸﾐｱｲﾚﾝｺﾞｳｶｲ,,335.6,ﾋ,,岩波書店,2022,87p,21cm,620,22005707,働く者たちが自ら出資して仕事をおこし、経営にも携わる新しい働き方「協働労働」が広がろうとしている。日本の地域社会や労働の問題を浮き彫りにしながら、「協働労働」の意義や具体的な実践を検証し、その可能性を探る。,ロウドウシャキョウドウクミアイ　労働者協同組合,図書費,白山商会,614,図書室,,,,,False,,,,False,,,,False,False,True,,
9784-002710600,80477,2022/04/11,福島　人なき「復興」の１０年　フォト・ルポルタージュ,ﾌｸｼﾏ ﾋﾄ ﾅｷ ﾌｯｺｳ ﾉ ｼﾞｭｳﾈﾝ,,,岩波ブックレット　Ｎｏ．１０６０,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1060,豊田 直巳 著,ﾄﾖﾀﾞ ﾅｵﾐ,,369.36,ﾄ,,岩波書店,2022,111p,21cm,1000,22010100,福島第一原発事故から１０年が過ぎた。地元住民を置き去りにする偽りの「復興」は福島に、そしてこの国に何をもたらしているのか。住民らの苦悩と闘いをカラー写真とルポで描く。,フクシマダイイチゲンシリョクハツデンショジコ　サイガイフッコウ　福島第一原子力発電所事故（２０１１）　災害復興,図書費,白山商会,990,図書室,,,,,False,,,,False,,,,False,False,True,,
