ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-005008-46-9	0000048738	2017/03/16	女も男も生きやすい国、スウェーデン		岩波ジュニア新書 ８４６	三瓶 恵子／著	367.2	ｵ		岩波書店	2017	220 5p	18cm	2017
978-4-004316-10-7	0000048739	2017/03/16	シルバー・デモクラシー 戦後世代の覚悟と責任		岩波新書　新赤版 １６１０	寺島 実郎／著	312.1	ｼ		岩波書店	2017	200p	18cm	2017
978-4-004316-36-7	0000048740	2017/03/16	キャスターという仕事		岩波新書　新赤版 １６３６	国谷 裕子／著	699.3	ｷ		岩波書店	2017	246p	18cm	2017
978-4-004316-37-4	0000048741	2017/03/16	ロシア革命 破局の８か月		岩波新書　新赤版 １６３７	池田 嘉郎／著	238	ﾛ		岩波書店	2017	232 4p	18cm	2017
978-4-004316-38-1	0000048742	2017/03/16	独占禁止法 国際標準の競争法へ 新版		岩波新書　新赤版 １６３８	村上 政博／著	335.5	ﾄ		岩波書店	2017	234 5p	18cm	2017
978-4-004316-39-8	0000048743	2017/03/16	共生保障 〈支え合い〉の戦略		岩波新書　新赤版 １６３９	宮本 太郎／著	364	ﾐ		岩波書店	2017	226 6p	18cm	2017
978-4-004316-40-4	0000048744	2017/03/16	対話する社会へ		岩波新書　新赤版 １６４０	暉峻 淑子／著	361.4	ﾃ		岩波書店	2017	253p	18cm	2017
978-4-004316-41-1	0000048745	2017/03/16	文庫解説ワンダーランド		岩波新書　新赤版 １６４１	斎藤 美奈子／著	019.9	ﾌ		岩波書店	2017	244p	18cm	2017
978-4-004316-42-8	0000048746	2017/03/16	落語と歩く		岩波新書　新赤版 １６４２	田中 敦／著	779.1	ﾗ		岩波書店	2017	211 36p	18cm	2017
978-4-004316-43-5	0000048747	2017/03/16	文明は〈見えない世界〉がつくる		岩波新書　新赤版 １６４３	松井 孝典／著	112	ﾌ		岩波書店	2017	259p	18cm	2017
978-4-062579-91-9	0000048748	2017/03/16	カラー図解進化の教科書 第２巻 進化の理論		ブルーバックス Ｂ−１９９１	カール・ジンマー／著 ダグラス・Ｊ．エムレン／著 更科 功／訳 石川 牧子／訳 国友 良樹／訳	467.5	ｶ	2	講談社	2017	309p	18cm	2017
978-4-062579-99-5	0000048749	2017/03/16	カラー図解Ｅｘｃｅｌ「超」効率化マニュアル 面倒な入力作業を楽にする		ブルーバックス Ｂ−１９９９	立山 秀利／著	007.6	ｶ		講談社	2017	222p	18cm	2017
978-4-065020-00-5	0000048750	2017/03/16	日本列島１００万年史 大地に刻まれた壮大な物語		ブルーバックス Ｂ−２０００	山崎 晴雄／著 久保 純子／著	454.9	ﾆ		講談社	2017	270p	18cm	2017
978-4-065020-01-2	0000048751	2017/03/16	人工知能はいかにして強くなるのか？ 対戦型ＡＩで学ぶ基本のしくみ		ブルーバックス Ｂ−２００１	小野田 博一／著	007.1	ｼ		講談社	2017	246p	18cm	2017
978-4-002709-58-1	0000048752	2017/03/16	アメリカは日本の原子力政策をどうみているか		岩波ブックレット Ｎｏ．９５８	鈴木 達治郎／編 猿田 佐世／編	539	ｱ		岩波書店	2016	63p	21cm	2017
978-4-002709-61-1	0000048753	2017/03/16	新国富論 新たな経済指標で地方創生		岩波ブックレット Ｎｏ．９６１	馬奈木 俊介／著 池田 真也／著 中村 寛樹／著	331.8	ｼ		岩波書店	2016	70p	21cm	2017
978-4-005008-45-2	0000048754	2017/03/16	方言萌え！？ ヴァーチャル方言を読み解く		岩波ジュニア新書 ８４５	田中 ゆかり／著	818	ﾎ		岩波書店	2016	205 14p	18cm	2017
978-4-004316-27-5	0000048755	2017/03/16	読んじゃいなよ！ 明治学院大学国際学部高橋源一郎ゼミで岩波新書をよむ		岩波新書　新赤版 １６２７	高橋 源一郎／編	019.2	ﾖ		岩波書店	2016	345 26 5p	18cm	2017
978-4-004316-32-9	0000048756	2017/03/16	悩みいろいろ 人生に効く物語５０		岩波新書　新赤版 １６３２	金子 勝／著	159	ﾅ		岩波書店	2016	244p	18cm	2017
978-4-004316-33-6	0000048757	2017/03/16	漱石のこころ その哲学と文学		岩波新書　新赤版 １６３３	赤木 昭夫／著	910.2	ｿ		岩波書店	2016	221p	18cm	2017
978-4-004316-34-3	0000048758	2017/03/16	俳句世がたり		岩波新書　新赤版 １６３４	小沢 信男／著	911.3	ﾊ		岩波書店	2016	205 4p	18cm	2017
978-4-062579-93-3	0000048760	2017/03/16	チーズの科学 ミルクの力、発酵・熟成の神秘		ブルーバックス Ｂ−１９９３	斎藤 忠夫／著	648.1	ﾁ		講談社	2016	222p	18cm	2017
978-4-062579-95-7	0000048761	2017/03/16	活断層地震はどこまで予測できるか 日本列島で今起きていること		ブルーバックス Ｂ−１９９５	遠田 晋次／著	453.4	ｶ		講談社	2016	262p	18cm	2017
978-4-062579-96-4	0000048762	2017/03/16	体の中の異物「毒」の科学 ふつうの食べものに含まれる危ない物質		ブルーバックス Ｂ−１９９６	小城 勝相／著	491.5	ｶ		講談社	2016	286p	18cm	2017
978-4-062579-97-1	0000048763	2017/03/16	欧米人とはこんなに違った日本人の「体質」 科学的事実が教える正しいがん・生活習慣病予防		ブルーバックス Ｂ−１９９７	奥田 昌子／著	491.6	ｵ		講談社	2016	238p	18cm	2017
978-4-062579-98-8	0000048764	2017/03/16	「超」入門ベイズ統計 結果から原因を推理する		ブルーバックス Ｂ−１９９８	石村 貞夫／著	417	ﾁ		講談社	2016	173p	18cm	2017
978-4-005008-47-6	0000048765	2017/04/10	王様でたどるイギリス史		岩波ジュニア新書 ８４７	池上 俊一／著	288.4	ｵ		岩波書店	2017	249 5p	18cm	2017
978-4-004316-45-9	0000048766	2017/04/10	憲法改正とは何だろうか		岩波新書　新赤版 １６４５	高見 勝利／著	323.1	ﾀ		岩波書店	2017	219p	18cm	2017
978-4-004316-46-6	0000048767	2017/04/10	裁判の非情と人情		岩波新書　新赤版 １６４６	原田 国男／著	327.6	ｻ		岩波書店	2017	187p	18cm	2017
978-4-004316-47-3	0000048768	2017/04/10	人びとの自然再生 歩く、見る、聞く		岩波新書　新赤版 １６４７	宮内 泰介／著	361.7	ﾋ		岩波書店	2017	206 8p	18cm	2017
978-4-004316-48-0	0000048769	2017/04/10	系外惑星と太陽系		岩波新書　新赤版 １６４８	井田 茂／著	445	ｹ		岩波書店	2017	200p	18cm	2017
978-4-004316-49-7	0000048770	2017/04/10	北原白秋 言葉の魔術師		岩波新書　新赤版 １６４９	今野 真二／著	911.5	ｷ		岩波書店	2017	272 2p	18cm	2017
978-4-002709-63-5	0000048771	2017/04/10	３．１１を心に刻んで ２０１７		岩波ブックレット Ｎｏ．９６３	岩波書店編集部／編	369.3	ｻ	2017	岩波書店	2017	111p	21cm	2017
978-4-065020-02-9	0000048772	2017/04/10	地学ノススメ 「日本列島のいま」を知るために		ブルーバックス Ｂ−２００２	鎌田 浩毅／著	450	ﾁ		講談社	2017	286p	18cm	2017
978-4-065020-03-6	0000048773	2017/04/10	素数はめぐる 循環小数で語る数論の世界		ブルーバックス Ｂ−２００３	西来路 文朗／著 清水 健一／著	412	ｿ		講談社	2017	235p	18cm	2017
978-4-065020-04-3	0000048774	2017/04/10	人類と気候の１０万年史 過去に何が起きたのか、これから何が起こるのか		ブルーバックス Ｂ−２００４	中川 毅／著	451.8	ｼ		講談社	2017	218p	18cm	2017
978-4-065020-05-0	0000048775	2017/04/10	ランニングする前に読む本 最短で結果を出す科学的トレーニング		ブルーバックス Ｂ−２００５	田中 宏暁／著	782	ﾗ		講談社	2017	250p	18cm	2017
978-4-065020-06-7	0000048776	2017/04/10	宇宙に「終わり」はあるのか 最新宇宙論が描く、誕生から「１０の１００乗年」後まで		ブルーバックス Ｂ−２００６	吉田 伸夫／著	443.9	ｳ		講談社	2017	280p	18cm	2017
978-4-005008-48-3	0000048778	2017/04/12	財政から読みとく日本社会 君たちの未来のために		岩波ジュニア新書 ８４８	井手 英策／著	342.1	ｻ		岩波書店	2017	224p	18cm	2017
978-4-005008-49-0	0000048779	2017/04/12	正しいコピペのすすめ 模倣、創造、著作権と私たち		岩波ジュニア新書 ８４９	宮武 久佳／著	021.2	ﾀ		岩波書店	2017	186 3p	18cm	2017
978-4-004316-50-3	0000048780	2017/04/12	日本の近代とは何であったか 問題史的考察		岩波新書　新赤版 １６５０	三谷 太一郎／著	210.6	ﾆ		岩波書店	2017	276 4p	18cm	2017
978-4-004316-51-0	0000048781	2017/04/12	シリア情勢 終わらない人道危機		岩波新書　新赤版 １６５１	青山 弘之／著	302.2	ｼ		岩波書店	2017	169 15p	18cm	2017
978-4-004316-52-7	0000048782	2017/04/12	中国のフロンティア 揺れ動く境界から考える		岩波新書　新赤版 １６５２	川島 真／著	319.2	ﾁ		岩波書店	2017	224p	18cm	2017
978-4-004316-53-4	0000048783	2017/04/12	グローバル・ジャーナリズム 国際スクープの舞台裏		岩波新書　新赤版 １６５３	沢 康臣／著	070.4	ｸ		岩波書店	2017	251 3p	18cm	2017
978-4-004316-54-1	0000048784	2017/04/12	モラルの起源 実験社会科学からの問い		岩波新書　新赤版 １６５４	亀田 達也／著	361.4	ｶ		岩波書店	2017	172 2p	18cm	2017
978-4-004316-55-8	0000048785	2017/04/12	『レ・ミゼラブル』の世界		岩波新書　新赤版 １６５５	西永 良成／著	953.6	ﾚ		岩波書店	2017	204 3p	18cm	2017
978-4-065020-07-4	0000048786	2017/04/12	痛覚のふしぎ 脳で感知する痛みのメカニズム		ブルーバックス Ｂ−２００７	伊藤 誠二／著	491.3	ﾂ		講談社	2017	218p	18cm	2017
978-4-065020-08-1	0000048787	2017/04/12	地球はなぜ「水の惑星」なのか 水の「起源・分布・循環」から読み解く地球史		ブルーバックス Ｂ−２００８	唐戸 俊一郎／著	450	ﾁ		講談社	2017	270p	18cm	2017
978-4-065020-09-8	0000048788	2017/04/12	理化学研究所 １００年目の巨大研究機関		ブルーバックス Ｂ−２００９	山根 一真／著	407.6	ﾘ		講談社	2017	238p	18cm	2017
978-4-087710-37-3	0000048789	2017/04/12	星に願いを、そして手を。			青羽 悠／著	913.6	ｱ		集英社	2017	296p	20cm	2017
978-4-398278-68-5	0000048790	2017/04/27	福岡　博多・天神  １７		まっぷるマガジン 九州 ０２		291.9	ﾌ	2017	昭文社	2016	135p	26cm	2017
978-4-398279-35-4	0000048791	2017/04/27	長崎ハウステンボス 佐世保・五島  １７		まっぷるマガジン 九州 ０４		291.9	ﾅ	2017	昭文社	2016	127p	26cm	2017
978-4-398281-70-8	0000048792	2017/04/27	鹿児島 指宿・霧島  １７− １８		まっぷるマガジン 九州 １０		291.9	ｶ	2017	昭文社	2017	119p	26cm	2017
978-4-533111-99-0	0000048793	2017/04/27	るるぶ福岡 博多天神  １７		るるぶ情報版 九州 ２		291.9	ﾙ	2017	ＪＴＢパブリッシング	2016	131p	26cm	2017
978-4-533111-13-6	0000048794	2017/04/27	るるぶ長崎 ハウステンボス佐世保雲仙  １７		るるぶ情報版 九州 ３		291.9	ﾙ	2017	ＪＴＢパブリッシング	2016	117p	26cm	2017
978-4-533114-63-2	0000048795	2017/04/27	るるぶ鹿児島 指宿霧島桜島  １７		るるぶ情報版 九州 ７		291.9	ﾙ	2017	ＪＴＢパブリッシング	2016	109p	26cm	2017
978-4-398155-15-3	0000048796	2017/04/27	福岡 太宰府 ３版		ことりっぷ		291.9	ﾌ		昭文社	2016	143p	18cm	2017
978-4-398155-16-0	0000048797	2017/04/27	長崎 ハウステンボス・五島列島 ３版		ことりっぷ		291.9	ﾅ		昭文社	2016	135p	18cm	2017
978-4-398154-14-9	0000048798	2017/04/27	屋久島・鹿児島・霧島 ２版		ことりっぷ		291.9	ﾔ		昭文社	2015	143p	18cm	2017
978-4-533085-57-4	0000048799	2017/04/27	福岡 柳川　門司港レトロ 改訂４版		ココミル 九州 １		291.9	ﾌ		ＪＴＢパブリッシング	2016	143p	20cm	2017
978-4-533087-20-2	0000048800	2017/04/27	長崎 ハウステンボス 改訂３版		ココミル 九州 ２		291.9	ﾅ		ＪＴＢパブリッシング	2015	127p	20cm	2017
978-4-533085-58-1	0000048801	2017/04/27	鹿児島 霧島　指宿　屋久島 改訂４版		ココミル 九州 ３		291.9	ｶ		ＪＴＢパブリッシング	2015	143p	20cm	2017
978-4-398116-75-8	0000048802	2017/04/27	福岡 関門海峡・北九州 ４版		たびまる−今度の旅はまるごと楽しい！− ２５		291.9	ﾌ		昭文社	2015	151p	21cm	2017
978-4-398116-76-5	0000048803	2017/04/27	長崎 ４版		たびまる−今度の旅はまるごと楽しい！− ２６		291.9	ﾅ		昭文社	2015	143p	21cm	2017
978-4-398116-78-9	0000048804	2017/04/27	鹿児島・屋久島 奄美大島 ３版		たびまる−今度の旅はまるごと楽しい！− ２８		291.9	ｶ		昭文社	2015	159p	21cm	2017
978-4-005008-50-6	0000048805	2017/05/01	聖徳太子 ほんとうの姿を求めて		岩波ジュニア新書 ８５０	東野 治之／著	288.4	ｼ		岩波書店	2017	220 6p	18cm	2017
978-4-005008-51-3	0000048806	2017/05/01	日本一小さな農業高校の学校づくり 愛農高校、校舎たてかえ顛末記		岩波ジュニア新書 ８５１	品田 茂／著	526.3	ﾆ		岩波書店	2017	218p	18cm	2017
978-4-005008-52-0	0000048807	2017/05/01	東大留学生ディオンが見たニッポン		岩波ジュニア新書 ８５２	ディオン・ン・ジェ・ティン／著	302.1	ﾄ		岩波書店	2017	215p	18cm	2017
978-4-004316-56-5	0000048808	2017/05/01	作家的覚書		岩波新書　新赤版 １６５６	高村 薫／著	914.6	ｻ		岩波書店	2017	214p	18cm	2017
978-4-004316-57-2	0000048809	2017/05/01	ミクロ経済学入門の入門		岩波新書　新赤版 １６５７	坂井 豊貴／著	331	ﾐ		岩波書店	2017	149 3p	18cm	2017
978-4-004316-58-9	0000048810	2017/05/01	日中漂流 グローバル・パワーはどこへ向かうか		岩波新書　新赤版 １６５８	毛里 和子／著	319.1	ﾆ		岩波書店	2017	272p	18cm	2017
978-4-004316-59-6	0000048811	2017/05/01	異才、発見！ 枠を飛び出す子どもたち		岩波新書　新赤版 １６５９	伊藤 史織／著	371.5	ｲ		岩波書店	2017	195p	18cm	2017
978-4-004316-60-2	0000048812	2017/05/01	正岡子規人生のことば		岩波新書　新赤版 １６６０	復本 一郎／著	911.3	ﾏ		岩波書店	2017	197 7p	18cm	2017
978-4-002709-64-2	0000048813	2017/05/01	《原爆の図》のある美術館 丸木位里、丸木俊の世界を伝える		岩波ブックレット Ｎｏ．９６４	岡村 幸宣／著	721.9	ｹ		岩波書店	2017	63p	21cm	2017
978-4-065020-10-4	0000048814	2017/05/01	生物はウイルスが進化させた 巨大ウイルスが語る新たな生命像		ブルーバックス Ｂ−２０１０	武村 政春／著	465.8	ｾ		講談社	2017	254p	18cm	2017
978-4-065020-11-1	0000048815	2017/05/01	巨大ブラックホールの謎 宇宙最大の「時空の穴」に迫る		ブルーバックス Ｂ−２０１１	本間 希樹／著	443.5	ｷ		講談社	2017	270p	18cm	2017
978-4-065020-12-8	0000048816	2017/05/01	カラー図解Ｊａｖａで始めるプログラミング 知識ゼロからの定番言語「超」入門		ブルーバックス Ｂ−２０１２	高橋 麻奈／著	007.6	ｶ		講談社	2017	202p	18cm	2017
978-4-065020-13-5	0000048817	2017/05/01	カラー図解新しい人体の教科書 上		ブルーバックス Ｂ−２０１３	山科 正平／著	491.3	ｶ	1	講談社	2017	358p	18cm	2017
978-4-002709-65-9	0000048818	2017/06/15	家庭教育は誰のもの？ 家庭教育支援法はなぜ問題か		岩波ブックレット Ｎｏ．９６５	木村 涼子／著	379.9	ｷ		岩波書店	2017	63p	21cm	2017
978-4-002709-66-6	0000048819	2017/06/15	共謀罪の何が問題か		岩波ブックレット Ｎｏ．９６６	高山 佳奈子／著	326.8	ﾀ		岩波書店	2017	71p	21cm	2017
978-4-005008-53-7	0000048820	2017/06/15	中学生になったら		岩波ジュニア新書 ８５３	宮下 聡／著	376.3	ﾐ		岩波書店	2017	242p	18cm	2017
978-4-005008-54-4	0000048821	2017/06/15	質問する、問い返す 主体的に学ぶということ		岩波ジュニア新書 ８５４	名古谷 隆彦／著	002	ﾅ		岩波書店	2017	211p	18cm	2017
