ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-103300-11-3	0000046374	2012/01/10	呪いの時代			内田　樹	304	ｳﾀ		新潮社	2011	285	19	2012
978-4-062173-53-7	0000046375	2012/01/10	とっぴんしゃん　【上】			山本　一力	913.6	ﾔｲ	上	新潮社	2011	255	20	2012
978-4-781700-99-1	0000046376	2012/01/10	動物百科　野生ネコの百科			今泉　忠明	489.53	ｲﾀ		データハウス	2011	175	20	2012
978-4-575237-46-7	0000046377	2012/01/10	金色の獣、彼方に向かう			恒川　光太郎	913.6	ﾂｺ		双葉社	2011	269	20	2012
978-4-566013-81-0	0000046378	2012/01/10	ビッケと空とぶバイキング船			ルーネル・ヨンソン．作／エーヴェット・カールソン．絵／石渡　利康．訳	949.83	ﾖ		評論社	2011	278	20	2012
978-4-591126-56-1	0000046379	2012/01/10	てのひらの父			大沼　紀子	913.6	ｵﾉ		ポプラ社	2011	287	20	2012
978-4-575237-49-8	0000046380	2012/01/10	夢玄館へようこそ			水生　大海	913.6	ﾐﾋ		双葉社	2011	259	20	2012
978-4-163747-00-2	0000046381	2012/01/10	絵のある自伝			安野　光雅	726.5	ｱﾐ		文藝春秋	2011	254	20	2012
978-4-532168-12-4	0000046382	2012/01/10	京都御所西　一松町物語			杉山　正明	216.2	ｽﾏ		文藝春秋	2011	274	20	2012
978-4-309020-74-7	0000046383	2012/01/10	永遠をさがしに			原田　マハ	913.6	ﾊﾏ		河出書房新社	2011	245	20	2012
978-4-062168-13-7	0000046384	2012/01/10	怪優伝／三國連太郎・死ぬまで演じつづけること			佐野　眞一／三國　連太郎	778.21	ｻｼ		講談社	2011	350	20	2012
978-4-774320-12-0	0000046385	2012/01/10	「複眼的思考」ノススメ／調和が必要な変革の時代を迎えて			長倉　三郎	304	ﾅｻ		くもん出版	2011	207	20	2012
978-4-081570-14-0	0000046386	2012/01/10	戦争と文学１４／女性たちの戦争			集英社／	918.6	ｼ	14	集英社	2012	699	20	2012
978-4-081570-07-2	0000046387	2012/01/10	戦争と文学７／日中戦争			集英社／	918.6	ｼ	7	集英社	2011	745	20	2012
978-4-120043-08-6	0000046388	2012/01/10	草原の風　【下】			宮城谷　昌光	913.6	ﾐﾏ	下	中央公論新社	2011	350	20	2012
978-4-562047-36-9	0000046389	2012/01/10	ゲド戦記研究			織田　まゆみ	933.7	ｵﾏ		原書房	2011	247	22	2012
978-4-062577-45-8	0000046390	2012/02/10	４次元デジタル　宇宙紀行Ｍｉｔａｋａ／ＤＶＤ−ＲＯＭ付／地球から宇宙の果てへ		ＢＬＵＥ　ＢＡＣＫＳ　１７４５	ビバマンボ．著／小久保　英一郎．監修	440	ﾋﾞ		講談社	2011	174	18	2012
978-4-062577-49-6	0000046391	2012/02/10	データで検証　地球の資源／未来はほんとうに大丈夫なのか？		ＢＬＵＥ　ＢＡＣＫＳ　１７４９	井田　徹治	334.7	ｲﾃ		講談社	2011	288	18	2012
