ISBN	rgtn	ukeymd	title	auth	pub	pub_year	page	size	series	cls1	cls2	cls3	ukeymd_1
9784-004320012	81193	2024/5/20	ケアの倫理	岡野 八代 著	岩波書店	2024	3 328 8p	18cm	岩波新書　新赤版　２００１	311.1	ｵｶ		202405
9784-004320036	81194	2024/5/20	ヨーロッパ史	大月 康弘 著	岩波書店	2024	13 230 16p	18cm	岩波新書　新赤版　２００３	230	ｵｵ		202405
9784-004320074	81195	2024/5/20	財政と民主主義	神野 直彦 著	岩波書店	2024	6 250 5p	18cm	岩波新書　新赤版　２００７	342.1	ｼﾞﾝ		202405
9784-004320081	81196	2024/5/20	同性婚と司法	千葉 勝美 著	岩波書店	2024	13 202p	18cm	岩波新書　新赤版　２００８	324.6	ﾁﾊﾞ		202405
9784-004320098	81197	2024/5/20	ジェンダー史１０講	姫岡 とし子 著	岩波書店	2024	10 225 8p	18cm	岩波新書　新赤版　２００９	367.2	ﾋﾒ		202405
9784-004320104	81198	2024/5/20	〈一人前〉と戦後社会	禹 宗【ウォン】 著　沼尻 晃伸 著	岩波書店	2024	3 267 7p	18cm	岩波新書　新赤版　２０１０	210.7	ｳｰ		202405
9784-004319993	81199	2024/5/20	豆腐の文化史	原田 信男 著	岩波書店	2023	8 236 22p	18cm	岩波新書　新赤版　１９９９	383.8	ﾊﾗ		202405
9784-004320005	81200	2024/5/20	耳は悩んでいる	小島 博己 編	岩波書店	2023	20 214 4p	18cm	岩波新書　新赤版　２０００	496.6	ｺｼﾞ		202405
9784-000272537	81201	2024/5/20	物語、英語で読んでみない？	佐藤 和哉 著	岩波書店	2023	11 114p	19cm	岩波ジュニアスタートブックス　ジュニスタ	837.5	ｻﾄ		202405
9784-005009794	81202	2024/5/20	１０代のうちに考えておきたいジェンダーの話	堀内 かおる 著	岩波書店	2023	10 196p	18cm	岩波ジュニア新書　９７９	367.1	ﾎﾘ		202405
9784-005009824	81203	2024/5/20	縄文時代を解き明かす	阿部 芳郎 編著	岩波書店	2024	8 209 5p	18cm	岩波ジュニア新書　９８２	210.2	ｱﾍﾞ		202405
9784-005009800	81204	2024/5/20	食べものから学ぶ現代社会	平賀 緑 著	岩波書店	2024	20 194p	18cm	岩波ジュニア新書　９８０	611.3	ﾋﾗ		202405
9784-005009817	81205	2024/5/20	原発事故、ひとりひとりの記憶	吉田 千亜 著	岩波書店	2024	10 226p	18cm	岩波ジュニア新書　９８１	369.3	ﾖｼ		202405
9784-002710884	81206	2024/5/20	同性婚法制化のためのＱ＆Ａ	「結婚の自由をすべての人に」訴訟全国弁護団連絡会 著	岩波書店	2024	63p	21cm	岩波ブックレット　Ｎｏ．１０８８	324.6	ｹｯ		202405
9784-002710891	81207	2024/5/20	命をつなぐ、献血と骨髄バンク	岡田 晴恵 著	岩波書店	2024	52p	21cm	岩波ブックレット　Ｎｏ．１０８９	492.9	ｵｶ		202405
9784-002710907	81208	2024/5/20	トランスジェンダーと性別変更	高井 ゆと里 編	岩波書店	2024	85p	21cm	岩波ブックレット　Ｎｏ．１０９０	367.9	ﾀｶ		202405
9784-002710914	81209	2024/5/20	教育ＤＸと変わり始めた学校	佐藤 明彦 著	岩波書店	2024	78p	21cm	岩波ブックレット　Ｎｏ．１０９１	372.1	ｻﾄ		202405
9784-074543793	81210	2024/5/20	薬屋のひとりごと　１３	日向 夏 著	主婦の友社（発売）	2023	237p	16cm	ヒーロー文庫	913.6	ﾋｭ	13	202405
9784-074557752	81211	2024/5/20	薬屋のひとりごと　１４	日向 夏 著	主婦の友社（発売）	2023	398p	16cm	ヒーロー文庫	913.6	ﾋｭ	14	202405
9784-004320111	81212	2024/5/20	魔女狩りのヨーロッパ史	池上 俊一 著	岩波書店	2024	12 233 9p	18cm	岩波新書　新赤版　２０１１	230.5	ｲｹ		202405
9784-297139414	81213	2024/5/20	江戸でバイトやってみた。	櫻庭 由紀子 著　くろしま あきら 絵	技術評論社	2023	223p	21cm		384.3	ｻｸ		202405
9784-004320050	81214	2024/5/20	暴力とポピュリズムのアメリカ史	中野 博文 著	岩波書店	2024	15 202 14p	18cm	岩波新書　新赤版　２００５	396.2	ﾅｶ		202405
9784-004320067	81215	2024/5/20	百人一首	田渕 句美子 著	岩波書店	2024	3 258p	18cm	岩波新書　新赤版　２００６	911.1	ﾀﾌﾞ		202405
9784-065319468	81216	2024/5/24	レーエンデ国物語　〔１〕	多崎 礼 著	講談社	2023	492p	19cm		913.6	ﾀｻ	1	202405
9784-086805261	81217	2024/5/24	これは経費で落ちません! 11	青木祐子 著	集英社	2023	246p	15cm	集英社オレンジ文庫 ; あ3-12	913.6	ｱｵ	11	202405
9784-620108629	81218	2024/5/24	水車小屋のネネ	津村 記久子 著	毎日新聞出版	2023	485p	19cm		913.6	ﾂﾑ		202405
9784-022519320	81219	2024/5/24	存在のすべてを	塩田 武士 著	朝日新聞出版	2023	464p	20cm		913.6	ｼｵ		202405
9784-041141472	81220	2024/5/24	７７７	伊坂 幸太郎 著	ＫＡＤＯＫＡＷＡ	2023	293p	20cm		913.6	ｲｻ		202405
9784-845116126	81221	2024/5/24	パラスポーツ・ボランティア入門	松尾 哲矢 編　平田 竹男 編	旬報社	2019	219p	21cm		780.1	ﾏﾂ		202405
9784-004320029	81222	2024/5/24	「むなしさ」の味わい方	きたやま おさむ 著	岩波書店	2024	2 204p	18cm	岩波新書　新赤版　２００２	146.1	ｷﾀ		202405
9784-004320043	81223	2024/5/24	感染症の歴史学	飯島 渉 著	岩波書店	2024	4 222p	18cm	岩波新書　新赤版　２００４	493.8	ｲｲ		202405
9784-004319979	81224	2024/5/24	ドキュメント異次元緩和	西野 智彦 著	岩波書店	2023	9 239 2p	18cm	岩波新書　新赤版　１９９７	338.3	ﾆｼ		202405
9784-004319986	81225	2024/5/24	文化財の未来図	村上 隆 著	岩波書店	2023	6 217p	18cm	岩波新書　新赤版　１９９８	709.1	ﾑﾗ		202405
9784-002710877	81226	2024/5/24	再審制度ってなんだ？	村山 浩昭 編　葛野 尋之 編	岩波書店	2024	159p	21cm	岩波ブックレット　Ｎｏ．１０８７	327.6	ﾑﾗ		202405
9784-002710860	81227	2024/5/24	「江戸の選挙」から民主主義を考える	柿崎 明二 著	岩波書店	2023	94p	21cm	岩波ブックレット　Ｎｏ．１０８６	312.1	ｶｷ		202405
9784-010937778	81228	2024/5/31	英検３級過去６回全問題集　２０２４年度版		旺文社	2024	167p	21cm	旺文社英検書	830.7	ｵｳ	2024	202405
9784-010937846	81229	2024/5/31	英検3級過去6回全問題集CD. 2024年度版		旺文社	2024	CD 3枚	12 cm	旺文社英検書	830.7	ｵｳ	2024	202405
9784-010937761	81230	2024/5/31	英検準２級過去６回全問題集　２０２４年度版		旺文社	2024	167p	21cm	旺文社英検書	830.7	ｵｳ	2024	202405
9784-010937822	81231	2024/5/31	英検2級過去6回全問題集CD. 2024年度版		旺文社	2024	CD 3枚	12 cm	旺文社英検書	830.7	ｵｳ	2024	202405
9784-010937754	81232	2024/5/31	英検２級過去６回全問題集　２０２４年度版		旺文社	2024	179p	21cm	旺文社英検書	830.7	ｵｳ	2024	202405
9784-010937839	81233	2024/5/31	英検準2級過去6回全問題集CD. 2024年度版		旺文社	2024	CD 3枚	12 cm	旺文社英検書	830.7	ｵｳ	2024	202405
9784-010937747	81234	2024/5/31	英検準１級過去６回全問題集　２０２４年度版		旺文社	2024	195p	21cm	旺文社英検書	830.7	ｵｳ	2024	202405
9784-010937815	81235	2024/5/31	英検準1級過去6回全問題集CD. 2024年度版		旺文社	2024	CD 4枚	12 cm	旺文社英検書	830.7	ｵｳ	2024	202405
9784-010937730	81236	2024/5/31	英検１級過去６回全問題集　２０２４年度版		旺文社	2024	167p	21cm	旺文社英検書	830.7	ｵｳ	2024	202405
9784-010937808	81237	2024/5/31	英検1級過去6回全問題集CD. 2024年度版		旺文社	2024	CD 4枚	12 cm	旺文社英検書	830.7	ｵｳ	2024	202405
9784-065326800	81262	2024/6/10	レーエンデ国物語　〔２〕　月と太陽	多崎 礼 著	講談社	2023	602p	19cm		913.6	ﾀｻ	2	202406
9784-004320142	81272	2024/7/29	罪を犯した人々を支える	藤原 正範 著	岩波書店	2024	3 210p	18cm	岩波新書　新赤版　２０１４	369.5	ﾌｼﾞ		202407
9784-004320135	81273	2024/7/29	スタートアップとは何か	加藤 雅俊 著	岩波書店	2024	12 270 18p	18cm	岩波新書　新赤版　２０１３	335	ｶﾄ		202407
9784-004320159	81274	2024/7/29	日本語と漢字	今野 真二 著	岩波書店	2024	3 239 2p	18cm	岩波新書　新赤版　２０１５	810.2	ｲﾏ		202407
