,50277,2020/06/30,濃飛の文化財　第５９号,ﾉｳﾋ ﾉ ﾌﾞﾝｶｻﾞｲ ﾀﾞｲ ｺﾞｼﾞｭｳｷｭｳ ｺﾞｳ,,,,,岐阜県文化財保護協会,ｷﾞﾌｹﾝﾌﾞﾝｶｻﾞｲﾎｺﾞｷｮｳｶｲ,,709.1,ｷﾞ,,,2019,114p,30cm,,,,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,True,,
,50330,2020/08/06,THE SENSE OF WONDER,ｻﾞ ｾﾝｽ ｵﾌﾞ ﾜﾝﾀﾞｰ,A CELEBRATION OF NATURE FOR PARENTS AND CHILDREN,ｱ ｾﾚﾌﾞﾚｰｼｮﾝ ｵﾌﾞ ﾈｲﾁｬｰ ﾌｫｰ ﾍﾟｱﾚﾝﾂ ｱﾝﾄﾞ ﾁﾙﾄﾞﾚﾝ,,,RACHEL CARSON,ﾚｲﾁｪﾙ ｶｰｿﾝ,,404,ｶ,,HARPER PERENNIAL,2017,109p,19cm,1800,,,,図書費,白山商会,1620,図書室,,,,,False,,,,False,,,,False,False,True,,
,80067,2021/01/18,創立一二〇周年記念　実践女子学園史,ｿｳﾘﾂ ﾋｬｸﾆｼﾞｭｳ ｼｭｳﾈﾝ ｷﾈﾝ ｼﾞｯｾﾝｼﾞｮｼｶﾞｸｴﾝ ｼ,（一九九九─二〇一八),ｾﾝｷｭｳﾋｬｸｷｭｳｼﾞｭｳｷｭｳ ﾆｾﾝｼﾞｭｳﾊﾁ,,,実践女子学園創立一二〇年史編纂委員会,ｼﾞｯｾﾝｼﾞｮｼｶﾞｸｴﾝ ｿｳﾘﾂ ﾋｬｸﾆｼﾞｭｳﾈﾝ ｼ ﾍﾝｻﾝ ｲｲﾝｶｲ,,377.28,ｼﾞ,,,2020,591p,22cm,,,,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,True,,
978-4-001142-46-4,50413,2020/10/08,魔女のむすこたち,ﾏｼﾞｮ ﾉ ﾑｽｺ ﾀﾁ,,,岩波少年文庫 ２４６,ｲﾜﾅﾐｼｮｳﾈﾝﾌﾞﾝｺ 246,カレル・ポラーチェク／作 小野田 澄子／訳,ﾎﾟﾗｰﾁｪｸ ｶﾚﾙ ｵﾉﾀﾞ ｽﾐｺ ｶﾚﾙﾎﾟﾗｰﾁｪｸ,,989.53,ﾎﾟ,,岩波書店,2018,293p,18cm,720,18043712,陽気な兄弟エドダントとフランチモルは、子どもたちと遠足に出かけ、夜の森に迷い込みます。山賊にとらわれ、カッパと出会い、人食い王の胃痛をなおし…。チェコの奇想天外な冒険物語。,,図書費,白山商会,713,新書書架,,,１９６９年刊の再刊,,False,,,,False,,,,False,False,True,,
978-4-002710-18-1,50244,2020/04/15,ボランティアってなんだっけ？,ﾎﾞﾗﾝﾃｨｱ ｯﾃ ﾅﾝﾀﾞｯｹ,,,岩波ブックレット Ｎｏ．１０１８,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1018,猪瀬 浩平／著,ｲﾉｾ ｺｳﾍｲ,,369.7,ｲ,,岩波書店,2020,71p,21cm,580,20006628,ボランティアをすることの理由って？　いっけん自明にみえて実は難しい問いかけに、「自発性」「無償性」「公共性」を切り口に、“ゆるく非真面目に”考察。ボランティアという営みの奥行きと面白さを伝える。,ボランティアカツドウ　ボランティア活動,図書費,白山商会,574,図書室,,,,,False,,,,False,,,,False,False,True,,
978-4-002710-19-8,50245,2020/04/15,インディオの村通い４０年 〈いのち〉みつめて,ｲﾝﾃﾞｨｵ ﾉ ﾑﾗｶﾞﾖｲ ﾖﾝｼﾞｭｳ ﾈﾝ ｲﾉﾁ ﾐﾂﾒﾃ,,,岩波ブックレット Ｎｏ．１０１９,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1019,清水 透／著,ｼﾐｽﾞ ﾄｵﾙ,,295.6,ｼ,,岩波書店,2020,54p,21cm,680,20006632,異文化社会の歴史像を描き出すためにメキシコのインディオの村に通い続け、伝統と近代の狭間で揺れる人々の語りに耳を傾けてきた著者。村での出会いと気づき、娘の病や自身の臨死体験を通し、いのちの原点から世界をみつめる。,シミズ トオル　清水透　メキシコ キコウアンナイキ　インディオ　メキシコ 紀行・案内記　インディオ,図書費,白山商会,673,図書室,,,,,False,,,,False,,,,False,False,True,,
978-4-002710-20-4,50251,2020/04/15,迷走する教員の働き方改革 変形労働時間制を考える,ﾒｲｿｳ ｽﾙ ｷｮｳｲﾝ ﾉ ﾊﾀﾗｷｶﾀｶｲｶｸ  ﾍﾝｹｲﾛｳﾄﾞｳｼﾞｶﾝｾｲ ｵ ｶﾝｶﾞｴﾙ,,,岩波ブックレット Ｎｏ．１０２０,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1020,内田 良／著 広田 照幸／著 高橋 哲／著 嶋崎 量／著 斉藤 ひでみ／著,ｳﾁﾀﾞ ﾘｮｳ ﾋﾛﾀ ﾃﾙﾕｷ ﾀｶﾊｼ ｻﾄｼ ｼﾏｻｷ ﾁｶﾗ ｻｲﾄｳ ﾋﾃﾞﾐ,,374.37,ｳ,,岩波書店,2020,79p,21cm,620,20011223,２０２１年度より公立学校教員への導入が可能になる「１年単位の変形労働時間制」は、教員の多忙化を更に進展させる可能性を含んでいる。学校がおかれている実情や法制度を踏まえ、制度の問題点を多様な視点から５人が論じる。,キョウイン　ロウドウジカン　教員　労働時間,図書費,白山商会,613,図書室,,,,,False,,,,False,,,,False,False,True,,
978-4-002710-21-1,50252,2020/04/15,３．１１を心に刻んで ２０２０,ｻﾝｲﾁｲﾁ ｵ ｺｺﾛ ﾆ ｷｻﾞﾝﾃﾞ,,,岩波ブックレット Ｎｏ．１０２１,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1021,岩波書店編集部／編,ｲﾜﾅﾐｼｮﾃﾝ ｲﾜﾅﾐｼｮﾃﾝﾍﾝｼｭｳﾌﾞ,,369.31,ｲ,2020,岩波書店,2020,87p,21cm,700,20011229,さまざまな執筆者が、過去から蓄積されてきた言葉をひき、その言葉に３．１１への思いを重ねて綴る。２０１９年３月～２０２０年２月の岩波書店ホームページでの連載と、『河北新報』連載企画などを単行本化。,ヒガシニホンダイシンサイ　東日本大震災（２０１１）,図書費,白山商会,693,図書室,,,,,False,,,,False,,,,False,False,True,,
978-4-002710-22-8,50253,2020/04/15,沖縄を世界軍縮の拠点に 辺野古を止める構想力,ｵｷﾅﾜ ｵ ｾｶｲ ｸﾞﾝｼｭｸ ﾉ ｷｮﾃﾝ ﾆ  ﾍﾉｺ ｵ ﾄﾒﾙ ｺｳｿｳﾘｮｸ,,,岩波ブックレット Ｎｏ．１０２２,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1022,豊下 楢彦／著 北上田 毅／著 吉川 秀樹／著 大城 尚子／著 豊田 祐基子／著 沖縄対外問題研究会／著,ﾄﾖｼﾀ ﾅﾗﾋｺ ｷﾀｳｴﾀﾞ ﾂﾖｼ ﾖｼｶﾜ ﾋﾃﾞｷ ｵｵｼﾛ ｼｮｳｺ ﾄﾖﾀﾞ ﾕｷｺ ｵｷﾅﾜﾀｲｶﾞｲﾓﾝﾀﾞｲｹﾝｷｭｳｶｲ,,395.39,ﾄ,,岩波書店,2020,79p,21cm,620,20011247,沖縄が国連の「軍縮アジェンダ」を推進する拠点となろう！　「軍拡こそ世界の脅威だ」というパラダイム転換を軸に、辺野古新基地を止めた先の新たな未来を構想する。２０１９年５月に開催されたシンポジウムをもとに書籍化。,グンジキチ　オキナワモンダイ　軍事基地　沖縄問題,図書費,白山商会,614,図書室,,,,,False,,,,False,,,,False,False,True,,
978-4-002710-23-5,50260,2020/04/28,ひきこもりのライフプラン 「親亡き後」をどうするか 新版,ﾋｷｺﾓﾘ ﾉ ﾗｲﾌ ﾌﾟﾗﾝ ｵﾔ ﾅｷ ｱﾄ ｵ ﾄﾞｳ ｽﾙ ｶ,,,岩波ブックレット Ｎｏ．１０２３,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 1023,斎藤 環／著 畠中 雅子／著,ｻｲﾄｳ ﾀﾏｷ ﾊﾀﾅｶ ﾏｻｺ,,367.68,ｻ,,岩波書店,2020,111p,21cm,720,20017831,親が高齢化するなか、親の死亡に伴う中高年のひきこもりの子たちの困窮が懸念される。親の現在の資産を最大限に活用して、ひきこもりの子を生涯にわたって経済的に支えるライフプランを具体的にアドバイスする。,ヒキコモリ　ひきこもり,図書費,白山商会,712,図書室,,,,,False,,,,False,,,,False,False,True,,
