,49011,2018/05/31,砂田・総作遺跡　笠原町神戸・栄区土地区画整理事業発掘調査報告書　第１分冊,ｽﾅﾀﾞ ｿｳｻｸ ｲｾｷ ｶｻﾊﾗﾁｮｳ ｺﾞｳﾄﾞ ｻｶｴ ｸ ﾄﾁ ｸｶｸ ｾｲﾘ ｼﾞｷﾞｮｳ ﾊｯｸﾂ ﾁｮｳｻ ﾎｳｺｸｼｮ ﾀﾞｲ ｲﾁ ﾌﾞﾝｻﾂ,,,多治見市埋蔵文化財発掘調査報告書　第９６号　,ﾀｼﾞﾐ ｼ ﾏｲｿﾞｳ ﾌﾞﾝｶｻﾞｲ ﾊｯｸﾂ ﾁｮｳｻ ﾎｳｺｸｼｮ,多治見市教育委員会,ﾀｼﾞﾐ ｼ ｷｮｳｲｸ ｲｲﾝｶｲ,,215.3,ﾀ,,,2018,248,30cm,,,,,寄付,,,図書室,,第９６号,,,False,,,,False,,,,False,False,True,,
,49012,2018/05/31,権現遺跡　笠原町神戸・栄区土地区画整理事業発掘調査報告書　第２分冊,ｺﾞﾝｹﾞﾝ ｲｾｷ ｶｻﾊﾗ ﾁｮｳ ｺﾞｳﾄﾞ ｻｶｴ ｸ ﾄﾁ ｸｶｸ ｾｲﾘ ｼﾞｷﾞｮｳ ﾊｯｸﾂ ﾁｮｳｻ ﾎｳｺｸｼｮ ﾀﾞｲ 2 ﾌﾞﾝｻﾂ,,,多治見市埋蔵文化財発掘調査報告書　第９６号,ﾀｼﾞﾐ ｼ ﾏｲｿﾞｳ ﾌﾞﾝｶｻﾞｲ ﾊｯｸﾂ ﾁｮｳｻ ﾎｳｺｸｼｮ ﾀﾞｲ ｷｭｳｼﾞｭｳﾛｸ ｺﾞｳ,多治見市教育委員会,ﾀｼﾞﾐ ｼ ｷｮｳｲｸ ｲｲﾝｶｲ,,215.3,ﾀ,,,2018,320,30cm,,,,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,True,,
,50001,2019/02/25,新約聖書［英文・和文対訳］,ｼﾝﾔｸｾｲｼｮ[ｴｲﾌﾞﾝﾜﾌﾞﾝﾀｲﾔｸ],,,,,日本国際ギデオン協会,ﾆﾎﾝｺｸｻｲｷﾞﾃﾞｵﾝｷｮｳｶｲ,,193.5,ﾆ,,,,676p,,,,,,寄付,,,図書室,,,,,False,,,,False,,,,False,False,True,,
978-4-000056-20-5,50527,2019/01/10,素数の未解決問題がもうすぐ解けるかもしれない。,ｿｽｳ ﾉ ﾐｶｲｹﾂ ﾓﾝﾀﾞｲ ｶﾞ ﾓｳｽｸﾞ ﾄｹﾙ ｶﾓｼﾚﾅｲ,,,,,ヴィッキー・ニール／著 千葉 敏生／訳,ﾆｰﾙ ｳﾞｨｯｷｰ ﾁﾊﾞ ﾄｼｵ ｳﾞｨｯｷｰﾆｰﾙ,,412,ﾆ,,岩波書店,2018,223p,19cm,2100,18050010,数学者たちは、双子素数予想の「２」にたどり着けるのか？　ゴールドバッハ予想、フェルマーの最終定理など、周辺のさまざまな問題に寄り道しつつ、世界を巻き込んだ共同研究の行方を追う。,ソスウ　素数,図書費,ＴＲＣ,2100,図書室,,,,,False,,,,False,,,,False,False,False,,
978-4-000612-62-3,50432,2018/10/31,９条誕生 平和国家はこうして生まれた,ｷｭｳｼﾞｮｳ ﾀﾝｼﾞｮｳ ﾍｲﾜ ｺｯｶ ﾜ ｺｳｼﾃ ｳﾏﾚﾀ,,,,,塩田 純／著,ｼｵﾀﾞ ｼﾞｭﾝ,,323.1,ｼ,,岩波書店,2018,288 4p,19cm,1800,18022026,日本国憲法の柱となる「平和」の理念はどこから来たのか？　「昭和天皇実録」や、ＮＨＫスペシャルの取材で明らかとなった新資料・証言を読み解き、９条・平和主義の出発点を探る。,ケンポウ ニホン　センソウノホウキ　憲法 日本　戦争の放棄,図書費,ＴＲＣ,1800,図書室,,,,,False,,,,False,,,,False,False,False,,
978-4-000801-31-7,50526,2019/01/10,広辞苑 第７版,ｺｳｼﾞｴﾝ,,,,,新村 出／編,ｼﾝﾑﾗ ｲｽﾞﾙ,,813.1,ｺ,,岩波書店,2018,3188p,23cm,9000,18000001,総項目数２５万の日本語辞典。各界第一線で活躍する専門家が、正確かつ簡明に解説する。言葉や社会の変化、学術研究の進展を反映し、基礎的な言葉の意味説明を刷新、古典用例を大幅に見直した第７版。机上版も同時刊行。,ニホンゴ ジテン　日本語 辞典,図書費,ＴＲＣ,9000,事典棚,,,別冊付録（３２７，９５ｐ）,,False,,,,False,,,,False,False,False,,
978-4-002709-78-9,48944,2018/04/13,核兵器を禁止する 条約が世界を変える 新版,ｶｸﾍｲｷ ｵ ｷﾝｼ ｽﾙ ｼﾞｮｳﾔｸ ｶﾞ ｾｶｲ ｵ ｶｴﾙ,,,岩波ブックレット Ｎｏ．９７８,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 978,川崎 哲／著,ｶﾜｻｷ ｱｷﾗ,,319.8,ｶ,,岩波書店,2018,79p,21cm,620,18007989,２０１７年、核なき世界への道筋を示す「核兵器禁止条約」が成立。条約ができるまでの経過と背景、成立後の課題を、核兵器廃絶国際キャンペーン（ＩＣＡＮ）国際運営委員が丁寧に解説する。,ゲンスイバクキンシウンドウ　カクヘイキキンシジョウヤク　原水爆禁止運動　核兵器禁止条約,図書費,白山商会,603,図書室,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-79-6,48959,2018/04/16,「北朝鮮の脅威」のカラクリ 変質する日本の安保政策,ｷﾀﾁｮｳｾﾝ ﾉ ｷｮｳｲ ﾉ ｶﾗｸﾘ ﾍﾝｼﾂ ｽﾙ ﾆﾎﾝ ﾉ ｱﾝﾎﾟ ｾｲｻｸ,,,岩波ブックレット Ｎｏ．９７９,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 979,半田 滋／著,ﾊﾝﾀﾞ ｼｹﾞﾙ,,392.1,ﾊ,,岩波書店,2018,63p,21cm,520,18011765,Ｊアラートによる避難勧告などでひたすら脅威を煽りながら、専守防衛を逸脱した軍備増強や、さらなる対米従属を進めている日本政府。変質する日本の安全保障政策の実態を鋭く暴き、危機を回避するために真に必要な対応を問う。,ニホン コクボウ　ニホン タイガイカンケイ チョウセン（キタ）　日本 国防　日本 対外関係 朝鮮（北）,図書費,白山商会,506,図書室,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-80-2,48960,2018/04/16,裁量労働制はなぜ危険か 「働き方改革」の闇,ｻｲﾘｮｳﾛｳﾄﾞｳｾｲ ﾜ ﾅｾﾞ ｷｹﾝ ｶ ﾊﾀﾗｷｶﾀｶｲｶｸ ﾉ ﾔﾐ,,,岩波ブックレット Ｎｏ．９８０,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 980,今野 晴貴／編 嶋崎 量／編,ｺﾝﾉ ﾊﾙｷ ｼﾏｻｷ ﾁｶﾗ,,366.3,ｺ,,岩波書店,2018,89p,21cm,660,18011768,「働き方改革」の本丸となっている「裁量労働制」の大幅規制緩和。残業代不払いの最後の砦となっている同制度について、運用実態をもとに警鐘を鳴らす。労働相談対応マニュアル、働き方を点検するチェックシートも掲載。,ロウドウジカン ホウレイ　労働時間 法令,図書費,白山商会,642,図書室,,,,,False,,,,False,,,,False,False,True,,
978-4-002709-81-9,48961,2018/04/16,３．１１を心に刻んで ２０１８,ｻﾝｲﾁｲﾁ ｵ ｺｺﾛ ﾆ ｷｻﾞﾝﾃﾞ,,,岩波ブックレット Ｎｏ．９８１,ｲﾜﾅﾐﾌﾞｯｸﾚｯﾄ 981,岩波書店編集部／編,ｲﾜﾅﾐｼｮﾃﾝ ｲﾜﾅﾐｼｮﾃﾝﾍﾝｼｭｳﾌﾞ,,369.3,ｲ,2018,岩波書店,2018,119p,21cm,780,18011770,さまざまな執筆者が、過去から蓄積されてきた言葉をひき、その言葉に３．１１への思いを重ねて綴る。２０１７年３月～２０１８年２月の岩波書店ホームページでの連載と、『河北新報』連載企画などを単行本化。,ヒガシニホンダイシンサイ　東日本大震災（２０１１）,図書費,白山商会,758,図書室,,,,,False,,,,False,,,,False,False,True,,
