ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
	0000047643	2015/02/12	アートで平和をつくる : 沖縄・佐喜眞美術館の軌跡		岩波ブックレット	佐喜眞　道夫	706.9	ｻﾐ		岩波書店	2014	87	21	2015
978-4-062578-97-4	0000047728	2015/01/30	算法勝負!「江戸の数学」に挑戦／どこまで解ける?「算額」28題 		ブルーバックス	山根　誠司	419.1	ﾔｾ		講談社	2014	184p	18cm	2015
978-4-062578-98-1	0000047729	2015/01/30	哺乳類誕生／乳の獲得と進化の謎／驚異の器官がうまれるまで		ブルーバックス	酒井　仙吉	489	ｻｾ		講談社	2014	262p	18cm	2015
9784062578998	0000047730	2015/01/30	エネルギーとはなにか／そのエッセンスがゼロからわかる		ブルーバックス	ロジャー・G・ニュートン．著／東辻　千枝子．訳	501.6	ﾆ		講談社	2014	174p	18cm	2015
9784062579001	0000047731	2015/01/30	科学検定公式問題集3・4級／科学の見方と考え方の再発見		ブルーバックス	竹内　薫．監修／桑子　研／竹田　淳一郎．共著	400	ﾀｶ		講談社	2015	284p	18cm	2015
978-4-005007-94-3	0000047732	2015/01/30	伝えるための教科書	 	岩波ジュニア新書	川井　龍介	816	ｶﾘ		岩波書店	2014	228p	18cm	2015
978-4-005007-95-0	0000047733	2015/01/30	ご当地電力はじめました！	 	岩波ジュニア新書	高橋　真樹	543	ﾀﾏ		岩波書店	2014	221p	18cm	2015
9784-004315223	0000047734	2015/01/30	戦国乱世から太平の世へ	 シリーズ日本近世史〈１〉	岩波新書	藤井　譲冶	210.48	ﾌｼﾞ	1	岩波書店	2015	258p	18cm	2015
978-4-004315-27-8	0000047735	2015/01/30	外交ドキュメント　歴史認識		岩波新書	服部　龍二	319.1	ﾊﾘ	1	岩波書店	2015	251p	18cm	2015
978-4-004315-28-5	0000047736	2015/01/30	在日朝鮮人／歴史と現在		岩波新書	水野　直樹／文　京洙	316.81	ﾐﾅ		岩波書店	2015	259p	18cm	2015
978-4-004315-29-2	0000047737	2015/01/30	医学探偵の歴史事件簿ファイル〈２〉		岩波新書		204	ｺﾏ		岩波書店	2015	220p	18cm	2015
9784-901510141	0000047738	2015/02/01	１４歳からの哲学／考えるための教科書			池田　晶子	104	ｲｱ		トランスビュー	2014	209p	21cm	2015
9784-758438452	0000047739	2015/01/30	紙の月		ハルキ文庫	角田　光代	913.6	ｶﾐ		角川春樹事務所	2014	359	15	2015
978-4-806125-03-7	0000047740	2015/01/30	１４歳の心理学		中経の文庫	香山　リカ	371.45	ｶﾘ		中経出版	2012	255	15	2015
978-4-094060-86-7	0000047741	2015/02/02	世界から猫が消えたなら		小学館文庫	川村　元気	913.6	ｶｹﾞ		小学館	2014	229	15	2015
9784-344025066	0000047742	2015/01/30	面倒だから、しよう			渡辺　和子	914.6	ﾜｶ		幻冬舎	2015	162	18	2015
978-4-121022-82-0	0000047743	2015/01/30	地方消滅/—東京一極集中が招く人口急減		中公新書	増田　寛也	334.31	ﾏﾋ		中央公論新社	2014	243	18	2015
978-4-062728-66-9	0000047744	2015/01/30	住んでみたヨーロッパ/9勝1敗ﾃﾞ日本ﾉ勝ち		講談社α新書	川口　マーン恵美	302.3	ｶｴ		講談社	2014	222	18	2015
978-4-490208-76-4	0000047745	2015/01/30	新幹線50年 From Ａ　to　Ｚ	Ａ編成からＺ編成まで		松尾　定行	546.5	ﾏｻ		講談社	2014	271p	19cm	2015
9784-478028919	0000047746	2015/01/30	銀翼のイカロス			池井戸　潤	913.6	ｲｼﾞ		ダイヤモンド社	2014	373p	19cm	2015
9784-584135839	0000047747	2015/01/30	ﾎｫ･･･､ｺｺｶﾞﾁｷｭｳﾉﾎｲｸｴﾝｶ｡			てぃ先生	369.42	ﾃ		ＫＫベストセラーズ	2014	142p	19cm	2015
