ISBN,登録番号,受入日,書名,書名かな,副書名,副書名かな,叢書名等,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目
,10244,1999/01/01,ことばの事典,ｺﾄﾊﾞﾉｼﾞﾃﾝ,,,,,日置　昌一,ﾋｵｷｼｮｳｲﾁ,,813,ﾋ,,講談社,1981,322,１８,980,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,90001986,1999/01/01,週刊 世界の美術館　１　／ルーヴル美術館Ⅰ【フランス】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ1/ﾙｰｳﾞﾙﾋﾞｼﾞｭﾂｶﾝ1｢ﾌﾗﾝｽ｣,,,週刊［世界の美術館］１,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣1,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊001,講談社,2000,,３０,250,,ルーヴル美術館,ルーヴル美術館,,,,,,,,,False,,,,False,,,1,False,True,False,,
,90001987,1999/01/01,週刊 世界の美術館　２　／オルセー美術館Ⅰ【フランス】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ2/ｵﾙｾｰﾋﾞｼﾞｭﾂｶﾝ1｢ﾌﾗﾝｽ｣,,,週刊［世界の美術館］　２,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣2,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊002,講談社,2000,,３０,560,,オルセー美術館,オルセー美術館,,,,,,,,,False,,,,False,,,1,False,True,False,,
,90001988,1999/01/01,週刊 世界の美術館　３　／ヴァディカン美術館Ⅰ【イタリア】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ3/ｳﾞｧﾃﾞｨｶﾝﾋﾞｼﾞｭﾂｶﾝ1｢ｲﾀﾘｱ｣,,,週刊［世界の美術館］　３,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣3,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊003,講談社,2000,,３０,560,,ヴァディカン美術館,ヴァディカン美術館,,,,,,,２０００．０２．１５,,False,,,,False,,,1,False,True,False,,
,90001989,1999/01/01,週刊 世界の美術館　４　／メトロポリタン美術館Ⅰ【アメリカ】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ4/ﾒﾄﾛﾎﾟﾘﾀﾝﾋﾞｼﾞｭﾂｶﾝ1｢ｱﾒﾘｶ｣,,,週刊［世界の美術館］　４,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣4,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊004,講談社,2000,,３０,560,,メトロポリタン美術館,メトロポリタン美術館,,,,,,,２０００．０２．２２,,False,,,,False,,,1,False,True,False,,
,90001990,1999/01/01,週刊 世界の美術館　５　／ウフィツィ美術館Ⅰ【イタリア】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ5/ｳﾌｨﾂｨﾋﾞｼﾞｭﾂｶﾝ1｢ｲﾀﾘｱ｣,,,週刊［世界の美術館］　５,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣5,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊005,講談社,2000,,３０,560,,ウフィツィ美術館,ウフィツィ美術館,,,,,,,２０００．０２．２９,,False,,,,False,,,1,False,True,False,,
,90001991,1999/01/01,週刊 世界の美術館　６　／プラド美術館Ⅰ【スペイン】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ6/ﾌﾟﾗﾄﾞﾋﾞｼﾞｭﾂｶﾝ1｢ｽﾍﾟｲﾝ｣,,,週刊［世界の美術館］　６,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣6,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊006,講談社,2000,,３０,560,,プラド美術館,プラド美術館,,,,,,,２０００．０３．０７,,False,,,,False,,,1,False,True,False,,
,90001992,1999/01/01,週刊 世界の美術館　７　／大英博物館Ⅰ【イギリス】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ7/ﾀﾞｲｴｲﾊｸﾌﾞﾂｶﾝ1｢ｲｷﾞﾘｽ｣,,,週刊［世界の美術館］　７,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣7,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊007,講談社,2000,,３０,560,,大英博物館,大英博物館,,,,,,,２０００．０３．１４,,False,,,,False,,,1,False,True,False,,
,90001993,1999/01/01,週刊 世界の美術館　８　／ニューヨーク近代美術館Ⅰ【アメリカ】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ8/ﾆｭｰﾖｰｸｷﾝﾀﾞｲﾋﾞｼﾞｭﾂｶﾝ1｢ｱﾒﾘｶ｣,,,週刊［世界の美術館］　８,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣8,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊008,講談社,2000,,３０,560,,ニューヨーク近代美術館,ニューヨーク近代美術館,,,,,,,２０００．０３．２１,,False,,,,False,,,1,False,True,False,,
,90001994,1999/01/01,週刊 世界の美術館　９　／ウィーン美術史美術館Ⅰ【オーストリア】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ9/ｳｨｰﾝﾋﾞｼﾞｭﾂｼﾋﾞｼﾞｭﾂｶﾝ1｢ｵｰｽﾄﾘｱ｣,,,週刊［世界の美術館］　９,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣9,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊009,講談社,2000,,３０,560,,ウィーン美術史美術館,ウィーン美術史美術館,,,,,,,２０００．０３．２８,,False,,,,False,,,1,False,True,False,,
,90001995,1999/01/01,週刊 世界の美術館　１０　／エルミタージュ美術館Ⅰ【ロシア】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ10/ｴﾙﾐﾀｰｼﾞｭﾋﾞｼﾞｭﾂｶﾝ1｢ﾛｼｱ｣,,,週刊［世界の美術館］　１０,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣10,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊010,講談社,2000,,３０,560,,エルミタージュ美術館,エルミタージュ美術館,,,,,,,２０００．０４．０４,,False,,,,False,,,1,False,True,False,,
,90001996,1999/01/01,週刊 世界の美術館　１１　／ロンドン・ナショナルギャラリーⅠ【イギリス】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ11/ﾛﾝﾄﾞﾝﾅｼｮﾅﾙｷﾞｬﾗﾘｰ1｢ｲｷﾞﾘｽ｣,,,週刊［世界の美術館］　１１,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣11,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊011,講談社,2000,,３０,560,,ロンドン・ナショナルギャラリー,ロンドン・ナショナルギャラリー,,,,,,,２０００．０４．１１,,False,,,,False,,,1,False,True,False,,
,90001997,1999/01/01,週刊 世界の美術館　１２　／ボストン美術館Ⅰ【アメリカ】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ12/ﾎﾞｽﾄﾝﾋﾞｼﾞｭﾂｶﾝ1｢ｱﾒﾘｶ｣,,,週刊［世界の美術館］　１２,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣12,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊012,講談社,2000,,３０,560,,ボストン美術館,ボストン美術館,,,,,,,２０００．０４．１８,,False,,,,False,,,1,False,True,False,,
,90001998,1999/01/01,週刊 世界の美術館　１３　／ルーヴル美術館Ⅱ【フランス】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ13/ﾙｰｳﾞﾙﾋﾞｼﾞｭﾂｶﾝ2｢ﾌﾗﾝｽ｣,,,週刊［世界の美術館］　１３,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣13,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊013,講談社,2000,,３０,560,,ルーヴル美術館,ルーヴル美術館,,,,,,,２０００．０４．２５,,False,,,,False,,,1,False,True,False,,
,90001999,1999/01/01,週刊 世界の美術館　１４　／オーストリア美術館【オーストリア】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ14/ｵｰｽﾄﾘｱﾋﾞｼﾞｭﾂｶﾝ｢ｵｰｽﾄﾘｱ｣,,,週刊［世界の美術館］　１４,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣14,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊014,講談社,2000,,３０,560,,オーストリア美術館,オーストリア美術館,,,,,,,２０００．０５．０２,,False,,,,False,,,1,False,True,False,,
,90002000,1999/01/01,週刊 世界の美術館　１５　／オルセー美術館Ⅱ【フランス】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ15/ｵﾙｾｰﾋﾞｼﾞｭﾂｶﾝ2｢ﾌﾗﾝｽ｣,,,週刊［世界の美術館］　１５,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣15,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊015,講談社,2000,,３０,560,,オルセー美術館,オルセー美術館,,,,,,,２０００．０５．０９／１６,,False,,,,False,,,1,False,True,False,,
,90002001,1999/01/01,週刊 世界の美術館　１６　／ウフィツィ美術館Ⅱ【イタリア】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ16/ｳﾌｨﾂｨﾋﾞｼﾞｭﾂｶﾝ2｢ｲﾀﾘｱ｣,,,週刊［世界の美術館］　１６,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣16,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊016,講談社,2000,,３０,560,,ウフィツィ美術館,ウフィツィ美術館,,,,,,,２０００．０５．２３,,False,,,,False,,,1,False,True,False,,
,90002002,1999/01/01,週刊 世界の美術館　１７　／ワシントン・ナショナルギャラリーⅠ【アメリカ】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ17/ﾜｼﾝﾄﾝﾅｼｮﾅﾙｷﾞｬﾗﾘｰ1｢ｱﾒﾘｶ｣,,,週刊［世界の美術館］　１７,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣17,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊017,講談社,2000,,３０,560,,ワシントン・ナショナルギャラリー,ワシントン・ナショナルギャラリー,,,,,,,２０００．０５．３０,,False,,,,False,,,1,False,True,False,,
,90002003,1999/01/01,週刊 世界の美術館　１８　／プラド美術館Ⅱ【スペイン】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ18/ﾌﾟﾗﾄﾞﾋﾞｼﾞｭﾂｶﾝ2｢ｽﾍﾟｲﾝ｣,,,週刊［世界の美術館］　１８,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣18,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊018,講談社,2000,,３０,560,,プラド美術館,プラド美術館,,,,,,,２０００．０６．０６,,False,,,,False,,,1,False,True,False,,
,90002004,1999/01/01,週刊 世界の美術館　１９　／ゴッホ美術館【オランダ】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ19/ｺﾞｯﾎﾋﾞｼﾞｭﾂｶﾝ｢ｵﾗﾝﾀﾞ｣,,,週刊［世界の美術館］　１９,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣19,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊019,講談社,2000,,３０,560,,ゴッホ美術館,ゴッホ美術館,,,,,,,２０００．０５．３０,,False,,,,False,,,1,False,True,False,,
,90002005,1999/01/01,週刊 世界の美術館　２０　／パリ国立近代美術館【フランス】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ20/ﾊﾟﾘｺｸﾘﾂｷﾝﾀﾞｲﾋﾞｼﾞｭﾂｶﾝ｢ﾌﾗﾝｽ｣,,,週刊［世界の美術館］　２０,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣20,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊020,講談社,2000,,３０,560,,パリ国立近代美術館,パリ国立近代美術館,,,,,,,２０００．０６．２０／２７,,False,,,,False,,,1,False,True,False,,
,90002006,1999/01/01,週刊 世界の美術館　２１　／ルーブル美術館Ⅲ【フランス】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ21/ﾙｰﾌﾞﾙﾋﾞｼﾞｭﾂｶﾝ3｢ﾌﾗﾝｽ｣,,,週刊［世界の美術館］　２１,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣21,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊021,講談社,2000,,３０,560,,ルーブル美術館,ルーブル美術館,,,,,,,２０００．０７．０４,,False,,,,False,,,1,False,True,False,,
,90002007,1999/01/01,週刊 世界の美術館　２２　／シカゴ美術館【アメリカ】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ22/ｼｶｺﾞﾋﾞｼﾞｭﾂｶﾝ｢ｱﾒﾘｶ｣,,,週刊［世界の美術館］　２２,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣22,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊022,講談社,2000,,３０,560,,シカゴ美術館,シカゴ美術館,,,,,,,２０００．０７．１１,,False,,,,False,,,1,False,True,False,,
,90002008,1999/01/01,週刊 世界の美術館　２３　／ベルリン美術館Ⅰ【ドイツ】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ23/ﾍﾞﾙﾘﾝﾋﾞｼﾞｭﾂｶﾝ1｢ﾄﾞｲﾂ｣,,,週刊［世界の美術館］　２３,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣23,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊023,講談社,2000,,３０,560,,ベルリン美術館,ベルリン美術館,,,,,,,２０００．０７．１８,,False,,,,False,,,1,False,True,False,,
,90002009,1999/01/01,週刊 世界の美術館　２４　／テイト・ギャラリー【イギリス】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ24/ﾃｲﾄｷﾞｬﾗﾘｰ｢ｲｷﾞﾘｽ｣,,,週刊［世界の美術館］　２４,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣24,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊024,講談社,2000,,３０,560,,テイト・ギャラリー,テイト・ギャラリー,,,,,,,２０００．０７．２５,,False,,,,False,,,1,False,True,False,,
,90002010,1999/01/01,週刊 世界の美術館　２５　／ピカソ美術館【フランス】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ25/ﾋﾟｶｿﾋﾞｼﾞｭﾂｶﾝ｢ﾌﾗﾝｽ｣,,,週刊［世界の美術館］　２５,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣25,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊025,講談社,2000,,３０,560,,ピカソ美術館,ピカソ美術館,,,,,,,２０００．０８．０１,,False,,,,False,,,1,False,True,False,,
,90002011,1999/01/01,週刊 世界の美術館　２６　／ウィーン美術史美術館Ⅱ【オーストリア】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ26/ｳｨｰﾝﾋﾞｼﾞｭﾂｼﾋﾞｼﾞｭﾂｶﾝ｢ｵｰｽﾄﾘｱ｣,,,週刊［世界の美術館］　２６,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣26,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊026,講談社,2000,,３０,560,,ウィーン美術史美術館,ウィーン美術史美術館,,,,,,,２０００．０８．０８,,False,,,,False,,,1,False,True,False,,
,90002012,1999/01/01,週刊 世界の美術館　２７　／グッゲンハイム美術館【アメリカ】,ｼｭｳｶﾝｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ27/ｸﾞｯｹﾞﾝﾊｲﾑﾋﾞｼﾞｭﾂｶﾝ｢ｱﾒﾘｶ｣,,,週刊［世界の美術館］　２７,ｼｭｳｶﾝ｢ｾｶｲﾉﾋﾞｼﾞｭﾂｶﾝ｣27,講談社,ｺｳﾀﾞﾝｼｬ,,051,ｾ,週刊027,講談社,2000,,３０,560,,グッゲンハイム美術館,グッゲンハイム美術館,,,,,,,２０００．０８．１５,,False,,,,False,,,1,False,True,False,,
