ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
9784-750352435	0000051579	2022/01/18	アフガニスタンを知るための７０章		エリア・スタディーズ　１８５	前田 耕作 編著　山内 和也 編著	302.2	ｱ		明石書店	2022	408p	19cm	2022
9784-750352534	0000051580	2022/01/18	シンガポールを知るための６５章　第５版		エリア・スタディーズ　１７	田村 慶子 編著	302.2	ﾀ		明石書店	2021	335p	19cm	2022
9784-750517100	0000051581	2022/01/18	戦争とバスタオル			安田 浩一 文　金井 真紀 文と絵	291.0	ﾔ		亜紀書房	2022	373p	19cm	2022
9784-750516912	0000051582	2022/01/18	小さな心の同好会		となりの国のものがたり　０８	ユン イヒョン 著　古川 綾子 訳	929.1	ユ		亜紀書房	2022	339p	19cm	2022
9784-750517124	0000051583	2022/01/18	森の探偵　無人カメラがとらえた日本の自然			宮崎 学 著　小原 真史 文・構成	743.6	ミ		亜紀書房	2022	333p	19cm	2022
9784-022951243	0000051584	2022/01/18	内側から見た「ＡＩ大国」中国　アメリカとの技術覇権争いの最前線		朝日新書　８１４	福田 直之 著	007.3	ﾌ		朝日新聞出版	2021	269p	18cm	2022
9784-023340299	0000051585	2022/01/18	カラダの不思議としくみ入門　イラスト図解　人のカラダにはまだまだ多くの謎がある！			中島 雅美 監修	491.3	カ		朝日新聞出版	2022	207p	21cm	2022
9784-022517654	0000051586	2022/01/18	クレイジー・フォー・ラビット			奥田 亜希子 著	913.6	オ		朝日新聞出版	2022	205p	19cm	2022
9784-023340497	0000051587	2022/01/18	ごはんできたよ！今日、何作ろう！？何食べる！？ある日の献立、つまみとおかずとごちそう、〆も一五〇品			飛田 和緒 著	596	ヒ		朝日新聞出版	2021	223p	26cm	2022
9784-022631107	0000051588	2022/01/18	ごみ収集とまちづくり　清掃の現場から考える地方自治		朝日選書　１０２３	藤井 誠一郎 著	518.5	フ		朝日新聞出版	2022	264 9p	19cm	2022
9784-022517937	0000051589	2022/01/18	砂に埋もれる犬			桐野 夏生 著	913.6	キ		朝日新聞出版	2021	494p	20cm	2022
9784-022517920	0000051590	2022/01/18	ペッパーズ・ゴースト			伊坂 幸太郎 著	913.6	イ		朝日新聞出版	2021	387p	20cm	2022
9784-756921581	0000051591	2022/01/18	図解身近にあふれる「感染症」が３時間でわかる本　思わずだれかに話したくなる			左巻 健男 編著　桝本 輝樹 編著	493.8	ズ		明日香出版社	2022	254p	19cm	2022
9784-756921567	0000051592	2022/01/18	日常韓国語の基本の基本フレーズが身につく本　朝から夜まで、毎日使える１２８０フレーズ			李 明姫 著	829.1	イ		明日香出版社	2022	222p	19cm	2022
9784-259567071	0000051593	2022/01/18	小麦粉を使わないもちふわ生米スイーツ　ヴィーガンだからたどり着いた			リト史織 著	596.6	リ		家の光協会	2021	79p	26cm	2022
9784-259566937	0000051594	2022/01/18	はじめまして韓国カフェスイーツ　おうちで作るカラフルでポップなお菓子			福本 美樹 著	596.6	フ		家の光協会	2022	79p	26cm	2022
9784-802210652	0000051595	2022/01/18	ＣＡになる本　将来、ＣＡになりたいなと思ったら読んでおきたい		イカロスＭＯＯＫ	月刊〈エアステージ〉編集部 総力編集	687.3	シ		イカロス出版	2021	138p	21cm	2022
9784-594089580	0000051596	2022/01/18	自衛隊はアフリカのジブチで何をしているのか			小山 修一 著	392.1	コ		扶桑社（発売）	2022	283p	19cm	2022
9784-262130637	0000051597	2022/01/18	うちで作るチャーハンがウマい！			佐藤 樹里 著	596.3	サ		池田書店	2022	127p	15×15cm	2022
9784-000229777	0000051598	2022/01/18	コロナ戦記　医療現場と政治の７００日			山岡 淳一郎 著	498.6	ヤ		岩波書店	2021	11 224 2p	19cm	2022
9784-000614757	0000051599	2022/01/18	地球を壊す暮らし方　帝国型生活様式と新たな搾取			ウルリッヒ・ブラント 著　マークス・ヴィッセン 著　中村 健吾 監訳　斎藤 幸平 監訳	332.0	ブ		岩波書店	2022	38 258 31p	19cm	2022
9784-767829548	0000051600	2022/01/18	英国建築の解剖図鑑			マシュー・ライス 著　岡本 由香子 訳　中島 智章 監修	523.3	ラ		エクスナレッジ	2021	239p	21cm	2022
9784-767829364	0000051601	2022/01/18	百葉帖			雨宮 ゆか 著　雨宮 秀也 写真	793	ア		エクスナレッジ	2021	255p	19cm	2022
9784-767829357	0000051602	2022/01/18	百花帖			雨宮 ゆか 著　雨宮 秀也 写真	793	ア		エクスナレッジ	2021	255p	19cm	2022
9784-815610005	0000051603	2022/01/18	１日１分見るだけで記憶力がよくなるすごい写真			吉野 邦昭 著	141.3	ヨ		ＳＢクリエイティブ	2022	95p	19×19cm	2022
9784-815604110	0000051604	2022/01/18	ジェット旅客機操縦完全マニュアル　パイロットはコクピットで何をしているのか？			中村 寛治 著	538.8	ナ		ＳＢクリエイティブ	2022	191p	21cm	2022
9784-902256925	0000051605	2022/01/18	全盲ハッピーマン　２４歳で失明したら人生がもっと面白くなったんだけど、なんか質問ある？			大平 啓朗 著	916	オ		Ａ−Ｗｏｒｋｓ	2022	198p	19cm	2022
9784-272331031	0000051606	2022/01/18	差別はたいてい悪意のない人がする　見えない排除に気づくための１０章			キム ジヘ 著　尹 怡景 訳	361.8	キ		大月書店	2022	245 10p	19cm	2022
9784-272331000	0000051607	2022/01/18	１０代からのＳＤＧｓ　いま、わたしたちにできること			原 佐知子 著　井筒 節 監修　堤 敦朗 監修	333.8	ハ		大月書店	2021	143p	21cm	2022
9784-272211258	0000051608	2022/01/18	「日韓」のモヤモヤと大学生のわたし			加藤 圭木 監修　一橋大学社会学部加藤圭木ゼミナール 編	319.1	ニ		大月書店	2022	182p	21cm	2022
9784-873119649	0000051609	2022/01/18	段ボールで作る！動く、飛ぶ、遊ぶ工作　身近な材料で学ぶエンジニアリング		Ｍａｋｅ：ＫＩＤＳ	Ｊｏｎａｔｈａｎ　Ａｄｏｌｐｈ 著　田中 さとし 監訳　金井 哲夫 訳	754.9	ア		オーム社（発売）	2022	180p	24cm	2022
9784-907717346	0000051610	2022/01/18	私はカーリ、６４歳で生まれた　「ヒットラーの子ども」に生まれた女性の実話			カーリ・ロースヴァル 著　ナオミ・リネハン 著　速水 望 訳	289.3	ロ		海象社	2022	310p	19cm	2022
9784-759250404	0000051611	2022/01/18	屠畜のお仕事		シリーズお仕事探検隊	栃木 裕 著	648.2	ト		解放出版社	2021	11 181p	21cm	2022
9784-761513764	0000051612	2022/01/18	飛び出す！公務員　時代を切り拓く９８人の実践			椎川 忍 編著　牧 慎太郎 編著　澤田 史朗 編著　野崎 伸一 編著　井上 貴至 編著　前神 有里 編著　後藤 好邦 編著　吉弘 拓生 編著　地域活性化センター 発行協力・監修	318.3	ト		学芸出版社	2021	270p	19cm	2022
9784-305709509	0000051613	2022/01/18	女の子の謎を解く			三宅 香帆 著	902.0	ミ		笠間書院	2021	281p	19cm	2022
9784-760153480	0000051614	2022/01/18	「役に立たない」研究の未来			初田 哲男 著　大隅 良典 著　隠岐 さや香 著　柴藤 亮介 ナビゲーター	407	ヤ		柏書房	2021	213p	19cm	2022
9784-760152858	0000051615	2022/01/18	私はいま自由なの？　男女平等世界一の国ノルウェーが直面した現実			リン・スタルスベルグ 著　枇谷 玲子 訳	367.2	ス		柏書房	2021	405p	19cm	2022
9784-052053641	0000051616	2022/01/18	ニルスのふしぎな旅　２　赤ギツネ・レックスの執念		Ｍ＋Ｃ	セルマ・ラーゲルレーフ 原作　吉田 順 翻案	949.8	ラ	2	学研プラス	2022	319p	20cm	2022
9784-052053832	0000051617	2022/01/18	ニルスのふしぎな旅　３　仲間との絆と、こぼれ落ちた涙		Ｍ＋Ｃ	セルマ・ラーゲルレーフ 原作　吉田 順 翻案　木滝 りま 翻案	949.8	ラ	3	学研プラス	2022	317p	20cm	2022
9784-052053849	0000051618	2022/01/18	ニルスのふしぎな旅　４　友との別れ、そして…		Ｍ＋Ｃ	セルマ・ラーゲルレーフ 原作　吉田 順 翻案	949.8	ラ	4	学研プラス	2022	315p	20cm	2022
9784-052055089	0000051619	2022/01/18	ニルスのふしぎな旅　５　それぞれの選択、それぞれの旅		Ｍ＋Ｃ	セルマ・ラーゲルレーフ 原作　吉田 順 翻案	949.8	ラ	5	学研プラス	2021	323p	20cm	2022
9784-048971164	0000051620	2022/01/18	あなたがもっと素敵に輝くまた会いたくなる人のマナー			二階堂 多香子 著	385.9	ニ		ＫＡＤＯＫＡＷＡ	2021	207p	19cm	2022
9784-041115473	0000051621	2022/01/18	川のほとりで羽化するぼくら			彩瀬 まる 著	913.6	ア		ＫＡＤＯＫＡＷＡ	2022	196p	20cm	2022
9784-041110775	0000051622	2022/01/18	声の在りか			寺地 はるな 著	913.6	テ		ＫＡＤＯＫＡＷＡ	2022	222p	19cm	2022
9784-046053817	0000051623	2022/01/18	材料５つでお店みたいなお菓子			吉川 文子 著	596.6	ヨ		ＫＡＤＯＫＡＷＡ	2021	95p	26cm	2022
9784-046054272	0000051624	2022/01/18	世界一作りやすい本格おうちパン　ざっくりだから、手軽でかんたん。			鈴木 あつこ 著	596.6	ス		ＫＡＤＯＫＡＷＡ	2021	95p	26cm	2022
9784-041117170	0000051625	2022/01/18	民王　シベリアの陰謀			池井戸 潤 著	913.6	イ		ＫＡＤＯＫＡＷＡ	2022	317p	19cm	2022
9784-041094846	0000051626	2022/01/18	ドラゴンランス　レイストリン戦記　１　魂の剣　上			マーガレット・ワイス 著　安田 均 訳　石口 聖子 訳	933.7	ワ	1	ＫＡＤＯＫＡＷＡ	2021	383p	19cm	2022
9784-041094853	0000051627	2022/01/18	ドラゴンランス　レイストリン戦記　２　魂の剣　下			マーガレット・ワイス 著　安田 均 訳　石口 聖子 訳	933.7	ワ	2	ＫＡＤＯＫＡＷＡ	2021	407p	19cm	2022
9784-046044686	0000051628	2022/01/18	何を準備すればいいかわからない人のための総合型選抜・学校推薦型選抜〈ＡＯ入試・推薦入試〉のオキテ５５			鈴木 鋭智 著	376.8	ス		ＫＡＤＯＫＡＷＡ	2022	207p	19cm	2022
9784-046054647	0000051629	2022/01/18	ぷっくりクッキーとかわいい焼き菓子たち			ｍｏｃｈａ　ｍｏｃｈａ 著	596.6	モ		ＫＡＤＯＫＡＷＡ	2022	95p	23cm	2022
