ISBN,登録番号,受入日,書名,書名かな,副書名,副書名かな,叢書名等,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目
,10093,2002/01/30,完訳　グリム童話集　１,ｸﾞﾘﾑﾄﾞｳﾜｼｭｳ1,,,,,グリム．作／金田　鬼一．訳,ｸﾞﾘﾑ.ｻｸ/ｶﾈﾀﾞｷﾞｲﾁ.ﾔｸ,,943,ｸﾞ,1,岩波書店,1991,336,２０,2000,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10094,2002/01/30,完訳　グリム童話集　２,ｸﾞﾘﾑﾄﾞｳﾜｼｭｳ2,,,,,グリム．作／金田　鬼一．訳,ｸﾞﾘﾑ.ｻｸ/ｶﾈﾀﾞｷｲﾁ.ﾔｸ,,943,ｸﾞ,2,岩波書店,1981,417,２０,2000,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10095,2002/01/30,完訳　グリム童話集　３,ｸﾞﾘﾑﾄﾞｳﾜｼｭｳ3,,,,,グリム．作／金田　鬼一．訳,ｸﾞﾘﾑ.ｻｸ/ｶﾈﾀﾞｷｲﾁ.ﾔｸ,,943,ｸﾞ,3,岩波書店,1981,413,２０,2000,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10096,2002/01/30,完訳　グリム童話集　４,ｸﾞﾘﾑﾄﾞｳﾜｼｭｳ4,,,,,グリム．作／金田　鬼一．訳,ｸﾞﾘﾑ.ｻｸ/ｶﾈﾀﾞｷｲﾁ.ﾔｸ,,943,ｸﾞ,4,岩波書店,1981,303,２０,1800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10097,2002/01/30,完訳　グリム童話集　５,ｸﾞﾘﾑﾄﾞｳﾜｼｭｳ5,,,,,グリム．作／金田　鬼一．訳,ｸﾞﾘﾑ.ｻｸ/ｶﾈﾀﾞｷｲﾁ.ﾔｸ,,943,ｸﾞ,5,岩波書店,1981,296,２０,1800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10102,2002/03/12,いかに読むか　／記号としての文学／,ｲｶﾆﾖﾑｶ/ｷｺﾞｳﾄｼﾃﾉﾌﾞﾝｶﾞｸ/,,,,,赤祖父　哲二／中村　博保／森　常治,ｱｶｿﾌﾃﾂｼﾞ/ﾅｶﾑﾗﾊｸﾀﾓﾂ/ﾓﾘｼﾞｮｳｼﾞｼﾞ,,019,ｱ,,中教出版,1981,462,２０,1400,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10114,2001/12/22,懐石全書　１　--春夏秋冬--　一月・二月・三月,ｶｲｾｷｾﾞﾝｼｮ1--ｼｭﾝｶｼｭｳﾄｳ--1ﾂｷ2ﾂｷ3ﾂｷ,,,全書,ｾﾞﾝｼｮ,納屋　嘉治,ﾅﾔﾖｼﾊﾙ,,596.21,ﾀ,1,淡交社,1981,238,２７,3800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10115,2001/12/22,懐石全書　２　--春夏秋冬--　四月・五月・六月,ｶｲｾｷｾﾞﾝｼｮ 2 --ｼｭﾝｶｼｭｳﾄｳ--4ﾂｷ5ﾂｷ6ﾂｷ,,,全書,ｾﾞﾝｼｮ,納屋　嘉治,ﾅﾔﾖｼﾊﾙ,,596.21,ﾀ,2,淡交社,1981,238,２７,3800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10116,2001/12/22,懐石全書　３　--春夏秋冬--　七月・八月・九月,ｶｲｾｷｾﾞﾝｼｮ 3 --ｼｭﾝｶｼｭｳﾄｳ--7ﾂｷ8ﾂｷ9ﾂｷ,,,全書,ｾﾞﾝｼｮ,納屋　嘉治,ﾅﾔﾖｼﾊﾙ,,596.21,ﾀ,3,淡交社,1981,238,２７,3800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10117,2001/12/22,懐石全書　４　--春夏秋冬--　十月・十一月・十二月,ｶｲｾｷｾﾞﾝｼｮ 4 --ｼｭﾝｶｼｭｳﾄｳ--10ﾂｷ11ﾂｷ12ﾂｷ,,,全書,ｾﾞﾝｼｮ,納屋　嘉治,ﾅﾔﾖｼﾊﾙ,,596.21,ﾀ,4,淡交社,1981,238,２７,3800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10221,2002/01/01,近代文学に学ぶ　／女性のための５０編,ｷﾝﾀﾞｲﾌﾞﾝｶﾞｸﾆﾏﾅﾌﾞﾌﾞ/ｼﾞｮｾｲﾉﾀﾒﾉ50ﾍﾟﾝ,,,,,小林　豊,ｺﾊﾞﾔｼﾕﾀｶ,,918.6,ｺ,,法律文化社,1981,214,２０,1900,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10358,2002/02/25,日本の童画　１　--武内桂舟／川上四郎／本田正太郎--,ﾆﾎﾝﾉﾄﾞｳｶﾞ1--ﾀｹｳﾁｹｲｼｭｳ/ｶﾜｶﾐｼﾛｳ/ﾎﾝﾀﾞｼｮｳﾀﾛｳ--,,,画集,,第一法規,ﾀﾞｲｲﾁﾎｳｷ,,726.7,ﾀﾞ,1,第一法規,1981,75,２５,2800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10359,2002/02/25,日本の童画　２　--武井武雄／初山滋／岡本帰一,ﾆﾎﾝﾉﾄﾞｳｶﾞ2--ﾀｹｲﾀｹｵ/ﾊﾂﾔﾏｼｹﾞﾙ/ｵｶﾓﾄｷｲﾁ,,,画集,,第一法規,ﾀﾞｲｲﾁﾎｳｷ,,726.7,ﾀﾞ,2,第一法規,1981,73,２５,2800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10361,2002/02/25,日本の童画　４　山口将吉郎／伊藤彦造／樺島勝一,ﾆﾎﾝﾉﾄﾞｳｶﾞ4ﾔﾏｸﾞﾁｼｮｳｼｮｳｷﾞｷﾁﾛｳ/ｲﾄｳﾋｺｿﾞｳ/ｶﾊﾞｼﾏｶﾂｲﾁ,,,画集,,第一法規,ﾀﾞｲｲﾁﾎｳｷ,,726.7,ﾀﾞ,4,第一法規,1981,73,２５,2800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10362,2002/02/25,日本の童画　５　--加藤まさを／須藤しげる／渡辺文子--,ﾆﾎﾝﾉﾄﾞｳｶﾞ5--ｶﾄｳﾏｻｦ/ｽﾄﾞｳｼｹﾞﾙ/ﾜﾀﾅﾍﾞﾌﾐｺ--,,,画集,,第一法規,ﾀﾞｲｲﾁﾎｳｷ,,726.7,ﾀﾞ,5,第一法規,1981,75,２５,2800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10363,2002/02/25,日本の童画　６　--高畠華宵／蕗谷虹児／中原淳一--,ﾆﾎﾝﾉﾄﾞｳｶﾞ6--ﾀｶﾊﾞﾀｹｶｼｮｳ/ﾌｷｺｳｼﾞ/ﾅｶﾊﾗｼﾞｭﾝｲﾁ--,,,画集,,第一法規,ﾀﾞｲｲﾁﾎｳｷ,,726.7,ﾀﾞ,6,第一法規,1981,75,２５,2800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10364,2002/02/25,日本の童画　７　--いわさきちひろ／味戸ケイコ／茂田井武--,ﾆﾎﾝﾉﾄﾞｳｶﾞ7--ｲﾜｻｷﾁﾋﾛ/ｱｼﾞﾄｹｲｺ/ﾓﾀｲﾀｹｼ--,,,画集,,第一法規,ﾀﾞｲｲﾁﾎｳｷ,,726.7,ﾀﾞ,7,第一法規,1981,74,２５,2800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10365,2002/02/25,日本の童画　９　--赤羽末吉／梶山俊夫／儀間比呂志--,ﾆﾎﾝﾉﾄﾞｳｶ9--ｱｶﾊﾞｽｴｷﾁ/ｶｼﾞﾔﾏﾄｼｵ/ｷﾞﾏﾋﾛｼ--,,,画集,,第一法規,ﾀﾞｲｲﾁﾎｳｷ,,726.7,ﾀﾞ,9,第一法規,1981,74,２５,2800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10367,2002/02/25,日本の童画　１０　--長新太／和田誠／上野紀子,ﾆﾎﾝﾉﾄﾞｳｶ10--ﾁｮｳｼﾝﾀ/ﾜﾀﾞﾏｺﾄ/ｳｴﾉﾉﾘｺ,,,画集,,第一法規,ﾀﾞｲｲﾁﾎｳｷ,,726.7,ﾀﾞ,10,第一法規,1981,74,２５,2800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10368,2002/02/25,日本の童画　１１　--滝平二郎／谷内六郎／藤城清治--,ﾆﾎﾝﾉﾄﾞｳｶ11--ﾀｷﾀﾞｲﾗｼﾞﾛｳ/ﾀﾆｳﾁﾛｸﾛｳ/ﾌｼﾞｷｾｲｼﾞ--,,,画集,,第一法規,ﾀﾞｲｲﾁﾎｳｷ,,726.7,ﾀﾞ,11,第一法規,1981,74,２５,2800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10369,2002/02/25,日本の童画　１２　--杉田豊／宇野亜喜良／米倉斉加年--,ﾆﾎﾝﾉﾄﾞｳｶ12--ｽｷﾞﾀﾕﾀｶ/ｳﾉｱｷﾖｼ/ﾖﾈｸﾗﾏｻｶﾈ--,,,画集,,第一法規,ﾀﾞｲｲﾁﾎｳｷ,,726.7,ﾀﾞ,12,第一法規,1981,74,２５,2800,,,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10370,2002/03/07,世界の博物館・別巻／世界の博物館事典,ｾｶｲﾉﾊｸﾌﾞﾂｶﾝﾍﾞｯｶﾝ/ｾｶｲﾉﾊｸﾌﾞﾂｶﾝｼﾞﾃﾝ,,,博物館全集,,講談社／鶴田総一郎．編,ｺｳﾀﾞﾝｼｬ/ﾂﾙﾀｿｳｲﾁﾛｳ,,069,ｺ,別,講談社,1979,230,３２,2500,,NDC．０６９,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10373,2002/03/07,日本の博物館３／民家と民具／ふるさとの博物館／川崎市日本民家園／日本民家集落博物館／高山市立飛騨民俗村／国立民族博物館／．他,ﾆﾎﾝﾉﾊｸﾌﾞﾂｶﾝ3/ﾐﾝｶﾄﾐﾝｸﾞ/ﾌﾙｻﾄﾉﾊｸﾌﾞﾂｶﾝ/ｶﾜｻｷｼﾆﾎﾝﾐﾝｶｴﾝ/ﾆﾎﾝﾐﾝｶｼｭｳﾗｸﾊｸﾌﾞﾂｶﾝ/ﾀｶﾔﾏｼﾘﾂﾋﾀﾞﾐﾝｿﾞｸﾑﾗ/ｺｸﾘﾂﾐﾝｿﾞｸﾊｸﾌﾞﾂｶﾝ/.ﾀ,,,日本の博物館,,講談社／杉本尚次／中村たかを．編,ｺｳﾀﾞﾝｼｬ/ｽｷﾞﾓﾄｼｮｳｼﾞ/ﾅｶﾑﾗﾀｶｦ,,069,ｺ,3,講談社,1981,176,３１,3300,,ＮＤＣ．３８３,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
,10374,2002/03/07,日本の博物館５／大航海時代の日本／南蛮博物館／仙台市博物館／南蛮文化館／神戸市立南蛮美術館／長崎市立博物館／．他,ﾆﾎﾝﾉﾊｸﾌﾞﾂｶﾝ5/ﾀﾞｲｺｳｶｲｼﾞﾀﾞｲﾉﾆﾎﾝ/ﾅﾝﾊﾞﾝﾊｸﾌﾞﾂｶﾝ/ｾﾝﾀﾞｲｼﾊｸﾌﾞﾂｶﾝ/ﾅﾝﾊﾞﾝﾌﾞﾝｶｶﾝ/ｺｳﾍﾞｼﾘﾂﾅﾝﾊﾞﾝﾋﾞｼﾞｭﾂｶﾝ/ﾅｶﾞｻｷｼﾘﾂﾊｸﾌﾞﾂｶﾝ/.ﾀ,,,日本の博物館,,講談社／遠藤周作．編,ｺｳﾀﾞﾝｼｬ/ｴﾝﾄﾞｳｼｭｳｻｸ,,069,ｺ,4,講談社,1981,178,３１,3300,,ＮＤＣ．７０２,,,,,,,,１９８３．０３．３１,,False,,,,False,,,,False,True,False,,
