ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-870300-01-9	0000030311	2002/11/18	やりなおしの英語			中野　幾雄	837.8	ﾅ		明日香出版社	1994	220	19	2002
978-4-789219-31-0	0000030313	2002/11/10	建築言葉ウラ読み事典			木山　悳世	813.6	ｷ		住宅新報社	1996	240	19	2002
978-4-870311-26-8	0000030319	2002/07/31	磯野家の謎　／「サザエさん」に隠された６９の驚き／		新書版	東京サザエさん学会	778.77	ﾄ		飛鳥新社	1993	223	18	2002
	0000030321	2002/02/19	世界の本１　ニューヨーク・東海岸１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	1	日地出版	1996	160	19	2002
	0000030323	2002/02/19	世界の本３　ハワイ１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	3	日地出版	1996	160	19	2002
	0000030325	2002/02/19	世界の本６　台湾１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	6	日地出版	1996	160	19	2002
	0000030326	2002/02/19	世界の本７　グアム１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	7	日地出版	1996	160	19	2002
	0000030327	2002/02/19	世界の本８　バリ島・インドネシア１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	8	日地出版	1996	160	19	2002
	0000030328	2002/02/19	世界の本９　カナダ・ﾌﾟﾘﾝｽｴﾄﾞﾜｰﾄﾞ島１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	9	日地出版	1996	160	19	2002
	0000030329	2002/02/19	世界の本１０　スイス・ドイツ西部・ｵｰｽﾄﾘｱ１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	10	日地出版	1996	160	19	2002
	0000030330	2002/02/19	世界の本１２　シンガポール・ﾏﾚｰｼｱ１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	12	日地出版	1996	160	19	2002
	0000030332	2002/02/19	世界の本１４　北欧・ｱｲｽﾗﾝﾄﾞ１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	14	日地出版	1996	160	19	2002
	0000030334	2002/02/19	世界の本１６イタリア・ローマ１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	16	日地出版	1996	160	19	2002
	0000030335	2002/02/19	世界の本１７　ドイツ・ベルリン１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	17	日地出版	1996	160	19	2002
978-4-527005-20-5	0000030336	2002/04/16	世界の本２０　フランス・パリ１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	20	日地出版	1996	160	19	2002
	0000030337	2002/02/19	世界の本２１　エジプト・カイロ１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	21	日地出版	1996	160	19	2002
	0000030338	2002/02/19	世界の本２４　西安・雲南・シルクロード１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	24	日地出版	1996	160	19	2002
	0000030339	2002/02/19	世界の本２５　ギリシア・アテネ１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	25	日地出版	1996	160	19	2002
	0000030340	2002/02/19	世界の本２６　フィジー・ニューカレドニア１２０ﾊﾟｰｾﾝﾄガイド		ひとりで行ける世界の本120ﾊﾟｰｾﾝﾄガイド	エトセトラ出版部	290.9	ﾋ	26	日地出版	1996	160	19	2002
978-4-250960-35-2	0000030346	2002/04/23	『ソフィーの世界』の世界　／私たちにとって哲学ってなに？／			大阪哲学学校．編	104	ｵ		青木書店	1996	195	21	2002
978-4-061818-25-5	0000030350	2002/12/08	眩暈		講談社ノベルス	島田　荘司	913.6	ｼ		講談社	1995	529	18	2002
978-4-575460-47-6	0000030351	2002/10/28	カヌー　／素晴らしきカヌーイングの世界			石井　弘／日本カヌー連盟	784.5	ｲ		双葉社	1988	161	22	2002
978-4-003420-98-0	0000030352	2002/09/07	古代ユダヤ教　〈上〉		岩波文庫	マックス・ヴェーバー／内田　芳明．訳	199	ｳﾞ	上	岩波書店	1996	344	15	2002
978-4-061816-62-6	0000030359	2002/12/08	暗闇坂の人喰いの木		講談社ノベルス	島田　荘司	913.6	ｼ		講談社	1993	515	18	2002
	0000030368	2002/01/01	水は地球をめぐる　／知識の泉１６		全集	ディアーヌ・コスタ・ド・ボルカール．著／萩谷　良．訳	002	ﾄﾞ		同朋舎出版	1996	49	23	2002
978-4-003347-01-0	0000030369	2002/09/11	日本中世の村落		岩波文庫	清水　三男．著／大山　喬平／馬田　綾子．校注	210.4	ｼ		岩波書店	1996	369	15	2002
	0000030373	2002/02/14	永訣の朝　--宮沢賢治挽歌画集--		絵本	宮沢　賢治．作／遠山　繁年．画	911.56	ﾐ		偕成社	1996	39	36	2002
978-4-582367-08-9	0000030374	2002/11/25	宮澤賢治　／イーハトーヴ図誌			松田　司郎	910.268	ﾏ		平凡社	1996	238	24	2002
978-4-494023-20-2	0000030376	2002/12/05	あおい空に			松永　伍一．編／いわさきちひろ．画	911.56	ｲ		童心社	1996	62	19	2002
978-4-062079-99-0	0000030378	2002/09/11	ムーミン童話の百科事典			高橋　静男／渡部　翠	949.8	ﾀ		講談社	1996	367	22	2002
978-4-140802-58-8	0000030385	2002/06/04	「ソフィーの世界」哲学ガイド　／もう少し知りたい人のための／			須田　朗	130.2	ｽ		日本放送出版協会	1996	213	19	2002
978-4-309725-53-6	0000030403	2002/11/20	古代エジプト文字入門　〈図説〉			ステファヌ・ロッシーニ／矢島　文夫．訳	894.21	ﾔ		河出書房新社	1996	127	21	2002
	0000030407	2002/02/08	棚田　--ふるさとの千枚田--		写真集	ふるきゃらネット・ワーク．編	748	ﾌ		講談社	1996	71	18	2002
978-4-163164-60-1	0000030411	2002/11/28	猫とみれんと　／猫持秀歌集			寒川　猫持	911.16	ｻ		文藝春秋	1996	229	20	2002
978-4-003420-99-7	0000030417	2002/09/07	古代ユダヤ教　〈中〉		岩波文庫	マックス・ヴェーバー／内田　芳明．訳	199	ｳﾞ	中	岩波書店	1996	641	15	2002
978-4-654059-18-8	0000030418	2002/10/27	伝承・創作　指あそび・手あそび１６０		遊びのアイデア８	三宅　邦夫／有木　昭久／山崎　治美	781.9	ﾐ		黎明書房	1996	141	26	2002
978-4-881354-20-9	0000030423	2002/10/09	創世の守護神　〈上〉			グラハム・ハンコック／大地　舜．訳	209	ﾊ	上	翔泳社	1996	258	20	2002
978-4-881354-21-6	0000030424	2002/10/09	創世の守護神　〈下〉			グラハム・ハンコック／大地　舜．訳	209	ﾊ	下	翔泳社	1996	245	20	2002
