ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
	0000004338	2005/02/06	狂言集　〈下〉　／日本古典文学大系　４３		日本古典文学大系　４３	小山　弘志．注	912.3	ｺﾋ	43	岩波書店	1963	471	22	2005
	0000004431	2005/02/06	６４　東京オリンピック			朝日新聞社	780.6	ｱ		朝日新聞社	1964		29	2005
	0000005561	2005/02/06	狂言集　〈上〉　／日本古典文学大系　４２		日本古典文学大系　４２	小山　弘志．注	912.5	ｺﾋ	42	岩波書店	1968	478	22	2005
	0000008150	2005/02/06	ことばの人間学			鈴木　孝夫	807	ｽﾀ		新潮社	1979	259	20	2005
	0000008662	2005/02/06	文芸読本　／北原白秋			河出書房新社	289	ｶ	25	河出書房新社	1980	263	21	2005
	0000009853	2005/02/06	狂言集　／日本古典文学全集　３５		日本古典文学全集　３５	北川　忠彦／安田　章．校注	912.3	ｷﾀ	35	小学館	1980	593	22	2005
	0000013961	2005/02/06	人と思想　２　／孔子／		センチュリーブックス　２	内野　熊一郎．他	102.8	ｼ	2	清水書院	1985	201	19	2005
	0000014951	2005/02/06	新漢和辞典　【改訂版】		辞典	大修館書店	813.2	ﾓﾃ		大修館書店	1984	1172	18	2005
	0000015127	2005/02/06	大独和辞典　／ＤＥＵＴＤＣＨ−ＪＡＰＡＮＩＳＣＨＥＳ　ＷＯＲＴＥＲＢＵＣＨ		辞典	相良　守峯	843	ｻﾓ		博友社	1984	1801	21	2005
	0000015508	2005/02/06	小論文を書く技術　／発想・構成・表現の基本とコツ			鳩貝　久延	816.5	ﾊﾋ		ナツメ社	1985	222	19	2005
	0000016362	2005/02/06	昭和文学全集　１０／井伏鱒二／永井龍男／宇野千代／井上靖／		昭和文学全集　１０	井伏　鱒二／永井　龍男／宇野　千代／井上　靖／	918.6	ｼ	10	小学館	1987	1089	23	2005
	0000016363	2005/02/06	昭和文学全集　１６／大岡昇平／埴谷雄高／野間宏／大江健三郎		昭和文学全集　１０	大岡　昇平／埴谷　雄高／野間　宏／大江　健三郎	918.6	ｼ	16	小学館	1987	1109	23	2005
978-4-000049-97-9	0000016935	2005/02/06	靖国神社		岩波ブックレット　５７	村上　重良	175	ﾑｼ	57	岩波書店	1986	55	21	2005
978-4-092170-33-9	0000017981	2005/03/01	植物の観察と育て方　／小学館の学習百科図鑑３３		小学館の学習百科図鑑３３	小学館	470	ｼ4	33	小学館	1985	158	31	2005
	0000018709	2005/02/06	昭和文学全集　７／梶井基次郎／牧野信一／中島敦／嘉村磯多／内田百／中勘助／広津和郎／瀧井孝作／網野菊／丸岡明／森茉莉／		昭和文学全集　７	梶井　基次郎／牧野　信一／中島　敦／嘉村　磯多／内田　百／中　勘助／広津　和郎／瀧井　孝作／網野　菊／丸岡　明／森　茉莉／	918.6	ｼ	7	小学館	1989	1198	23	2005
978-4-566020-50-4	0000020718	2005/04/01	指輪物語　１／旅の仲間　〈上〉			Ｊ・Ｊ・Ｒ・トールキン．著／瀬田　貞二．訳	933	ﾄ	1	評論社	1990	418	22	2005
978-4-309402-78-9	0000020926	2005/02/06	水府		河出文庫	津島　佑子	913.6	ﾂﾕ		河出書房新社	1990	234	15	2005
978-4-488530-02-0	0000021124	2005/02/18	オペラ座の怪人　／ファントム・オブ・オペラ／劇団四季公演／		創元推理文庫	ガストン・ルルー／三輪　秀彦．訳	953	ﾙ		創元社	1990	470	15	2005
978-4-876971-08-4	0000021970	2005/02/06	夏姫春秋　〈下〉			宮城谷　昌光	913.6	ﾐﾏ	下	海越出版社	1991	285	20	2005
978-4-878936-11-1	0000023389	2005/02/06	月の輪船			長野　まゆみ．作／鳩山　郁子．画	913.6	ﾅﾏ		作品社	1991		18	2005
978-4-103737-03-2	0000023831	2005/02/06	サイレント・ラヴ			玉岡　かおる	913.6	ﾀｶ		新潮社	1992	293	20	2005
978-4-810408-02-7	0000024014	2005/06/23	武器と甲冑　／石器時代の斧からアメリカ大西部の銃まで／武器の歴史が一目でわかる		ビジュアル博物館	大英自然史博物館．監修／リリーフ・システムズ	403.8	ﾄﾞ	4	同朋舎出版	1991	64	29	2005
978-4-003279-11-3	0000024760	2005/07/01	ペドロ・パラモ		岩波文庫	フアン・ルルフォ／杉山　晃／増田　義郎．訳	963	ﾙ		岩波書店	1992	223	15	2005
978-4-062060-81-3	0000024845	2005/02/06	国境の南、太陽の西			村上　春樹	913.6	ﾑﾊ		講談社	1992	294	20	2005
978-4-878936-12-8	0000025463	2005/02/06	夜のプロキオン			長野　まゆみ／鳩山　郁子．画	913.6	ﾅﾏ		作品社	1991		18	2005
	0000026741	2005/02/06	西和辞典　／ＤＩＣＣＩＯＮＡＲＩＯ　ＥＳＰＡＮＯＬ−ＪＡＰＯＮＥＳ		辞典	桑名　一博／秦　隆昌．他	863	ｼ		小学館	1992	1801	19	2005
978-4-582824-08-7	0000028488	2005/07/15	黒猫ムーンヌ　／ようこそ！　わが家へ／			フィリップ・ラグノー／中西　真代．訳	953	ﾗ	1	平凡社	1994	229	20	2005
978-4-163156-00-2	0000028633	2005/02/06	阿弥陀堂だより			南木　佳士	913.6	ﾅｹ		文藝春秋	1995	234	20	2005
978-4-103897-01-9	0000028747	2005/02/06	ブルボンの封印			藤本　ひとみ	913.6	ﾌﾋ		新潮社	1993	493	20	2005
9784-488012762	0000029790	2005/02/06	山伏地蔵の放浪		創元クライム・クラブ	有栖川　有栖	913.6	ｱ		東京創元社	1996	317	20	2005
978-4-810421-34-7	0000029821	2005/06/23	ビジュアル博物館５６／考古学		ビジュアル博物館	田辺　勝美／佐々木　花江	403.8	ﾄﾞ	56	同朋社出版	1995	64	29	2005
978-4-062614-03-0	0000029974	2005/02/06	アルジャーノンに花束を／Ｆｌｏｗｅｒｓ　ｆｏｒ　Ａｌｇｅｒｎｏｎ		英文図書／講談社ワールドブックス	ダニエル・キイス／渡邉　容子．解説	837.7	ｷ	E	講談社	1996	349	19	2005
978-4-879992-55-0	0000030252	2005/02/06	系統別　理系の小論文		受験参考書	河合塾小論文科．編	816	ｶ		河合出版	1995	235	21	2005
978-4-810419-95-5	0000030355	2005/02/06	知識の泉　３／火は友だち？		知識の泉	同朋舎出版	002	ﾄﾞ	3	同朋舎出版	1994	47	23	2005
978-4-810419-96-2	0000030356	2005/02/06	知識の泉　４／楽器の仲間		知識の泉	同朋舎出版	002	ﾄﾞ	4	同朋舎出版	1994	45	23	2005
