ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
	0000044836	2011/02/03	脳にウケるおもしろ雑学		ワイド新書　８６	坪内　忠太	049.1	ﾂﾁ		新講社	2010	197	18	2011
	0000044837	2011/02/03	子どもにウケるたのしい雑学		ワイド新書　６９	坪内　忠太	049.1	ﾂﾁ		新講社	2010	202	18	2011
	0000044838	2011/02/03	子どもにウケるたのしい雑学　㈪		ワイド新書　１０４	坪内　忠太	049.1	ﾂﾁ	2	新講社	2010	189	18	2011
	0000044839	2011/02/03	脳にウケるたのしい雑学／日本語おもしろい		ワイド新書　１１８	坪内　忠太	810.4	ﾂﾁ		新講社	2010	205	18	2011
	0000044840	2011/02/03	女医が乳がんを乗り越えた時／「乳がんです。乳房全摘です」			安藤　郁	916	ｱｶ		メタモル出版	2011	153	19	2011
	0000044841	2011/02/03	花のあるライフスタイル／使える賢い５０のヒント			假屋崎　省吾	793	ｶｼ		河出書房新社	2010	199	19	2011
	0000044842	2011/02/03	たった１分で人生が変わる片づけの習慣			小松　易	597.9	ｺﾔ		中経出版	2010	207	19	2011
	0000044843	2011/02/03	たった１分で人生が変わる片づけの習慣／実践編			小松　易	597.9	ｺﾔ		中経出版	2010	207	19	2011
	0000044844	2011/02/03	「読む・書く・話す」を一瞬でモノにする技術			齋藤　孝	002.7	ｻﾀ		大和書房	2009	221	19	2011
	0000044845	2011/02/03	６％の明日／もう一度あなたのお母さんになりたい			キャシー中島	916	ｷ		幻冬舎	2010	215	19	2011
	0000044846	2011/02/03	「あのころ」の日本映画がみたい！／ＤＶＤで発見する時代と世代を超えた名作１０１			立花　珠樹	778.21	ﾀﾀ		彩流社	2010	243	19	2011
	0000044847	2011/02/03	難病　あげは／８００万人に１人の病を生きる力に変えて			あげは　美樹	916	ｱﾐ		アスペクト	2010	205	19	2011
	0000044848	2011/02/03	１９８０年１２月８日／ジョン・レノンのいちばん長い日			キース・エリオット・グリーンバーグ．著／刈茅　由美．訳	767.8	ｸﾞ		ブルース・インターーアクションズ	2010	365	19	2011
	0000044849	2011/02/03	一歩を越える勇気			栗城　史多	786.1	ｸﾉ		サンマーク出版	2010	191	19	2011
	0000044850	2011/02/03	名作映画には「生きるヒント」がいっぱい！			坂和　章平	778.04	ｻｼ		河出書房新社	2010	221	19	2011
	0000044851	2011/02/03	この芸能人ブログがすごい			花輪如人とブログ探検隊	547.48	ﾊ		データハウス	2010	193	19	2011
	0000044853	2011/02/03	気がつけば１００q走ってた／二代目自転車名人・鶴見辰吾の自転車本			鶴見　辰吾	536.86	ﾂｼ		実業之日本社	2010	215	19	2011
	0000044854	2011/02/03	空想科学読本　７			柳田　理科雄	778.8	ﾔﾘ	7	メディアファクトリー	2009	255	19	2011
	0000044855	2011/02/03	空想科学読本　８			柳田　理科雄	778.8	ﾔﾘ	8	メディアファクトリー	2010	255	19	2011
	0000044856	2011/02/03	のはなし			伊集院　光	914.6	ｲﾋ	1	宝島社	2009	269	19	2011
	0000044857	2011/02/03	のはなし　に			伊集院　光	914.6	ｲﾋ	2	宝島社	2009	262	19	2011
	0000044858	2011/02/03	のはなし　さん			伊集院　光	914.6	ｲﾋ	3	宝島社	2010	270	19	2011
	0000044859	2011/02/03	アリアドネの弾丸			海堂　尊	913.6	ｶﾀ		宝島社	2010	413	20	2011
	0000044860	2011/02/04	完全なる首長竜の日			乾　緑郎	913.6	ｲﾛ		宝島社	2011	305	20	2011
	0000044861	2011/02/04	願わくは、鳩のごとくに			杉田　成道	289.1	ｽｼ		扶桑社	2010	371	20	2011
	0000044862	2011/02/04	ピーター・フォーク自伝／「刑事コロンボ」の素顔			ピーター・フォーク．著／田中　雅子．訳	778.25	ﾌ		東邦出版	2010	311	20	2011
	0000044863	2011/02/04	気楽な稼業ときたもんだ			砂田　実	699.21	ｽﾐ		無双舎	2010	247	20	2011
	0000044864	2011/02/04	浅井三姉妹　江姫繚乱			篠　綾子	913.6	ｼｱ		日本放送出版協会	2010	305	20	2011
	0000044865	2011/02/04	史記／武帝紀〈一〉			北方　謙三	913.6	ｷｹ	1	角川春樹事務所	2008	335	20	2011
	0000044866	2011/02/04	史記／武帝紀〈二〉			北方　謙三	913.6	ｷｹ	2	角川春樹事務所	2009	339	20	2011
	0000044867	2011/02/04	史記／武帝紀〈三〉			北方　謙三	913.6	ｷｹ	3	角川春樹事務所	2010	344	20	2011
	0000044868	2011/02/04	史記／武帝紀〈四〉			北方　謙三	913.6	ｷｹ	4	角川春樹事務所	2010	338	20	2011
	0000044869	2011/02/04	アンダスタンド・メイビー　〈上〉			島本　理生	913.6	ｼﾘ	上	中央公論新社	2010	367	20	2011
	0000044870	2011/02/04	アンダスタンド・メイビー　〈下〉			島本　理生	913.6	ｼﾘ	下	中央公論新社	2010	333	20	2011
	0000044871	2011/02/04	一刀斎夢録　〈上〉			浅田　次郎	913.6	ｱｼﾞ	上	文藝春秋	2011	368	20	2011
	0000044872	2011/02/04	一刀斎夢録　〈下〉			浅田　次郎	913.6	ｱｼﾞ	下	文藝春秋	2011	384	20	2011
	0000044873	2011/02/04	１９４３−１９８９／ドラッカーの講義　マネジメント・経済・未来について話そう			Ｐ．Ｆ．ドラッカー／宮本　喜一．訳	304	ﾄﾞ	1	アチーブメント出版	2010	258	20	2011
	0000044874	2011/02/04	１９９１−２００３／ドラッカーの講義　マネジメント・経済・未来について話そう			Ｐ．Ｆ．ドラッカー／宮本　喜一．訳	304	ﾄﾞ	2	アチーブメント出版	2010	236	20	2011
	0000044875	2011/02/04	特撮円谷組／ゴジラと、東宝特撮にかけた青春			東宝ゴジラ会	778.4	ﾄ		洋泉社	2010	303	21	2011
	0000044876	2011/02/04	宗心茶話／茶を生きる			堀内　宗心／高橋　睦郎．聞き手	791	ﾎｿ		世界文化社	2010	191	21	2011
	0000044877	2011/02/04	教育者・今村昌平			今村　昌平．著／佐藤　忠男．編著	778.21	ｲｼ		キネマ旬報社	2010	276	21	2011
	0000044878	2011/02/04	挑戦力。　人間「岡崎朋美」から何を学ぶのか			岡崎　朋美	784.63	ｵﾄ		創英社／三省堂書店	2010	261	21	2011
	0000044879	2011/02/04	メイキング・オブ・ダブル・ファンタジー／ジョン・レノン最後のメッセージ			ケン・シャープ．著／上西園　誠．訳	767.8	ｼ		シンコー・ミュージック・エンターテインメント	2010	255	21	2011
	0000044880	2011/02/04	結婚式っておもしろい！？			たかはし　みき	385.4	ﾀﾐ		主婦と生活社	2010	160	21	2011
	0000044881	2011/02/04	器、手から手へ			岡崎　裕子	751.04	ｵﾕ		主婦と生活社	2010	175	21	2011
	0000044882	2011/02/04	池上彰の学べるニュース　１／そうだったのか！			池上　彰	302	ｲｱ	1	海竜社	2010	202	21	2011
	0000044883	2011/02/04	池上彰の学べるニュース　２／そうだったのか！			池上　彰	302	ｲｱ	2	海竜社	2010	213	21	2011
	0000044884	2011/02/05	池上彰の学べるニュース　３国際問題・外交編／そうだったのか！			池上　彰	302	ｲｱ	3	海竜社	2010	253	21	2011
	0000044885	2011/02/05	レディー・ガガ／ルッキング・フォー・フェイム（ＬＡＤＹ　ＧＡＧＡ）			ポール・レスター．著／堂田　和美．訳	767.8	ﾚ		シンコーミュージック・エンタテイメント	2010	221	21	2011
	0000044886	2011/02/05	ゼロ年代アメリカ映画１００／１９９９−２００９			渡辺　幻／佐野　亨．共編	778.25	ﾜｹﾞ		芸術新聞社	2010	319	21	2011
	0000044887	2011/02/05	Ｆｒｏｎｔ　Ｒｏｗ　アナ・ウィンター／ファッション界に君臨する女王の記録			ジェリー・オッペンハイマー．著／川田　志津．訳	289.3	ｵ		マーブルトロン	2010	342	21	2011
	0000044888	2011/02/05	夢をかなえるサッカーノート			中村　俊輔	783.47	ﾅｼ		文藝春秋	2009	159	21	2011
	0000044889	2011/02/05	透明な沈黙／哲学者ウィトゲンシュタインの言葉×新世界『透明標本』			ウィトゲンシュタイン．著／鬼界　彰夫．訳／冨田　伊織．透明標本	134.9	ｳ		青志社	2010	169	22	2011
	0000044890	2011/02/05	松下幸之助成功の金言３６５			松下　幸之助	159	ﾏｺ		ＰＨＰ研究所	2011	415	22	2011
	0000044891	2011/02/05	３６５日のベッドタイム・ストーリー／世界の童話・神話・おとぎ話から現代のちょっと変わったお話まで			クリスティーヌ・アリソン．編著／高橋　啓．訳	908.3	ｱ		飛鳥新社	2010	530	23	2011
	0000044892	2011/02/05	母と子のおやすみまえの小さなお話３６５			千葉　幹夫．編著	908.3	ﾁﾐ		ナツメ社	2010	446	23	2011
	0000044893	2011/02/05	作ってあげたい彼ごはん		料理本	ＳＨＩＯＲＩ／岡田　史織	596	ｵｼ		宝島社	2010	96	26	2011
	0000044894	2011/02/05	ＬＯＶＥ弁当／ＳＨＩＯＲＩのかんたん		料理本	ＳＨＩＯＲＩ／岡田　史織	596	ｵｼ		祥伝社	2009	96	26	2011
	0000044895	2011/02/05	なぁーんだ簡単！これ一冊で和食・洋食・中華が作れるようになる本		料理本	藤井　恵	596	ﾌﾒ		主婦と生活社	2010	128	28	2011
	0000044896	2011/02/05	漂流／本から本へ			筒井　康隆	019.04	ﾂﾔ		朝日新聞出版	2011	218	19	2011
	0000044897	2011/02/05	ターシャ・テューダーの言葉〈最終章〉／最期のときを見つめて			ターシャ・テューダー／ウィンズロー・テューダー．他・写真／食野　雅子．訳	726.5	ﾃ		メディアファクトリー	2010	158	19	2011
	0000044898	2011/02/05	くじけないで			柴田　トヨ	911.56	ｼﾄ		飛鳥新社	2011	109	19	2011
	0000044899	2011/02/05	奇蹟の正倉院宝物／シルクロードの終着駅		角川選書　４７８	米田　雄介	702.13	ﾖﾕ		角川書店	2010	213	19	2011
	0000044900	2011/02/05	名門大学の「教養」／東京大学・慶應義塾大学・京都大学・早稲田大学・東京藝術大学			ＮＨＫ「爆笑問題のニッポンの教養」制作班．監修／主婦と生活社ライフ・プラス編集部．編	002.04	ﾊﾞ		主婦と生活社	2011	352	19	2011
	0000044901	2011/02/05	ゆるく、自由に、そして有意義に／ストレスフリー・ツイッター術			渡辺　由佳里	547.48	ﾜﾕ		朝日出版	2010	294	19	2011
	0000044902	2011/02/05	真珠湾奇襲攻撃７０年目の真実／元海軍大尉の実践回想録		新人物ブックス	市來　俊男	210.75	ｲﾄ		新人物往来社	2010	190	19	2011
