	0000035394	2002/01/01	建築学がわかる。		ＡＥＲＡ　Ｍｏｏｋ	朝日新聞社	520	ｲ		朝日新聞社	2001	176	25	2002
	0000035395	2002/01/01	「自分の木」の下で			大江　健三郎　／　大江　ゆかり．画	914	ｵ		朝日新聞社	2001	193	19	2002
	0000035396	2002/01/01	彼の手は語りつぐ Pink and Say			パトリシア・ポラッコ．文・絵　／千葉　茂樹．訳	726.5	ﾎﾟ		あすなろ書房	2001	50	29	2002
	0000035397	2002/01/01	猫を旅する　／世界で一番いろんな国の猫がのっている本			新美　敬子	748	ﾆ		河出書房新社	2001	96	30	2002
	0000035398	2002/01/01	本よみの虫干し　日本の近代文学再読		岩波新書７５３	関川　夏央	915	ｾ		岩波書店	2001	255	18	2002
	0000035399	2002/01/01	シェイクスピアを観る		岩波新書７５４	大場　健治	932	ｵ		岩波書店	2001	226	18	2002
	0000035400	2002/01/01	人道的介入　／正義の武力行使はあるか		岩波新書７５２	最上　敏樹	319	ﾓ		岩波書店	2001	220	18	2002
	0000035401	2002/01/01	私の脳科学講義		岩波新書７５５	利根川　進	491	ﾄ		岩波書店	2001	195	18	2002
	0000035402	2002/01/01	筋肉はなぜ動く		岩波ｼﾞｭﾆｱ新書３８３	丸山　工作	491	ﾏ		岩波書店	2001	192	18	2002
	0000035403	2002/01/01	この国のゆくえ　／教科書・日の丸・靖国		岩波ｼﾞｭﾆｱ新書３８４	梅田　正己	304	ｳ		岩波書店	2001	228	18	2002
	0000035404	2002/01/01	見てわかるＣ言語　／独習ソフトによる画期的勉強法		BLUE BACKS　Ｂ-１３４９	板谷　雄二	007	ｲ		講談社	2001	294	18	2002
	0000035406	2002/01/01	図解　ヘリコプター　／メカニズムと操縦法		BLUE BACKS　Ｂ-１３４６	鈴木　英夫	538	ｽ		講談社	2001	206	18	2002
	0000035407	2002/01/01	Excelで学ぶ量子力学　／量子の世界を覗き見る確率力学入門		BLUE BACKS　Ｂ-１３４７	保江　邦夫	421	ﾔ		講談社	2001	278	18	2002
	0000035408	2002/01/01	現代広告の読み方		文春新書１０１	佐野山　寛太	674.1	ｻ		文藝春秋	2000	238	18	2002
	0000035410	2002/01/01	外務省が消した日本人　／南米移民の半世紀			若槻　泰雄	916	ﾜ		毎日新聞社	2001	249	20	2002
	0000035414	2002/01/01	薔薇窓			帚木　蓬生	913.6	ﾊ		新潮社	2001	595	20	2002
	0000035415	2002/01/01	暗い宿			有栖川　有栖	913.6	ｱ		角川書店	2001	288	20	2002
	0000035416	2002/01/01	お菓子作りのなぜ？がわかる本			相原　一吉	596.6	ｱ		文化出版局	2001	95	25	2002
	0000035417	2002/01/01	１３階段		第47回江戸川乱歩賞受賞作	高野　和明	913.6	ﾀ		講談社	2001	351	20	2002
	0000035418	2002/01/01	青の炎			貴志　祐介	913.6	ｷ		角川書店	1999	398	20	2002
	0000035420	2002/01/01	狂王ヘロデ			曾野　綾子	913.6	ｿ		集英社	2001	394	20	2002
	0000035421	2002/01/01	自決　こころの法廷			澤地　久枝	916	ｻ		日本放送出版協会	2001	247	20	2002
	0000035422	2002/01/01	バルト海の復讐			田中　芳樹	913.6	ﾀ		東京書籍	2001	259	20	2002
	0000035423	2002/01/01	三月は深き紅の淵を			恩田　陸	913.6	ｵ		講談社	2001	353	20	2002
	0000035424	2002/01/01	ケーキの世界		集英社新書	村山　なおこ	596.6	ﾑ		集英社	2001	221	18	2002
	0000035476	2002/01/29	日本の色　--THE COLOR OF JAPAN--		写真集	ひび　貞夫	748	ﾋ		講談社ｲﾝﾀｰﾅｼｮﾅﾙ	2000	102	26	2002
	0000035493	2002/02/04	対テロリズム戦争		中公新書ラクレ	読売新聞調査研究本部．編	319	ﾖ		中央公論社	2001	266	18	2002
	0000035494	2002/01/17	ドリームバスター			宮部　みゆき	913.6	ﾐ		徳間書店	2001	364	20	2002
	0000035495	2002/01/17	ダレン・シャン　㈽　--バンパイア・クリスマス--			ダレン・シャン．著／橋本　恵み．訳	933	ｼ	3	小学館	2002	286	22	2002
	0000035496	2002/01/17	ツチケンモモコラーゲン　さくらももこ × 土屋賢二			さくらももこ／土屋　賢二．共著	914.6	ｻ		集英社	2001	203	19	2002
	0000035497	2002/01/17	ことばあそび　同音漢字問題集		岩波ジュニア新書３８８	岡田　寿彦	811	ｵ		岩波書店	2001	202	18	2002
	0000035498	2002/01/17	いま学校が面白い		岩波ジュニア新書３８７	佐藤　忠男	370	ｻ		岩波書店	2001	217	18	2002
	0000035499	2002/01/17	伝統の創造力		岩波新書Ｒ７６２	辻井　喬	901	ﾂ		岩波書店	2001	206	18	2002
	0000035500	2002/01/17	日本が「神の国」だった時代　--国民学校の教科書をよむ--		岩波新書Ｒ７６４	入江　曜子	375	ｲ		岩波書店	2001	232	18	2002
	0000035501	2002/01/17	少年犯罪と向きあう		岩波新書Ｒ７６３	石井　小夜子	327	ｲ		岩波書店	2001	221	18	2002
	0000035502	2002/01/17	伝わる英語表現法		岩波新書Ｒ７６５	長部　三郎	830	ｵ		岩波書店	2001	192	18	2002
	0000035503	2002/01/17	算数パズル「出しっこ問題」傑作選　--解けて興奮、出して快感！--		BLUE BACKS B-1353	仲田　紀夫	410	ﾅ		講談社	2001	155	18	2002
	0000035504	2002/01/17	自然の原理を知る手品　--念力モーターも霊感当てもホントは手品だ--		BLUE BACKS １３５４	マーチン・ガードナー．著／芦ヶ原　伸之．監訳	407	ｶﾞ		講談社	2001	174	18	2002
	0000035505	2002/01/17	カラスもびっくり！ バイオカイト　--生物をまねたタコは世界一高く揚がる！--		BLUE BACKS 1355	伊藤　利朗	538	ｲ		講談社	2001	228	18	2002
	0000035507	2002/01/22	アリとニノ			クルバン・サイード．作／松本　みどり．訳	943.7	ｻ		河出書房新社	2001	333	20	2002
	0000035508	2002/01/22	当世虫のゐどころ			奥本　大三郎	914.6	ｵ		新潮社	2001	237	19	2002
	0000035509	2002/01/22	小さいときから考えてきたこと			黒柳　徹子	914.6	ｸ		新潮社	2001	251	20	2002
	0000035510	2002/01/22	その子			鈴木　その子	289.1	ｽ		新潮社	2001	205	20	2002
	0000035511	2002/01/22	千円贅沢			中野　翠	914.6	ﾅ		講談社	2001	214	19	2002
	0000035512	2002/01/22	つらい心への処方箋　--楽しく生きるための知恵--			宮子　あずさ	146.8	ﾐ		ポプラ社	2001	211	18	2002
	0000035513	2002/01/22	「テロリスト」がアメリカを憎む理由			芝生　瑞和	319.27	ｼ		毎日新聞社	2001	190	19	2002
	0000035514	2002/01/22	ここではない場所　イマージュの回廊へ			今福　龍太	704	ｲ		岩波書店	2001	213	22	2002
	0000035515	2002/01/22	すべての雲は銀の・・・・・			村山　由佳	913.6	ﾑ		講談社	2001	483		2002
	0000035516	2002/01/22	歴史教科書の歴史			小山　常実	375.9	ｺ		草思社	2001	293	20	2002
	0000035517	2002/01/22	喜びは永遠に残る			ジャン・ジオノ．著／山本　省．訳	953.7	ｼﾞ		河出書房新社	2001	553	20	2002
	0000035518	2002/01/23	俺の車		写真集	佐内　正史	748	ｻ		メタローグ	2001	80	22	2002
	0000035519	2002/01/23	子どもの頃、本当はこんなことを考えていた			「東大小児科だより」．編	281	ﾖ		ＰＨＰ研究所	2001	247	19	2002
	0000035520	2002/01/23	青い絵葉書			太田　治子	913.6	ｵ		新潮社	2001	204	20	2002
	0000035521	2002/01/25	トリツカレ男			いしい　しんじ	913.6	ｲ		ビリケン出版	2001	167	20	2002
	0000035522	2002/01/25	根をもつこと、翼をもつこと			田口　ランディ	914.6	ﾀ		晶文社	2001	292	19	2002
	0000035523	2002/01/25	森の本		写真集	ネイチャー・プロ編集室	35523	ﾈ		角川書店	2001	175	22	2002
	0000035524	2002/01/25	遠い楽園の記憶　小野田維画集		画集	小野田　維	720.87	ﾄ		求龍堂	2001	103	30	2002
	0000035525	2002/01/25	犬を旅する。　--世界で一番いろんな国の犬がのっている本--		写真集	新美　敬子	748	ｴ		河出書房新社	2001	96	30	2002
	0000035526	2002/02/02	童話の国イギリス--ﾏｻﾞｰ･ｸﾞｰｽかﾊﾘｰ･ﾎﾟｯﾀｰまで--		中公新書１６１０	ピーター・ミルワード／小泉　博一．訳	909.3	ﾐ		中央公論社	2001	293	18	2002
	0000035527	2002/02/04	パリ左岸のピアノ公房			Ｔ．Ｅ．カーハート．著／村松　潔．訳	763.2	ｶ		新潮社	2001	318	20	2002
	0000035529	2002/02/01	シルエット			島本　理生	913.6	ｼ		講談社	2001	159	20	2002
	0000035530	2002/02/04	月の教室			宮沢　章夫	912.6	ﾐ		白水社	2001	182	20	2002
	0000035531	2002/02/04	詩ってなんだろう			谷川　俊太郎	908.1	ﾀ		筑摩書房	2001	137	19	2002
	0000035532	2002/02/04	旅をした人　--星野道夫の生と死--			池澤　夏樹	289.1	ｲ		スイッチ・パブリッシング	2000	389	20	2002
	0000035533	2002/02/02	ＤＶ（ﾄﾞﾒｽﾃｨｯｸ･ﾊﾞｲｵﾚﾝｽ）　--殴らずにはいられない男たち--		光文社新書	豊田　正義	146.8	ﾄ		光文社	2001	212	18	2002
	0000035534	2002/02/01	くらしと国の省庁 １　--内閣府ってなんだろう？--		くらしと国の省庁	江橋　崇．監修／菊池　武夫．文	317	ｷ	1	小峰書店	2001	39	27	2002
	0000035535	2002/02/01	くらしと国の省庁 ２　--総務省ってなんだろう？--		くらしと国の省庁	江橋　崇．監修／菊池　武夫．文	317	ｷ	2	小峰書店	2001	39	27	2002
	0000035536	2002/02/01	くらしと国の省庁　４　--外務省ってなんだろう？--		くらしと国の省庁	江橋　崇．監修／菊池　武夫．文	317	ｷ	4	小峰書店	2001	39	27	2002
	0000035537	2002/02/01	くらしと国の省庁　５　--財務省ってなんだろう？--		くらしと国の省庁	江橋　崇．監修／菊池　武夫．文	317	ｷ	5	小峰書店	2001	39	27	2002
	0000035538	2002/02/01	くらしと国の省庁　６　--文部科学省ってなんだろう？--		くらしと国の省庁	江橋　崇．監修／菊池　武夫．文	317	ｷ	6	小峰書店	2001	39	27	2002
	0000035539	2002/02/01	くらしと国の省庁　７　--厚生労働省ってなんだろう？--		くらしと国の省庁	江橋　崇．監修／菊池　武夫．文	317	ｷ	7	小峰書店	2001	39	27	2002
	0000035540	2002/02/01	くらしと国の省庁　８　--農林水産省ってなんだろう？--		くらしと国の省庁	江橋　崇．監修／菊池　武夫．文	317	ｷ	8	小峰書店	2001	39	27	2002
	0000035541	2002/02/01	くらしと国の省庁　９　--経済産業省ってなんだろう？--		くらしと国の省庁	江橋　崇．監修／菊池　武夫．文	317	ｷ	9	小峰書店	2001	39	27	2002
	0000035542	2002/02/01	くらしと国の省庁　１０　--国土交通省ってなんだろう？--		くらしと国の省庁	江橋　崇．監修／菊池　武夫．文	317	ｷ	10	小峰書店	2001	39	27	2002
	0000035543	2002/02/01	くらしと国の省庁　１１　--環境省ってなんだろう？--		くらしと国の省庁	江橋　崇．監修／菊池　武夫．文	317	ｷ	11	小峰書店	2001	39	27	2002
	0000035544	2002/02/01	くらしと国の省庁　１２　--くらしと政治--		くらしと国の省庁	江橋　崇．監修／菊池　武夫．文	317	ｷ	12	小峰書店	2001	39	27	2002
	0000035545	2002/02/01	くらしと国の省庁　３　--法務省ってなんだろう？--		くらしと国の省庁	江橋　崇．監修／菊池　武夫．文	317	ｷ	3	小峰書店	2001	39	27	2002
	0000035546	2002/02/04	トルシエ革命			フィリップ・トルシエ．著／田村　修一	783.47	ﾄ		新潮社	2001	303	20	2002
	0000035547	2002/02/01	太陽待ち			辻　仁成	913.6	ﾂ		文藝春秋	2001	486	20	2002
	0000035548	2002/02/04	リトル・ターン			ブルック・ニューマン．作／五木　寛之．訳／リサ・ダークス．絵	933	ﾆ		集英社	2001	94	19	2002
	0000035550	2002/02/02	２１世紀への手紙　--ポストカプセル３２８万通のはるかな旅--		文春新書	文藝春秋	916	ﾌﾞ		文藝春秋	2001	285	18	2002
	0000035551	2002/02/04	働く私に究極の花道はあるか？			速水　由紀子	367.21	ﾊ		小学館	2001	221	19	2002
	0000035552	2002/02/01	村上レシピ ２　〈プレミアム〉			台所でよむ村上春樹の会．編	596	ﾀﾞ	2	飛鳥新社	2001	119	17	2002
	0000035556	2002/02/07	ごみ問題 こうして解決　--循環型社会めざして--			岩佐　恵美	518.5	ｲ		合同出版	2001	167	19	2002
	0000035557	2002/02/07	幸福なしごと			山田　優子	366.29	ﾔ		自然食品通信社	2001	325	21	2002
	0000035558	2002/02/07	ONE PIECE 尾田栄一郎画集　--COLOR WALK 1--			尾田　栄一郎	726.5	ｵ		集英社	2001	107	30	2002
	0000035559	2002/02/07	図解でわかる世界のしくみ　--入門--			現代用語検定協会	302	ｹﾞ		自由国民社	2001	198	21	2002
	0000035560	2002/02/07	新・おくのほそ道			俵　万智／立松　和平	915.5	ﾀ		河出書房新社	2001	194	20	2002
	0000035561	2002/02/07	ＡＭＥＬＩＥ　--あめり--			イポリト・ベルナール	953.7	ﾍﾞ		リトル・モア	2002	175	18	2002
	0000035562	2002/02/13	世界の放射線被曝調査　--自ら測定した渾身のレポート--		BLUE BACKS B-1359	高田　純	593	ﾀ		講談社	2002	286	18	2002
	0000035563	2002/02/13	内科医からみた動物たち　--カバは肥満、キリンは高血圧、ウシは偏食だが････--		BLUE BACKS B-１３５８	山倉　慎二	489	ﾔ		講談社	2002	254	18	2002
	0000035565	2002/02/13	生命にとって酸素とは何か　--生命を支える中心物質の働きを探る--		BLUE BACKS B-１３５７	小城　勝相	464	ｺ		講談社	2002	222	18	2002
	0000035566	2002/02/13	ことわざの知恵		岩波新書Ｒ別冊７	岩波書店辞典編集部．編	388	ｲ		岩波書店	2002	175	18	2002
	0000035567	2002/02/13	聖徳太子		岩波新書Ｒ７６９	吉村　武彦	289	ﾖ		岩波書店	2002	190	18	2002
	0000035568	2002/02/13	日本の近代思想		岩波新書Ｒ７６７	鹿野　政直	121	ｶ		岩波書店	2002	235	18	2002
	0000035569	2002/02/13	「対テロ戦争」とイスラム世界		岩波新書Ｒ７６６	板垣　雄三	316	ｼ		岩波書店	2002	228	18	2002
	0000035570	2002/02/13	漢詩　--美の在りか--		岩波新書Ｒ７６８	松浦　友久	921	ﾏ		岩波書店	2002	261	18	2002
	0000035571	2002/02/13	１０代の真ん中で		岩波ｼﾞｭﾆｱ新書３８９	村瀬　学	371	ﾑ		岩波書店	2002	209	18	2002
	0000035572	2002/02/13	おくのほそ道の旅		岩波ｼﾞｭﾆｱ新書３９０	萩原　恭男／杉田　美登	915	ﾊ		岩波書店	2002	243	18	2002
	0000035573	2002/02/14	旅の終わりの音楽			エリック・フォスネス・ハンセン．著／村松　潔．訳	948	ﾊ		新潮社	1998	589	20	2002
	0000035574	2002/02/14	若きサムライたちへ　--自分を生きる１０のメッセージ--			田坂　広志／中谷　巌	159.7	ﾅ		ＰＨＰ研究所	2001	254	20	2002
	0000035575	2002/02/14	ＮＨＫ地球白書			ＮＨＫ取材班／古川　潤．編	519	ﾌ		家の光協会	2001	221	21	2002
	0000035576	2002/02/14	美人粥			小林　カツ代	596.3	ｺ		文化出版局	2002	95	20	2002
	0000035577	2002/02/15	鎖国してはならない			大江　健三郎	914.6	ｵ		講談社	2001	322	20	2002
	0000035578	2002/02/15	私が私らしくあるために　--ソワソワ・ドキドキを育てる３４の方法--			忍足　亜希子	778.2	ｵ		大和出版	2001	159	18	2002
	0000035579	2002/02/15	若葉のころ			長野　まゆみ	913.6	ﾅ		集英社	2001	131	20	2002
	0000035580	2002/02/15	最後の家族			村上　龍	913.6	ﾑ		幻冬舎	2001	324	20	2002
	0000035581	2002/02/15	わたしのもみじ		写真集「自然 いのち ひと」ｼﾘｰｽﾞ	岩間　史朗	748	ｲ		ポプラ社	2001	42	27	2002
	0000035584	2002/02/19	家族というリスク			山田　昌弘	367.3	ﾔ		けい草書房	2002	254	20	2002
	0000035585	2002/02/19	ひとり暮らし			谷川　俊太郎	914.6	ﾀ		草思社	2001	181	20	2002
	0000035586	2002/02/19	頂上対談			ビート　たけし	779	ﾋﾞ		新潮社	2001	286	19	2002
	0000035587	2002/02/20	リハビリのプロになろう　--理学療法士／作業療法士／言語聴覚士．････そのた関連資格		よくわかるハンドブック	ＡＳＴＲＡ医療福祉研究グループ	366	ｱ		オーエス出版社	2001	239	19	2002
	0000035588	2002/02/20	明け方の猫			保坂　和志	913.6	ﾎ		講談社	2001	171	20	2002
