ISBN,登録番号,受入日,書名,書名かな,副書名,副書名かな,叢書名等,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目
,44512,2010/12/04,人は愛するに足り、真心は信ずるに足る／アフガンとの約束,ﾋﾄﾊｱｲｽﾙﾆﾀﾘ､ﾏｺﾞｺﾛﾊｼﾝｽﾞﾙﾆﾀﾙ/ｱﾌｶﾞﾝﾄﾉﾔｸｿｸ,,,,,澤地　久枝／中村　哲,ｻﾜﾁﾋｻｴ/ﾅｶﾑﾗﾃﾂ,,289.1,ｻﾋ,,岩波書店,2010,242,20,1995,,オバマ大統領に送る平和へのメッセージ。戦乱と干ばつに苦しむアフガンの地で“命の水路”を切りひらく日本人医師の崇高な闘い。１　高山と虫に魅せられて（ペシャワールとの縁；二〇〇一年十月、衆議院　ほか）２　アフガニスタン、命の水路（よみがえる大地；「時差」四時間半　ほか）３　パシュトゥンの村々（復讐の掟；「戦争」の名分　ほか）４　やすらぎと喜び（日々の楽しみ；生きものたち　ほか）アフガンの平和と復興のためには何がなされるべきで、何がなされてはならないのか。パキスタンでの医療援助活,２８９．１／４９８．０２,図書費,ＴＳＵＴＡＹＡ多治見インター店,,,,,２０１０．０４．２５,,False,,,,False,,,,False,True,False,,
,44513,2010/12/04,ゲゲゲの女房／人生は・・・・・・終わりよければ、すべてよし！！,ｹﾞｹﾞｹﾞﾉﾆｮｳﾎﾞｳ/ｼﾞﾝｾｲﾊｵﾜﾘﾖｹﾚﾊﾞ､ｽﾍﾞﾃﾖｼ!!,,,,,武良　文枝,ﾑﾗﾇﾉｴ,,726.1,ﾑﾇ,,実業之日本社,2009,252,20,1260,,漫画家・水木しげる氏の妻,,図書費,ＴＳＵＴＡＹＡ多治見インター店,,,,,２０１０．０４．２５,,False,,,,False,,,,False,True,False,,
,44514,2010/12/04,１Ｑ８４　ｂｏｏｋ３〈１０月－１２月〉,1Q84ﾌﾞｯｸ3｢10ﾂｷ-12ﾂｷ｣,,,,,村上　春樹,ﾑﾗｶﾐﾊﾙｷ,,913.6,ﾑﾊ,3,新潮社,2010,602,20,1995,,そこは世界にただひとつの完結した場所だった。どこまでも孤立しながら、孤独に染まることのない場所だった。シリーズ内容：1949年に、ジョージ・オーウェルは、近未来小説としての『1984』を刊行した。そして2009年、『1Q84』は逆の方向から1984年を描いた近過去小説である。そこに描かれているのは「こうであったかもしれない」世界なのだ。私たちが生きている現在が、「そうではなかったかもしれない」世界であるのと、ちょうど同じように･･････････。「1Q84」の世界に、もし愛が,,図書費,ＴＳＵＴＡＹＡ多治見インター店,,,,,２０１０．０４．２５,,False,,,,False,,,,False,True,False,,
,44515,2010/12/04,桐島、部活やめるってよ,ｷﾘｼﾏ､ﾌﾞｶﾂﾔﾒﾙｯﾃﾖ,,,,,朝井　リョウ,ｱｻｲﾘｮｳ,,913.6,ｱﾘ,,集英社,2010,198,20,1260,,バレー部の「頼れるキャプテン」桐島が、突然部活をやめた。それがきっかけで、田舎の県立高校に通う５人の生活に、小さな波紋が広がっていく…。野球部、バレー部、ブラスバンド部、女子ソフトボール部、映画部。部活をキーワードに、至るところでリンクする５人の物語。第２２回小説すばる新人賞受賞作。著者紹介朝井リョウ［アサイリョウ］１９８９年５月生まれ、岐阜県不破郡出身。早稲田大学文化構想学部在学中。２００９年、「桐島、部活やめるってよ」で第二十二回小説すばる新人賞を受賞しデビュー,,図書費,ＴＳＵＴＡＹＡ多治見インター店,,,,,２０１０．０４．２５,,False,,,,False,,,,False,True,False,,
,44517,2010/12/04,小暮写眞館,ｺｸﾞﾚｼｬｼﾝｶﾝ,,,,,宮部　みゆき,ﾐﾔﾍﾞﾐﾕｷ,,913.6,ﾐﾐ,,講談社,2010,716,20,1995,,小暮写眞館 / 宮部みゆき著  内容細目     世界の縁側 / カモメの名前 / 鉄路の春 /  もう会えないなんて言うなよ。あなたは思い出す。どれだけ小説を求めていたか。ようこそ、小暮写眞館へ。３年ぶり現代エンターテインメント。講談社創業100周年記念出版ようこそ、小暮写眞館へ。著者3年ぶり 現代エンターテインメント第1話　小暮写眞館　世の中にはいろいろな人がいるから、いろいろな出来事も起きる。なかには不思議なこともある。第2話　世界の縁側　,,図書費,ＴＳＵＴＡＹＡ多治見インター店,,,,,２０１０．０４．２５,,False,,,,False,,,,False,True,False,,
,44518,2010/12/04,極限の科学／低温・高圧・強磁場の物理,ｷｮｸｹﾞﾝﾉｶｶﾞｸ/ﾃｲｵﾝｺｳｱﾂｷｮｳｼﾞﾊﾞﾉﾌﾞﾂﾘ,,,ＢＬＵＥ　ＢＡＣＫＳ　１６６９,,伊達　宗行,ﾀﾞﾃﾑﾈﾕｷ,,426.7,ﾀﾞﾑ,,講談社,2010,237,18,924,,未経験な極限的世界に一歩踏み込んで物質が置かれている環境を深くゆさぶってみると、物質は思いもよらぬ新しい顔を見せてくれる。気体が金属になったり、超伝導体になったり、鉄の磁気が消えてしまったり、新しい機能の発現の画期的なヒントが満載。ナノテクノロジーの次にやってくる極限技術の最前線に迫る。第１章　極限序説第２章　温度の世界（極低温から超低温へ；超流動）第３章　圧力の世界第４章　磁場の世界第５章　宇宙の極限物性ナノテクを超えた極限の世界に挑む科学技術。半導体材料,低温物理学∥テイオンブツリガク      →: 上位語: 物性論∥ブッセイロン      →: 関連語: 液化(ガス)∥エキカ(ガス)      →: 関連語: 低温∥テイオン  高圧物理学∥コウアツブツリガク      →: 上位語: 物性論∥ブッセイロン      →: 関連語: 圧力∥アツリョク  磁場∥ジバ      →: 下位語: 磁場(宇宙物理学)∥ジバ(ウチュウブツリガク)      →: 関連語: 電磁場∥デンジバ      →: 関連語: 磁気∥ジ,図書費,白山商会,,新書書架,,,２０１０．０４．３０,,False,,,,False,,,,False,True,False,,
,44519,2010/12/04,森が消えれば海も死ぬ／陸と海を結ぶ生態学【第２版】,ﾓﾘｶﾞｷｴﾚﾊﾞｳﾐﾓｼﾇ/ﾘｸﾄｳﾐｦﾑｽﾌﾞｾｲﾀｲｶﾞｸ｢ﾀﾞｲ2ﾊﾝ｣,,,ＢＬＵＥ　ＢＡＣＫＳ　１６７０,,松永　勝彦,ﾏﾂﾅｶﾞｶﾂﾋｺ,,519.8,ﾏｶ,,講談社,2010,188,18,840,,４６８／昔から、魚介類を増やすには水辺の森林を守ることが大切とされ、こうした森は「魚つき林」と呼ばれた。森の栄養が海の生き物を育てているのだ。現在、漁師たちが山の木を育てる「漁民の森」運動が全国で進められている。その科学的根拠ともなった「陸と海を結ぶ生態系」を解き明かす。第１章　魚を育てる森（生命の誕生と森林の生い立ち；海辺に生育する生き物；岩、岩盤、サンゴ礁の異変；腐植土形成過程とその役割；森と海をつなぐ河川）第２章　森が貧しいと海も貧しい（光合成生物に欠かせない鉄；森の腐植,森林∥シンリン      →: 上位語: 林野∥リンヤ      →: 下位語: 熱帯林∥ネッタイリン      →: 下位語: 竹林∥チクリン      →: 下位語: 荒廃林∥コウハイリン      →: 下位語: 保安林∥ホアンリン      →: 下位語: 演習林∥エンシュウリン      →: 下位語: 学校林∥ガッコウリン      →: 下位語: 複層林∥フクソウリン      →: 下位語: 里山∥サトヤマ      →: 関連語: 森林浴∥シンリン,図書費,白山商会,,新書書架,,,２０１０．０４．３０,,False,,,,False,,,,False,True,False,,
,44520,2010/12/04,理系のための研究生活ガイド／テーマの選び方から留学の手続きまで【第２版】,ﾘｹｲﾉﾀﾒﾉｹﾝｷｭｳｾｲｶﾂｶﾞｲﾄﾞ/ﾃｰﾏﾉｴﾗﾋﾞｶﾀｶﾗﾘｭｳｶﾞｸﾉﾃﾂﾂﾞｷﾏﾃﾞ｢ﾀﾞｲ2ﾊﾝ｣,,,ＢＬＵＥ　ＢＡＣＫＳ　１６７１,,坪田　一男,ﾂﾎﾞﾀｶｽﾞｵ,,407,ﾂｶ,,講談社,2010,270,18,987,,楽しくて充実した「研究生活」を送るには、さまざまなテクニックが必要だ。ボスの選び方、研究テーマの決め方、論文執筆のポイント、学会発表の技術、留学を実現する方法など。第一線の研究者でもある現役教授が、自らの体験に基づいたノウハウを全て公開する。「研究」とは何かを理解する研究者になるための８つのチェックポイント大学と研究室を選ぶ１１のポイント研究テーマを決める１４の原則コミュニケーションのＡＢＣ研究者のためのＩＴ活用術研究者のための「超」読書術研究者のための英語,科学者∥カガクシャ      →: 上位語: 学者∥ガクシャ      →: 下位語: 医学者∥イガクシャ      →: 下位語: 物理学者∥ブツリガクシャ      →: 下位語: 化学者∥カガクシャ      →: 下位語: 天文学者∥テンモンガクシャ      →: 下位語: 海洋学者∥カイヨウガクシャ      →: 下位語: 生物学者∥セイブツガクシャ      →: 下位語: 地理学者∥チリガクシャ      →: 関連語: 科学∥カガク      →,図書費,白山商会,,新書書架,,,２０１０．０４．３０,,False,,,,False,,,,False,True,False,,
,44521,2010/12/04,アメリカ版／大学生物学の教科書　第１巻細胞生物学,ｱﾒﾘｶﾊﾝ/ﾀﾞｲｶﾞｸｾｲﾌﾞﾂｶﾞｸﾉｷｮｳｶｼｮﾀﾞｲ1ｶﾝｻｲﾎﾞｳｾｲﾌﾞﾂｶﾞｸ,,,ＢＬＵＥ　ＢＡＣＫＳ　１６７２,,Ｄ・サダヴァ．他／石崎　泰樹／丸山　敬．監訳・翻訳,D･ｻﾀﾞｳﾞｧ.ﾀ.ﾀ/ｲｼｻﾞｷﾔｽｷ/ﾏﾙﾔﾏｹｲ.ｶﾝﾔｸ･ﾎﾝﾔｸ,,460,ｻ,1,講談社,2010,318,18,1575,,ＭＩＴ（マサチューセッツ工科大学）を始めとするアメリカの各大学で採用される世界基準の生物学の教科書。第１章　細胞：生命の機能単位（細胞はどのような性質を持つために生命の基本単位となっているのだろうか？；原核細胞の特徴は何か？　ほか）第２章　ダイナミックな細胞膜（生体膜の構造はどうなっているか？；細胞膜はどのように細胞接着・細胞認識に関わっているのだろうか？　ほか）第３章　エネルギー、酵素、代謝（生物学的なエネルギー変換の基礎となる物理法則はどのようなものだろうか？；生化学のエネルギー学,細胞学∥サイボウガク      →: 上位語: 生物学∥セイブツガク      →: 下位語: 動物細胞学∥ドウブツサイボウガク      →: 下位語: 植物細胞学∥ショクブツサイボウガク      →: 下位語: 細胞遺伝学∥サイボウイデンガク      →: 下位語: 細胞生理学∥サイボウセイリガク      →: 下位語: 細胞化学∥サイボウカガク      →: 関連語: 細胞∥サイボウ      →: 関連語: 流動細胞計測法∥リュウドウサイボウケイソクホウ  ,図書費,白山商会,,新書書架,,,２０１０．０４．３０,,False,,,,False,,,,False,True,False,,
,44522,2010/12/04,量子重力理論とはなにか／二重相対論からかいま見る究極の時空理論,ﾘｮｳｼｼﾞｭｳﾘｮｸﾘﾛﾝﾄﾊﾅﾆｶ/ﾆｼﾞｭｳｿｳﾀｲﾛﾝｶﾗｶｲﾏﾐﾙｷｭｳｷｮｸﾉｼﾞｸｳﾘﾛﾝ,,,ＢＬＵＥ　ＢＡＣＫＳ　１６７５,,竹内　薫,ﾀｹｳﾁｶｵﾙ,,421.3,ﾀｶ,,講談社,2010,205,18,861,,時空と重力の基本原理である相対性理論と、素粒子と原子を記述する量子力学。この２つの原理を満たす時空の理論（＝量子重力理論）は、はたして可能なのか？そもそも「時空を量子化する」とは、どんなことなのか？物理学最先端の研究とその雰囲気をあえて数式を使って解説する。第１章　相対論の世界（絶対的世界から相対的世界へ）（古典論のアタマを相対論のアタマに切り替える；ちよっと特殊な単位系　ほか）第２章　量子論の世界（交換できる世界から交換できない世界へ）（量子論の特徴をいくつか；ハイゼンベルクの不確定,量子論∥リョウシロン      →: 下位語: 量子力学∥リョウシリキガク      →: 下位語: 場の量子論∥バノリョウシロン      →: 関連語: 量子∥リョウシ  重力∥ジュウリョク      →: 上位語: 引力∥インリョク      →: 関連語: 平衡感覚∥ヘイコウカンカク      →: 関連語: 無重量∥ムジュウリョウ  相対性原理∥ソウタイセイゲンリ      →: 上位語: 理論物理学∥リロンブツリガク      →: 関連語: リーマン幾,図書費,白山商会,,新書書架,,,２０１０．０４．３０,,False,,,,False,,,,False,True,False,,
